 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  8.3293332e+01,  7.2140916e+01,  0.0000000e+00,  3.9287746e+00,  0.0000000e+00,  6.3145794e-01
       1,  8.8554983e+01,  0.0000000e+00,  0.0000000e+00,  6.3949440e-01,  7.7042801e+01,  6.9482626e+00
       2,  3.1503995e+01,  0.0000000e+00,  0.0000000e+00,  6.1864745e-01,  2.1333936e+01,  6.2840618e+00
       3,  2.5777474e+01,  0.0000000e+00,  0.0000000e+00,  6.1117858e-01,  1.5586187e+01,  6.2883317e+00
       4,  2.4733552e+01,  0.0000000e+00,  0.0000000e+00,  6.1839455e-01,  1.4540366e+01,  6.2714636e+00
       5,  2.4522916e+01,  0.0000000e+00,  0.0000000e+00,  6.2166601e-01,  1.4358083e+01,  6.2697665e+00
       6,  2.3745123e+01,  0.0000000e+00,  0.0000000e+00,  6.1919485e-01,  1.3572163e+01,  6.2906463e+00
       7,  2.4212820e+01,  0.0000000e+00,  0.0000000e+00,  6.1420785e-01,  1.4067459e+01,  6.2648782e+00
       8,  2.3911203e+01,  0.0000000e+00,  0.0000000e+00,  6.1606971e-01,  1.3737142e+01,  6.2862143e+00
       9,  2.3456429e+01,  0.0000000e+00,  0.0000000e+00,  6.0604466e-01,  1.3311463e+01,  6.2773241e+00
      10,  2.3051434e+01,  0.0000000e+00,  0.0000000e+00,  6.1475278e-01,  1.2864306e+01,  6.2845252e+00
      11,  2.3227398e+01,  0.0000000e+00,  0.0000000e+00,  6.2648511e-01,  1.3061689e+01,  6.3075077e+00
      12,  2.3490442e+01,  0.0000000e+00,  0.0000000e+00,  6.2007300e-01,  1.3319641e+01,  6.2973652e+00
      13,  2.3392073e+01,  0.0000000e+00,  0.0000000e+00,  6.1287548e-01,  1.3232104e+01,  6.2982885e+00
      14,  2.3728343e+01,  0.0000000e+00,  0.0000000e+00,  6.1388272e-01,  1.3570028e+01,  6.3024285e+00
      15,  2.3531333e+01,  0.0000000e+00,  0.0000000e+00,  6.2133560e-01,  1.3358263e+01,  6.2876229e+00
      16,  2.3287796e+01,  0.0000000e+00,  0.0000000e+00,  6.1244746e-01,  1.3126829e+01,  6.2973341e+00
      17,  2.3372213e+01,  0.0000000e+00,  0.0000000e+00,  6.0474046e-01,  1.3207804e+01,  6.2992358e+00
      18,  2.3575878e+01,  0.0000000e+00,  0.0000000e+00,  6.1253734e-01,  1.3407426e+01,  6.3021494e+00
      19,  2.3630345e+01,  0.0000000e+00,  0.0000000e+00,  6.2168577e-01,  1.3446859e+01,  6.2938273e+00
      20,  2.3533192e+01,  0.0000000e+00,  0.0000000e+00,  6.2021007e-01,  1.3363947e+01,  6.2859787e+00
      21,  2.3643068e+01,  0.0000000e+00,  0.0000000e+00,  6.2102891e-01,  1.3453321e+01,  6.2970444e+00
      22,  2.3917579e+01,  0.0000000e+00,  0.0000000e+00,  6.1244196e-01,  1.3747606e+01,  6.3059274e+00
      23,  2.3851047e+01,  0.0000000e+00,  0.0000000e+00,  6.2569290e-01,  1.3641709e+01,  6.2881434e+00
      24,  2.4065760e+01,  0.0000000e+00,  0.0000000e+00,  6.2011511e-01,  1.3889767e+01,  6.2903276e+00
      25,  2.3692954e+01,  0.0000000e+00,  0.0000000e+00,  6.1909500e-01,  1.3507761e+01,  6.2994882e+00
      26,  2.3728666e+01,  0.0000000e+00,  0.0000000e+00,  6.2394434e-01,  1.3553484e+01,  6.2974565e+00
      27,  2.3778214e+01,  0.0000000e+00,  0.0000000e+00,  6.1468847e-01,  1.3611672e+01,  6.2974005e+00
      28,  2.4045562e+01,  0.0000000e+00,  0.0000000e+00,  6.1771181e-01,  1.3889643e+01,  6.2993688e+00
      29,  2.3914672e+01,  0.0000000e+00,  0.0000000e+00,  6.2346878e-01,  1.3734441e+01,  6.2885909e+00
      30,  2.4326552e+01,  0.0000000e+00,  0.0000000e+00,  6.2007810e-01,  1.4164048e+01,  6.2764457e+00
      31,  2.4069952e+01,  0.0000000e+00,  0.0000000e+00,  6.2339922e-01,  1.3886490e+01,  6.3034585e+00
      32,  2.4292293e+01,  0.0000000e+00,  0.0000000e+00,  6.0527304e-01,  1.4136005e+01,  6.2795036e+00
      33,  2.3923344e+01,  0.0000000e+00,  0.0000000e+00,  6.1164172e-01,  1.3722375e+01,  6.2906553e+00
      34,  2.4465759e+01,  0.0000000e+00,  0.0000000e+00,  6.2046121e-01,  1.4292177e+01,  6.2953489e+00
      35,  2.3995460e+01,  0.0000000e+00,  0.0000000e+00,  6.2644115e-01,  1.3809761e+01,  6.3019751e+00
      36,  2.4073250e+01,  0.0000000e+00,  0.0000000e+00,  6.1295751e-01,  1.3882396e+01,  6.3050828e+00
      37,  2.3612047e+01,  0.0000000e+00,  0.0000000e+00,  6.0502475e-01,  1.3445326e+01,  6.2995918e+00
      38,  2.3834765e+01,  0.0000000e+00,  0.0000000e+00,  6.1016598e-01,  1.3676890e+01,  6.2993610e+00
      39,  2.3457956e+01,  0.0000000e+00,  0.0000000e+00,  6.1518217e-01,  1.3277090e+01,  6.3199261e+00
      40,  2.3603422e+01,  0.0000000e+00,  0.0000000e+00,  6.1251642e-01,  1.3426371e+01,  6.3002888e+00
      41,  2.3899371e+01,  0.0000000e+00,  0.0000000e+00,  6.2110294e-01,  1.3728590e+01,  6.2995049e+00
      42,  2.3652202e+01,  0.0000000e+00,  0.0000000e+00,  6.2795183e-01,  1.3465038e+01,  6.3064546e+00
      43,  2.3864132e+01,  0.0000000e+00,  0.0000000e+00,  6.1632133e-01,  1.3679532e+01,  6.3021089e+00
      44,  2.3998201e+01,  0.0000000e+00,  0.0000000e+00,  6.1937457e-01,  1.3816066e+01,  6.3017327e+00
      45,  2.3939893e+01,  0.0000000e+00,  0.0000000e+00,  6.1233982e-01,  1.3783358e+01,  6.2919830e+00
      46,  2.4261507e+01,  0.0000000e+00,  0.0000000e+00,  6.1192917e-01,  1.4102238e+01,  6.2856359e+00
      47,  2.4140825e+01,  0.0000000e+00,  0.0000000e+00,  6.1863707e-01,  1.3963847e+01,  6.2977009e+00
      48,  2.3693606e+01,  0.0000000e+00,  0.0000000e+00,  6.1282904e-01,  1.3537369e+01,  6.2876258e+00
      49,  2.3957463e+01,  0.0000000e+00,  0.0000000e+00,  6.1488154e-01,  1.3764843e+01,  6.3139403e+00
      50,  2.3190709e+01,  0.0000000e+00,  0.0000000e+00,  6.2639041e-01,  1.3014392e+01,  6.3102724e+00
      51,  2.3658520e+01,  0.0000000e+00,  0.0000000e+00,  6.1207044e-01,  1.3492738e+01,  6.3097177e+00
      52,  2.3235405e+01,  0.0000000e+00,  0.0000000e+00,  6.1368172e-01,  1.3074083e+01,  6.2821460e+00
      53,  2.3271194e+01,  0.0000000e+00,  0.0000000e+00,  6.1383877e-01,  1.3114317e+01,  6.2839683e+00
      54,  2.3161676e+01,  0.0000000e+00,  0.0000000e+00,  6.1356825e-01,  1.2996056e+01,  6.3077996e+00
      55,  2.3451624e+01,  0.0000000e+00,  0.0000000e+00,  6.2835332e-01,  1.3228356e+01,  6.2980240e+00
      56,  2.3556698e+01,  0.0000000e+00,  0.0000000e+00,  6.0732493e-01,  1.3383824e+01,  6.2936354e+00
      57,  2.3198976e+01,  0.0000000e+00,  0.0000000e+00,  6.2447795e-01,  1.3022450e+01,  6.2833217e+00
      58,  2.3595159e+01,  0.0000000e+00,  0.0000000e+00,  6.2048693e-01,  1.3417629e+01,  6.2988966e+00
