iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.7371, -1.83883, -0.16096, 0.450779, 5.38852 
2, 0.0001, 0.163801, 76.6972, -1.83883, -0.16096, 0.450779, 1.63546 
3, 0.00015, 0.0777821, 77.2869, -2.47382, 0.145448, 0.024581, 1.64649 
4, 0.0002, 0.0497572, 79.0721, -2.47382, 0.145448, 0.024581, 1.47113 
5, 0.00025, 0.00654724, 79.4481, -2.47382, 0.145448, 0.024581, 1.24184 
6, 0.0003, 0.0116444, 79.4807, -2.47382, 0.145448, 0.024581, 1.14334 
7, 0.00035, 0.0324034, 79.458, -2.47382, 0.145448, 0.024581, 1.0884 
8, 0.0004, 0.0278885, 79.4278, -2.47382, 0.145448, 0.024581, 1.0585 
9, 0.00045, 0.0208887, 79.3908, -2.47382, 0.145448, 0.024581, 1.04371 
10, 0.0005, 0.0183959, 79.3462, -2.47382, 0.145448, 0.024581, 1.04107 
11, 0.00055, 0.0146905, 79.2962, -2.47382, 0.145448, 0.024581, 1.04761 
12, 0.0006, 0.0191822, 79.2442, -2.47382, 0.145448, 0.024581, 1.0607 
13, 0.00065, 0.0213249, 79.1931, -2.47382, 0.145448, 0.024581, 1.07797 
14, 0.0007, 0.0244583, 79.1451, -2.47382, 0.145448, 0.024581, 1.09696 
15, 0.00075, 0.0255806, 79.1013, -2.47382, 0.145448, 0.024581, 1.11595 
16, 0.0008, 0.0174644, 79.0617, -2.47382, 0.145448, 0.024581, 1.13391 
17, 0.00085, 0.0260288, 79.0261, -2.47382, 0.145448, 0.024581, 1.15041 
18, 0.0009, 0.0301406, 78.9942, -2.47382, 0.145448, 0.024581, 1.16539 
19, 0.00095, 0.0266603, 78.966, -2.47382, 0.145448, 0.024581, 1.17861 
20, 0.001, 0.0353316, 78.9414, -2.47382, 0.145448, 0.024581, 1.18983 
21, 0.00105, 0.0345565, 78.9202, -2.47382, 0.145448, 0.024581, 1.19899 
22, 0.0011, 0.0351628, 78.9021, -2.47382, 0.145448, 0.024581, 1.20619 
23, 0.00115, 0.0380644, 78.8867, -2.47382, 0.145448, 0.024581, 1.21151 
24, 0.0012, 0.036436, 78.8737, -2.47382, 0.145448, 0.024581, 1.21517 
25, 0.00125, 0.0378911, 78.8626, -2.47382, 0.145448, 0.024581, 1.21746 
26, 0.0013, 0.037393, 78.8526, -2.47382, 0.145448, 0.024581, 1.21876 
27, 0.00135, 0.0371462, 78.8437, -2.47382, 0.145448, 0.024581, 1.2196 
28, 0.0014, 0.0219758, 78.8356, -2.47382, 0.145448, 0.024581, 1.22033 
29, 0.00145, 0.028537, 78.8283, -2.47382, 0.145448, 0.024581, 1.22111 
30, 0.0015, 0.0372898, 78.8219, -2.47382, 0.145448, 0.024581, 1.22204 
31, 0.00155, 0.0146946, 78.8164, -2.47382, 0.145448, 0.024581, 1.22304 
32, 0.0016, 0.0378601, 78.8117, -2.47382, 0.145448, 0.024581, 1.22421 
33, 0.00165, 0.0297768, 78.8074, -2.47382, 0.145448, 0.024581, 1.22547 
34, 0.0017, 0.0383923, 78.8034, -2.47382, 0.145448, 0.024581, 1.22698 
35, 0.00175, 0.0335717, 78.7995, -2.47382, 0.145448, 0.024581, 1.22876 
