t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  1.4160590e+03,  2.0000000e+04,  1.9977501e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  1.1806507e+02,  3.9831066e+06,  7.1556653e+04,  1.8132207e+04,  2.0000000e+04
 1.5000000e-04,  7.4815850e+01,  1.8705029e+04,  4.0710890e+04,  1.6406175e+04,  2.0000000e+04
 2.0000000e-04,  5.7541402e+01,  3.2806273e+03,  2.4563434e+04,  1.3456009e+04,  2.0000000e+04
 2.5000000e-04,  4.8218759e+01,  1.8094544e+03,  1.6014304e+04,  9.2646994e+03,  2.0000000e+04
 3.0000000e-04,  4.3010546e+01,  2.8733361e+03,  1.1179648e+04,  5.5270486e+03,  2.0000000e+04
 3.5000000e-04,  3.9807822e+01,  2.9340220e+03,  8.2368746e+03,  3.6971791e+03,  2.0000000e+04
 4.0000000e-04,  3.7527264e+01,  2.6636490e+03,  6.3046686e+03,  2.6902411e+03,  2.0000000e+04
 4.5000000e-04,  3.5692829e+01,  2.3298335e+03,  4.9369394e+03,  2.0122118e+03,  2.0000000e+04
 5.0000000e-04,  3.4106624e+01,  2.0174309e+03,  3.9459333e+03,  1.5408532e+03,  2.0000000e+04
 5.5000000e-04,  3.2701168e+01,  1.7481973e+03,  3.2474999e+03,  1.2076050e+03,  2.0000000e+04
 6.0000000e-04,  3.1459451e+01,  1.5228464e+03,  2.7595002e+03,  9.6832315e+02,  2.0000000e+04
 6.5000000e-04,  3.0376913e+01,  1.3358458e+03,  2.4044619e+03,  7.8388002e+02,  2.0000000e+04
 7.0000000e-04,  2.9452342e+01,  1.1799518e+03,  2.1199412e+03,  6.4968322e+02,  2.0000000e+04
 7.5000000e-04,  2.8673187e+01,  1.0500152e+03,  1.9115662e+03,  2.9216177e+03,  2.0000000e+04
 8.0000000e-04,  2.8022189e+01,  9.4103863e+02,  1.7171092e+03,  1.5268320e+03,  2.0000000e+04
 8.5000000e-04,  2.7481684e+01,  8.4877871e+02,  1.5745273e+03,  8.3315598e+02,  2.0000000e+04
 9.0000000e-04,  2.7032836e+01,  7.7062939e+02,  1.4680584e+03,  5.2375595e+02,  2.0000000e+04
 9.5000000e-04,  2.6655929e+01,  7.0357199e+02,  1.3780217e+03,  4.6169324e+02,  2.0000000e+04
 1.0000000e-03,  2.6334551e+01,  6.4546963e+02,  1.3000147e+03,  1.5519361e+03,  2.0000000e+04
 1.0500000e-03,  2.6051761e+01,  5.9466324e+02,  1.2293590e+03,  8.0416991e+02,  2.0000000e+04
 1.1000000e-03,  2.5795261e+01,  5.4973906e+02,  1.1723303e+03,  9.8391943e+02,  2.0000000e+04
 1.1500000e-03,  2.5555069e+01,  5.0994961e+02,  1.1266353e+03,  5.2359923e+02,  2.0000000e+04
 1.2000000e-03,  2.5323146e+01,  4.7408924e+02,  1.0911525e+03,  2.9863103e+02,  2.0000000e+04
 1.2500000e-03,  2.5094034e+01,  4.4173200e+02,  1.0533154e+03,  2.0076777e+02,  2.0000000e+04
 1.3000000e-03,  2.4863617e+01,  4.1226800e+02,  1.0231127e+03,  1.5560267e+02,  2.0000000e+04
 1.3500000e-03,  2.4629733e+01,  3.8539583e+02,  9.8911239e+02,  1.3508806e+02,  2.0000000e+04
 1.4000000e-03,  2.4390169e+01,  3.6065993e+02,  9.4910361e+02,  1.2457052e+02,  2.0000000e+04
 1.4500000e-03,  2.4143831e+01,  3.3785474e+02,  9.0910724e+02,  2.2133148e+02,  2.0000000e+04
 1.5000000e-03,  2.3890343e+01,  3.1665427e+02,  8.7297121e+02,  1.5840484e+02,  2.0000000e+04
 1.5500000e-03,  2.3630712e+01,  2.9689870e+02,  8.3761856e+02,  1.1330948e+02,  2.0000000e+04
 1.6000000e-03,  2.3365733e+01,  2.7848486e+02,  8.0112268e+02,  9.8321010e+01,  2.0000000e+04
 1.6500000e-03,  2.3096287e+01,  2.6124314e+02,  7.7047995e+02,  9.1830071e+01,  2.0000000e+04
 1.7000000e-03,  2.2824201e+01,  2.4518171e+02,  7.4413001e+02,  8.0298215e+01,  2.0000000e+04
 1.7500000e-03,  2.2549988e+01,  2.2985340e+02,  7.2419342e+02,  8.6381128e+01,  2.0000000e+04
 1.8000000e-03,  2.2274225e+01,  2.1568314e+02,  7.0669856e+02,  1.0221393e+02,  2.0000000e+04
 1.8500000e-03,  2.1997487e+01,  2.0221805e+02,  6.9073825e+02,  9.1367798e+01,  2.0000000e+04
 1.9000000e-03,  2.1719799e+01,  1.8967385e+02,  6.6509828e+02,  6.8593017e+01,  2.0000000e+04
 1.9500000e-03,  2.1441400e+01,  1.7771525e+02,  6.4019737e+02,  6.1918668e+01,  2.0000000e+04
 2.0000000e-03,  2.1162988e+01,  1.6660388e+02,  6.1737155e+02,  7.9356059e+01,  2.0000000e+04
 2.0500000e-03,  2.0885063e+01,  1.5590469e+02,  5.9743287e+02,  6.9375340e+01,  2.0000000e+04
 2.1000000e-03,  2.0608410e+01,  1.4589021e+02,  5.7930307e+02,  7.8925336e+01,  2.0000000e+04
 2.1500000e-03,  2.0332555e+01,  1.3620708e+02,  5.6565116e+02,  6.1792211e+01,  2.0000000e+04
 2.2000000e-03,  2.0058715e+01,  1.2712922e+02,  5.5233180e+02,  5.7677954e+01,  2.0000000e+04
 2.2500000e-03,  1.9787703e+01,  1.1845840e+02,  5.4012658e+02,  7.9255269e+01,  2.0000000e+04
 2.3000000e-03,  1.9519930e+01,  1.1011028e+02,  5.3237063e+02,  5.7798641e+01,  2.0000000e+04
 2.3500000e-03,  1.9254725e+01,  1.0219664e+02,  5.2572235e+02,  4.6491471e+01,  2.0000000e+04
 2.4000000e-03,  1.8992827e+01,  9.4531375e+01,  5.1691364e+02,  5.3244224e+01,  2.0000000e+04
 2.4500000e-03,  1.8734745e+01,  8.7126292e+01,  5.1090543e+02,  4.4339676e+01,  2.0000000e+04
 2.5000000e-03,  1.8480375e+01,  7.9986124e+01,  5.0247872e+02,  3.7560634e+01,  2.0000000e+04
 2.5500000e-03,  1.8229495e+01,  7.2956607e+01,  4.9100953e+02,  7.9860504e+01,  2.0000000e+04
 2.6000000e-03,  1.7982000e+01,  6.6234420e+01,  4.7911456e+02,  5.3945926e+01,  2.0000000e+04
 2.6500000e-03,  1.7737048e+01,  5.9634839e+01,  4.6359781e+02,  2.4329711e+02,  2.0000000e+04
 2.7000000e-03,  1.7494979e+01,  5.3040106e+01,  4.5076368e+02,  1.3565605e+02,  2.0000000e+04
 2.7500000e-03,  1.7255747e+01,  4.6919300e+01,  4.3711624e+02,  9.3072279e+01,  2.0000000e+04
 2.8000000e-03,  1.7019184e+01,  4.0742737e+01,  4.3945156e+02,  9.4716439e+01,  2.0000000e+04
 2.8500000e-03,  1.6785072e+01,  3.5009206e+01,  4.1664295e+02,  7.9664485e+01,  2.0000000e+04
 2.9000000e-03,  1.6553307e+01,  2.9615146e+01,  4.0377047e+02,  4.9197089e+01,  2.0000000e+04
