iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.704, -49.5603, 0.000292349, 287629, 0.227448, -38557.9, 48750.2, 0.144401, -17956.3 
2, 0.0001, 62.796, -23.08, 0.000185581, 48855.3, 0.144382, -17956.2, 2890.74, -0.0614913, -520.775 
3, 0.00015, 3.86994, -0.662286, -7.91631e-05, 3010.81, -0.0615889, -515.258, 551.13, 0.0575694, -145.581 
4, 0.0002, 0.821088, -0.186156, 7.39233e-05, 638.807, 0.0575123, -144.829, 513.485, 0.00742793, -158.171 
5, 0.00025, 0.74042, -0.202962, 9.28959e-06, 576.047, 0.0072273, -157.904, 547.949, 0.00805886, -163.275 
6, 0.0003, 0.770551, -0.209597, 1.00718e-05, 599.489, 0.00783588, -163.067, 573.827, 0.00543484, -161.157 
7, 0.00035, 0.796797, -0.206903, 6.54403e-06, 619.908, 0.00509126, -160.97, 590.983, 0.00448838, -157.037 
8, 0.0004, 0.815091, -0.201626, 5.28821e-06, 634.14, 0.00411423, -156.865, 600.426, 0.000322834, -152.518 
9, 0.00045, 0.825466, -0.195828, -4.64907e-08, 642.212, -3.61698e-05, -152.354, 603.742, -0.000524915, -148.222 
10, 0.0005, 0.829354, -0.190311, -1.19231e-06, 645.237, -0.000927618, -148.062, 602.151, -0.000887891, -144.266 
11, 0.00055, 0.828004, -0.185226, -1.74964e-06, 644.187, -0.00136122, -144.105, 597.079, -0.00337645, -140.575 
12, 0.0006, 0.823036, -0.180477, -5.61169e-06, 640.322, -0.00436589, -140.411, 590.03, -0.00469109, -137.035 
13, 0.00065, 0.81624, -0.175931, -7.73162e-06, 635.034, -0.0060152, -136.874, 582.047, -0.00625018, -133.758 
14, 0.0007, 0.808715, -0.171748, -9.6976e-06, 629.18, -0.00754473, -133.62, 573.267, -0.00675115, -130.721 
15, 0.00075, 0.799836, -0.167863, -9.66976e-06, 622.272, -0.00752307, -130.598, 564.161, -0.00577047, -127.825 
16, 0.0008, 0.7903, -0.164147, -7.72563e-06, 614.853, -0.00601054, -127.706, 555.204, -0.00748403, -125.054 
17, 0.00085, 0.780724, -0.160566, -9.84704e-06, 607.403, -0.007661, -124.92, 546.572, -0.00775979, -122.375 
18, 0.0009, 0.771352, -0.157083, -1.04125e-05, 600.112, -0.00810094, -122.21, 538.501, -0.00828357, -119.844 
19, 0.00095, 0.762503, -0.153794, -1.12103e-05, 593.227, -0.0087216, -119.652, 530.916, -0.00795033, -117.466 
20, 0.001, 0.754053, -0.15071, -1.10047e-05, 586.653, -0.00856169, -117.252, 523.78, -0.00906032, -115.197 
21, 0.00105, 0.745926, -0.147773, -1.25574e-05, 580.33, -0.00976965, -114.967, 517.065, -0.00964266, -113.037 
22, 0.0011, 0.738088, -0.14498, -1.31919e-05, 574.232, -0.0102633, -112.794, 510.671, -0.00757928, -110.985 
23, 0.00115, 0.730434, -0.142335, -1.01308e-05, 568.278, -0.00788174, -110.736, 504.561, -0.00760356, -109.031 
24, 0.0012, 0.722916, -0.139821, -9.66203e-06, 562.428, -0.00751706, -108.78, 498.669, -0.00656469, -107.15 
25, 0.00125, 0.715473, -0.1374, -8.39484e-06, 556.638, -0.00653118, -106.897, 493.078, -0.00814003, -105.328 
26, 0.0013, 0.708277, -0.135042, -1.08198e-05, 551.04, -0.0084178, -105.063, 487.717, -0.0079304, -103.564 
27, 0.00135, 0.701297, -0.132755, -1.07944e-05, 545.609, -0.00839802, -103.284, 482.739, -0.00825132, -101.912 
28, 0.0014, 0.694769, -0.130617, -1.14991e-05, 540.53, -0.00894627, -101.62, 478.043, -0.00854462, -100.35 
29, 0.00145, 0.688594, -0.128598, -1.18746e-05, 535.726, -0.0092384, -100.049, 473.669, -0.00869272, -98.8784 
30, 0.0015, 0.68283, -0.126697, -1.18779e-05, 531.242, -0.00924102, -98.5706, 469.502, -0.00768664, -97.4713 
