t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  4.8545792e+02,  2.0000000e+04,  1.9977501e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  4.2666206e+01,  1.3534957e+06,  7.1554146e+04,  1.8132603e+04,  2.0000000e+04
 1.5000000e-04,  2.1401968e+01,  1.4147291e+05,  4.0713448e+04,  1.6402996e+04,  2.0000000e+04
 2.0000000e-04,  1.6396310e+01,  4.7466129e+03,  2.4558839e+04,  1.3456690e+04,  2.0000000e+04
 2.5000000e-04,  1.3170347e+01,  1.1779653e+03,  1.5999979e+04,  9.2676524e+03,  2.0000000e+04
 3.0000000e-04,  1.1846705e+01,  6.9017441e+02,  1.1148401e+04,  5.5279272e+03,  2.0000000e+04
 3.5000000e-04,  1.1258566e+01,  5.5572172e+02,  8.1804023e+03,  3.6969403e+03,  2.0000000e+04
 4.0000000e-04,  1.0897352e+01,  5.0466058e+02,  6.2204368e+03,  2.6900442e+03,  2.0000000e+04
 4.5000000e-04,  1.0611112e+01,  4.6627084e+02,  4.8302213e+03,  2.0119075e+03,  2.0000000e+04
 5.0000000e-04,  1.0358352e+01,  4.3724994e+02,  3.8560948e+03,  1.5404979e+03,  2.0000000e+04
 5.5000000e-04,  1.0125094e+01,  4.1808302e+02,  3.1489619e+03,  1.2073965e+03,  2.0000000e+04
 6.0000000e-04,  9.8956483e+00,  4.0615275e+02,  2.6684633e+03,  9.6876446e+02,  2.0000000e+04
 6.5000000e-04,  9.6777691e+00,  3.9755277e+02,  2.3302899e+03,  7.8392005e+02,  2.0000000e+04
 7.0000000e-04,  9.4664457e+00,  3.8060555e+02,  2.0853506e+03,  6.4845627e+02,  2.0000000e+04
 7.5000000e-04,  9.2562207e+00,  3.6508129e+02,  1.9010085e+03,  5.4600768e+02,  2.0000000e+04
 8.0000000e-04,  9.0484280e+00,  3.5073187e+02,  1.7416688e+03,  4.6207766e+02,  2.0000000e+04
 8.5000000e-04,  8.8476381e+00,  3.3850407e+02,  1.5987986e+03,  4.3952902e+02,  2.0000000e+04
 9.0000000e-04,  8.6501587e+00,  3.2660999e+02,  1.4837114e+03,  3.5775961e+02,  2.0000000e+04
 9.5000000e-04,  8.4640814e+00,  3.1538360e+02,  1.3887968e+03,  3.4124009e+02,  2.0000000e+04
 1.0000000e-03,  8.2852116e+00,  3.0386781e+02,  1.3114602e+03,  2.8255560e+02,  2.0000000e+04
 1.0500000e-03,  8.1142155e+00,  2.9204989e+02,  1.2503510e+03,  2.4261190e+02,  2.0000000e+04
 1.1000000e-03,  7.9522454e+00,  2.8060636e+02,  1.2061154e+03,  2.5404662e+02,  2.0000000e+04
 1.1500000e-03,  7.7977371e+00,  2.6936816e+02,  1.1642782e+03,  2.0901835e+02,  2.0000000e+04
 1.2000000e-03,  7.6506953e+00,  2.5889459e+02,  1.1227229e+03,  1.7858062e+02,  2.0000000e+04
 1.2500000e-03,  7.5098624e+00,  2.4925014e+02,  1.0675538e+03,  1.7838824e+02,  2.0000000e+04
 1.3000000e-03,  7.3715755e+00,  2.4137850e+02,  1.0159397e+03,  2.8925791e+03,  2.0000000e+04
 1.3500000e-03,  7.2362452e+00,  2.3420688e+02,  9.6865025e+02,  1.7034500e+03,  2.0000000e+04
 1.4000000e-03,  7.1039021e+00,  2.2825710e+02,  9.2546171e+02,  8.6276254e+02,  2.0000000e+04
 1.4500000e-03,  6.9759760e+00,  2.2295089e+02,  8.8747912e+02,  4.4188398e+02,  2.0000000e+04
 1.5000000e-03,  6.8540171e+00,  2.1827070e+02,  8.4978253e+02,  2.4203101e+02,  2.0000000e+04
 1.5500000e-03,  6.7387631e+00,  2.1372247e+02,  8.1676409e+02,  1.8840150e+02,  2.0000000e+04
 1.6000000e-03,  6.6343689e+00,  2.0928152e+02,  7.9039917e+02,  1.1968934e+02,  2.0000000e+04
 1.6500000e-03,  6.5383989e+00,  2.0483948e+02,  7.6810421e+02,  9.6807162e+01,  2.0000000e+04
 1.7000000e-03,  6.4490213e+00,  2.0041369e+02,  7.4554683e+02,  8.1378603e+01,  2.0000000e+04
 1.7500000e-03,  6.3647403e+00,  1.9639745e+02,  7.1255931e+02,  7.8608292e+01,  2.0000000e+04
 1.8000000e-03,  6.2813264e+00,  1.9245263e+02,  6.8240492e+02,  9.1371465e+01,  2.0000000e+04
 1.8500000e-03,  6.1987463e+00,  1.8835517e+02,  6.5607986e+02,  7.1985738e+01,  2.0000000e+04
 1.9000000e-03,  6.1170333e+00,  1.8476424e+02,  6.3273429e+02,  6.4816695e+01,  2.0000000e+04
 1.9500000e-03,  6.0372569e+00,  1.8136700e+02,  6.1197987e+02,  6.3666061e+01,  2.0000000e+04
 2.0000000e-03,  5.9603339e+00,  1.7836660e+02,  5.9444064e+02,  5.6840140e+01,  2.0000000e+04
 2.0500000e-03,  5.8872750e+00,  1.7543418e+02,  5.7908641e+02,  5.2994874e+01,  2.0000000e+04
 2.1000000e-03,  5.8181952e+00,  1.7245507e+02,  5.6713557e+02,  5.1930590e+01,  2.0000000e+04
 2.1500000e-03,  5.7536622e+00,  1.6974099e+02,  5.5768591e+02,  4.7308540e+01,  2.0000000e+04
 2.2000000e-03,  5.6932309e+00,  1.6709263e+02,  5.5107763e+02,  4.5738279e+01,  2.0000000e+04
 2.2500000e-03,  5.6367759e+00,  1.6477036e+02,  5.4644430e+02,  4.3735257e+01,  2.0000000e+04
 2.3000000e-03,  5.5837443e+00,  1.6257103e+02,  5.3876198e+02,  4.1336417e+01,  2.0000000e+04
 2.3500000e-03,  5.5330827e+00,  1.6046416e+02,  5.2786460e+02,  4.2690681e+01,  2.0000000e+04
 2.4000000e-03,  5.4836615e+00,  1.5853092e+02,  5.0997810e+02,  6.4122273e+01,  2.0000000e+04
 2.4500000e-03,  5.4346790e+00,  1.5651640e+02,  4.9308651e+02,  5.3784156e+01,  2.0000000e+04
 2.5000000e-03,  5.3859874e+00,  1.5431626e+02,  4.7668883e+02,  4.2529326e+01,  2.0000000e+04
 2.5500000e-03,  5.3374842e+00,  1.5231895e+02,  4.6124243e+02,  3.5865244e+01,  2.0000000e+04
 2.6000000e-03,  5.2894150e+00,  1.5056827e+02,  4.4763127e+02,  3.4067681e+01,  2.0000000e+04
 2.6500000e-03,  5.2420342e+00,  1.4887992e+02,  4.3628505e+02,  3.2175187e+01,  2.0000000e+04
 2.7000000e-03,  5.1959424e+00,  1.4728126e+02,  4.2302093e+02,  3.2819650e+01,  2.0000000e+04
 2.7500000e-03,  5.1514390e+00,  1.4576487e+02,  4.1201737e+02,  3.0409669e+01,  2.0000000e+04
 2.8000000e-03,  5.1085237e+00,  1.4414057e+02,  4.0156483e+02,  3.0642715e+01,  2.0000000e+04
 2.8500000e-03,  5.0673454e+00,  1.4266387e+02,  3.9236802e+02,  2.7844453e+01,  2.0000000e+04
 2.9000000e-03,  5.0280603e+00,  1.4094431e+02,  3.8370707e+02,  2.6649230e+01,  2.0000000e+04
 2.9500000e-03,  4.9907230e+00,  1.3959273e+02,  3.7693644e+02,  2.8529623e+01,  2.0000000e+04
 3.0000000e-03,  4.9552379e+00,  1.3812561e+02,  3.7180047e+02,  4.5022078e+01,  2.0000000e+04
 3.0500000e-03,  4.9208944e+00,  1.3689030e+02,  3.6792713e+02,  6.7659614e+01,  2.0000000e+04
 3.1000000e-03,  4.8875622e+00,  1.3553343e+02,  3.6360071e+02,  6.2361180e+01,  2.0000000e+04
 3.1500000e-03,  4.8553781e+00,  1.3445135e+02,  3.6021031e+02,  3.7227117e+01,  2.0000000e+04
 3.2000000e-03,  4.8236748e+00,  1.3313684e+02,  3.5637075e+02,  3.2138948e+01,  2.0000000e+04
 3.2500000e-03,  4.7922901e+00,  1.3187864e+02,  3.4987026e+02,  2.7130723e+01,  2.0000000e+04
 3.3000000e-03,  4.7610453e+00,  1.3055544e+02,  3.4206339e+02,  2.3792999e+01,  2.0000000e+04
 3.3500000e-03,  4.7295976e+00,  1.2919922e+02,  3.3496692e+02,  2.2135611e+01,  2.0000000e+04
 3.4000000e-03,  4.6979231e+00,  1.2819291e+02,  3.2915509e+02,  2.1833429e+01,  2.0000000e+04
 3.4500000e-03,  4.6661190e+00,  1.2709038e+02,  3.2318662e+02,  2.4134262e+01,  2.0000000e+04
 3.5000000e-03,  4.6341091e+00,  1.2603105e+02,  3.1616318e+02,  3.7121353e+01,  2.0000000e+04
 3.5500000e-03,  4.6020350e+00,  1.2496978e+02,  3.0998610e+02,  3.3812220e+01,  2.0000000e+04
 3.6000000e-03,  4.5700233e+00,  1.2355899e+02,  3.0522810e+02,  2.4693290e+01,  2.0000000e+04
 3.6500000e-03,  4.5380925e+00,  1.2271242e+02,  2.9976591e+02,  2.0858838e+01,  2.0000000e+04
 3.7000000e-03,  4.5064614e+00,  1.2134273e+02,  2.9415257e+02,  2.2824074e+01,  2.0000000e+04
 3.7500000e-03,  4.4750190e+00,  1.2032286e+02,  2.8928892e+02,  2.0074778e+01,  2.0000000e+04
 3.8000000e-03,  4.4439973e+00,  1.1914752e+02,  2.8578958e+02,  3.3227530e+01,  2.0000000e+04
 3.8500000e-03,  4.4134400e+00,  1.1816927e+02,  2.8186722e+02,  2.3226705e+01,  2.0000000e+04
 3.9000000e-03,  4.3835946e+00,  1.1694469e+02,  2.7683624e+02,  2.7374033e+01,  2.0000000e+04
 3.9500000e-03,  4.3543299e+00,  1.1604825e+02,  2.7312571e+02,  2.1218554e+01,  2.0000000e+04
