 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0234249e+02,  8.9768073e+01,  0.0000000e+00,  4.7913724e+00,  0.0000000e+00,  7.5968690e-01
       1,  1.2428791e+02,  0.0000000e+00,  0.0000000e+00,  7.9022128e-01,  1.1032651e+02,  8.4288117e+00
       2,  4.8796845e+01,  0.0000000e+00,  0.0000000e+00,  7.5118561e-01,  3.6463617e+01,  7.6234917e+00
       3,  4.0123557e+01,  0.0000000e+00,  0.0000000e+00,  7.5111295e-01,  2.7806056e+01,  7.6208140e+00
       4,  3.1090218e+01,  0.0000000e+00,  0.0000000e+00,  7.5614818e-01,  1.8747037e+01,  7.6284332e+00
       5,  2.8639710e+01,  0.0000000e+00,  0.0000000e+00,  7.4763355e-01,  1.6336815e+01,  7.6171342e+00
       6,  2.8525438e+01,  0.0000000e+00,  0.0000000e+00,  7.4173689e-01,  1.6162616e+01,  7.6198124e+00
       7,  2.8590689e+01,  0.0000000e+00,  0.0000000e+00,  7.4498730e-01,  1.6259260e+01,  7.6329071e+00
       8,  2.8509187e+01,  0.0000000e+00,  0.0000000e+00,  7.4118867e-01,  1.6183307e+01,  7.6116948e+00
       9,  2.8082933e+01,  0.0000000e+00,  0.0000000e+00,  7.5570038e-01,  1.5722912e+01,  7.6364344e+00
      10,  2.6993769e+01,  0.0000000e+00,  0.0000000e+00,  7.5403430e-01,  1.4653731e+01,  7.6363423e+00
      11,  2.6680094e+01,  0.0000000e+00,  0.0000000e+00,  7.4374149e-01,  1.4337864e+01,  7.6440432e+00
      12,  2.6809827e+01,  0.0000000e+00,  0.0000000e+00,  7.4432970e-01,  1.4462999e+01,  7.6291340e+00
      13,  2.6506900e+01,  0.0000000e+00,  0.0000000e+00,  7.5280452e-01,  1.4166988e+01,  7.6449920e+00
      14,  2.6519677e+01,  0.0000000e+00,  0.0000000e+00,  7.4650623e-01,  1.4186347e+01,  7.6502543e+00
      15,  2.6197915e+01,  0.0000000e+00,  0.0000000e+00,  7.4743908e-01,  1.3851685e+01,  7.6489311e+00
