 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  9.9085643e+01,  8.7103401e+01,  0.0000000e+00,  4.7377373e+00,  0.0000000e+00,  7.6132695e-01
       1,  1.1980944e+02,  0.0000000e+00,  0.0000000e+00,  7.6663935e-01,  1.0592023e+02,  8.4198272e+00
       2,  4.5871405e+01,  0.0000000e+00,  0.0000000e+00,  7.4507912e-01,  3.3607433e+01,  7.5812848e+00
       3,  3.7865902e+01,  0.0000000e+00,  0.0000000e+00,  7.3408523e-01,  2.5632560e+01,  7.5846038e+00
       4,  2.9453007e+01,  0.0000000e+00,  0.0000000e+00,  7.3402047e-01,  1.7220361e+01,  7.5761080e+00
       5,  2.7210109e+01,  0.0000000e+00,  0.0000000e+00,  7.3421748e-01,  1.4977507e+01,  7.5745200e+00
       6,  2.7087774e+01,  0.0000000e+00,  0.0000000e+00,  7.3741803e-01,  1.4843346e+01,  7.5613605e+00
       7,  2.7273609e+01,  0.0000000e+00,  0.0000000e+00,  7.3616895e-01,  1.5022973e+01,  7.5573073e+00
       8,  2.7101883e+01,  0.0000000e+00,  0.0000000e+00,  7.5171185e-01,  1.4838348e+01,  7.5507327e+00
       9,  2.6672211e+01,  0.0000000e+00,  0.0000000e+00,  7.5480125e-01,  1.4409138e+01,  7.5681918e+00
      10,  2.5720560e+01,  0.0000000e+00,  0.0000000e+00,  7.3344666e-01,  1.3492657e+01,  7.5664276e+00
      11,  2.5412682e+01,  0.0000000e+00,  0.0000000e+00,  7.3479955e-01,  1.3174961e+01,  7.5615917e+00
      12,  2.5548249e+01,  0.0000000e+00,  0.0000000e+00,  7.3774436e-01,  1.3314643e+01,  7.5758167e+00
      13,  2.5326853e+01,  0.0000000e+00,  0.0000000e+00,  7.3309354e-01,  1.3100541e+01,  7.5674203e+00
      14,  2.5330058e+01,  0.0000000e+00,  0.0000000e+00,  7.3581908e-01,  1.3086074e+01,  7.5526852e+00
      15,  2.4976943e+01,  0.0000000e+00,  0.0000000e+00,  7.3403199e-01,  1.2745811e+01,  7.5287527e+00
      16,  2.5291379e+01,  0.0000000e+00,  0.0000000e+00,  7.4578607e-01,  1.3032876e+01,  7.5364283e+00
      17,  2.5326576e+01,  0.0000000e+00,  0.0000000e+00,  7.3625680e-01,  1.3076625e+01,  7.5657710e+00
      18,  2.5194502e+01,  0.0000000e+00,  0.0000000e+00,  7.3399562e-01,  1.2945187e+01,  7.5494150e+00
      19,  2.5360172e+01,  0.0000000e+00,  0.0000000e+00,  7.3548483e-01,  1.3107850e+01,  7.5546193e+00
      20,  2.5136315e+01,  0.0000000e+00,  0.0000000e+00,  7.3484683e-01,  1.2889523e+01,  7.5496725e+00
      21,  2.5080145e+01,  0.0000000e+00,  0.0000000e+00,  7.3449439e-01,  1.2812222e+01,  7.5614960e+00
      22,  2.4962065e+01,  0.0000000e+00,  0.0000000e+00,  7.3341787e-01,  1.2716849e+01,  7.5604958e+00
      23,  2.5133102e+01,  0.0000000e+00,  0.0000000e+00,  7.3325061e-01,  1.2883304e+01,  7.5579771e+00
      24,  2.5639234e+01,  0.0000000e+00,  0.0000000e+00,  7.3539359e-01,  1.3401816e+01,  7.5485439e+00
      25,  2.5246615e+01,  0.0000000e+00,  0.0000000e+00,  7.3254863e-01,  1.3007983e+01,  7.5589380e+00
      26,  2.5634570e+01,  0.0000000e+00,  0.0000000e+00,  7.3489486e-01,  1.3389874e+01,  7.5714390e+00
      27,  2.5495013e+01,  0.0000000e+00,  0.0000000e+00,  7.3278389e-01,  1.3249799e+01,  7.5434344e+00
      28,  2.5433282e+01,  0.0000000e+00,  0.0000000e+00,  7.3318967e-01,  1.3204442e+01,  7.5611268e+00
      29,  2.5157073e+01,  0.0000000e+00,  0.0000000e+00,  7.3364780e-01,  1.2926731e+01,  7.5396772e+00
      30,  2.5576743e+01,  0.0000000e+00,  0.0000000e+00,  7.3433923e-01,  1.3323886e+01,  7.5699118e+00
      31,  2.6324376e+01,  0.0000000e+00,  0.0000000e+00,  7.5584232e-01,  1.4065065e+01,  7.5655622e+00
      32,  2.6300000e+01,  0.0000000e+00,  0.0000000e+00,  7.3313361e-01,  1.4073398e+01,  7.5884937e+00
      33,  2.6579150e+01,  0.0000000e+00,  0.0000000e+00,  7.3365729e-01,  1.4343287e+01,  7.5596359e+00
      34,  2.6369266e+01,  0.0000000e+00,  0.0000000e+00,  7.3426542e-01,  1.4122446e+01,  7.5726299e+00
      35,  2.6762112e+01,  0.0000000e+00,  0.0000000e+00,  7.3430835e-01,  1.4517463e+01,  7.5636100e+00
      36,  2.6319342e+01,  0.0000000e+00,  0.0000000e+00,  7.3616592e-01,  1.4072140e+01,  7.5708816e+00
      37,  2.6038627e+01,  0.0000000e+00,  0.0000000e+00,  7.3574252e-01,  1.3797890e+01,  7.5520511e+00
      38,  2.5575584e+01,  0.0000000e+00,  0.0000000e+00,  7.3534072e-01,  1.3317734e+01,  7.5718011e+00
      39,  2.5533532e+01,  0.0000000e+00,  0.0000000e+00,  7.3449379e-01,  1.3289768e+01,  7.5563916e+00
      40,  2.6291491e+01,  0.0000000e+00,  0.0000000e+00,  7.3466652e-01,  1.4042013e+01,  7.5443652e+00
      41,  2.5561350e+01,  0.0000000e+00,  0.0000000e+00,  7.5454717e-01,  1.3303935e+01,  7.5643183e+00
      42,  2.5346227e+01,  0.0000000e+00,  0.0000000e+00,  7.3396542e-01,  1.3113745e+01,  7.5523155e+00
      43,  2.5316367e+01,  0.0000000e+00,  0.0000000e+00,  7.3369863e-01,  1.3066314e+01,  7.5641626e+00
      44,  2.5030731e+01,  0.0000000e+00,  0.0000000e+00,  7.3237439e-01,  1.2785561e+01,  7.5508904e+00
      45,  2.4853268e+01,  0.0000000e+00,  0.0000000e+00,  7.3323061e-01,  1.2619345e+01,  7.5556128e+00
      46,  2.4801752e+01,  0.0000000e+00,  0.0000000e+00,  7.5638550e-01,  1.2534535e+01,  7.5602616e+00
      47,  2.4785740e+01,  0.0000000e+00,  0.0000000e+00,  7.3515080e-01,  1.2536797e+01,  7.5519473e+00
      48,  2.5145553e+01,  0.0000000e+00,  0.0000000e+00,  7.3505027e-01,  1.2902055e+01,  7.5672474e+00
      49,  2.4484005e+01,  0.0000000e+00,  0.0000000e+00,  7.3419445e-01,  1.2242266e+01,  7.5728509e+00
