iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.8383, -1.83883, -0.16096, 0.450779, 5.38849 
2, 0.0001, 0.162946, 76.8177, -1.83883, -0.16096, 0.450779, 1.63544 
3, 0.00015, 0.083259, 77.6511, -2.47382, 0.145448, 0.024581, 1.64629 
4, 0.0002, 0.04973, 79.3617, -2.47382, 0.145448, 0.024581, 1.47209 
5, 0.00025, 0.0414859, 79.6681, -2.47382, 0.145448, 0.024581, 1.24185 
6, 0.0003, 0.0367434, 79.6207, -2.47382, 0.145448, 0.024581, 1.14267 
7, 0.00035, 0.0289909, 79.5242, -2.47382, 0.145448, 0.024581, 1.08734 
8, 0.0004, 0.0262274, 79.4401, -2.47382, 0.145448, 0.024581, 1.05715 
9, 0.00045, 0.0246035, 79.3713, -2.47382, 0.145448, 0.024581, 1.04212 
10, 0.0005, 0.0206909, 79.3125, -2.47382, 0.145448, 0.024581, 1.03928 
11, 0.00055, 0.0139123, 79.26, -2.47382, 0.145448, 0.024581, 1.04566 
12, 0.0006, 0.0125146, 79.212, -2.47382, 0.145448, 0.024581, 1.05871 
13, 0.00065, 0.0087706, 79.1677, -2.47382, 0.145448, 0.024581, 1.07601 
14, 0.0007, 0.0245573, 79.127, -2.47382, 0.145448, 0.024581, 1.09508 
15, 0.00075, 0.0227616, 79.0897, -2.47382, 0.145448, 0.024581, 1.11417 
16, 0.0008, 0.0216209, 79.0557, -2.47382, 0.145448, 0.024581, 1.13227 
17, 0.00085, 0.0260499, 79.0243, -2.47382, 0.145448, 0.024581, 1.149 
18, 0.0009, 0.0306269, 78.9954, -2.47382, 0.145448, 0.024581, 1.16414 
19, 0.00095, 0.0267084, 78.9691, -2.47382, 0.145448, 0.024581, 1.17747 
20, 0.001, 0.0349584, 78.9456, -2.47382, 0.145448, 0.024581, 1.1888 
21, 0.00105, 0.0348782, 78.925, -2.47382, 0.145448, 0.024581, 1.19804 
22, 0.0011, 0.0355357, 78.9071, -2.47382, 0.145448, 0.024581, 1.20523 
23, 0.00115, 0.037579, 78.8918, -2.47382, 0.145448, 0.024581, 1.2105 
24, 0.0012, 0.0363967, 78.8787, -2.47382, 0.145448, 0.024581, 1.21409 
25, 0.00125, 0.0373392, 78.8674, -2.47382, 0.145448, 0.024581, 1.21631 
26, 0.0013, 0.0365327, 78.8572, -2.47382, 0.145448, 0.024581, 1.21753 
27, 0.00135, 0.0359521, 78.8479, -2.47382, 0.145448, 0.024581, 1.21829 
28, 0.0014, 0.0355466, 78.8394, -2.47382, 0.145448, 0.024581, 1.21894 
29, 0.00145, 0.0352193, 78.8319, -2.47382, 0.145448, 0.024581, 1.2197 
30, 0.0015, 0.0251404, 78.8251, -2.47382, 0.145448, 0.024581, 1.22062 
31, 0.00155, 0.0253202, 78.8192, -2.47382, 0.145448, 0.024581, 1.22166 
32, 0.0016, 0.0348639, 78.8141, -2.47382, 0.145448, 0.024581, 1.22287 
33, 0.00165, 0.0322679, 78.8096, -2.47382, 0.145448, 0.024581, 1.22424 
34, 0.0017, 0.0346924, 78.8052, -2.47382, 0.145448, 0.024581, 1.22583 
35, 0.00175, 0.0308507, 78.801, -2.47382, 0.145448, 0.024581, 1.22772 
36, 0.0018, 0.0351969, 78.7969, -2.47382, 0.145448, 0.024581, 1.22986 
37, 0.00185, 0.0356215, 78.793, -2.47382, 0.145448, 0.024581, 1.23213 
38, 0.0019, 0.0337097, 78.7893, -2.47382, 0.145448, 0.024581, 1.23438 
39, 0.00195, 0.0309135, 78.7859, -2.47382, 0.145448, 0.024581, 1.23652 
40, 0.002, 0.0135183, 78.7828, -2.47382, 0.145448, 0.024581, 1.23844 
41, 0.00205, 0.0379833, 78.78, -2.47382, 0.145448, 0.024581, 1.24013 
42, 0.0021, 0.0210297, 78.7772, -2.47382, 0.145448, 0.024581, 1.24159 
43, 0.00215, 0.0393248, 78.7745, -2.47382, 0.145448, 0.024581, 1.24292 
44, 0.0022, 0.0396684, 78.7717, -2.47382, 0.145448, 0.024581, 1.24409 
45, 0.00225, 0.0395018, 78.7689, -2.47382, 0.145448, 0.024581, 1.2451 
46, 0.0023, 0.0398117, 78.7661, -2.47382, 0.145448, 0.024581, 1.24593 
47, 0.00235, 0.03153, 78.7635, -2.47382, 0.145448, 0.024581, 1.24664 
48, 0.0024, 0.041552, 78.7611, -2.47382, 0.145448, 0.024581, 1.2473 
49, 0.00245, 0.0382126, 78.7588, -2.47382, 0.145448, 0.024581, 1.24794 
50, 0.0025, 0.034708, 78.7566, -2.47382, 0.145448, 0.024581, 1.24862 
