t, velocity, pressure, k, omega, wall_distance
 1.0050000e-02,  3.0835161e+00,  5.0904005e+02,  1.6188424e+02,  1.3285116e+02,  0.0000000e+00
 1.0100000e-02,  3.0574076e+00,  7.8558081e+01,  1.6586296e+02,  7.4324846e+01,  0.0000000e+00
 1.0150000e-02,  3.0504161e+00,  7.0592419e+01,  1.6895270e+02,  4.2073726e+01,  0.0000000e+00
 1.0200000e-02,  3.0497663e+00,  7.0864107e+01,  1.6923867e+02,  2.6983119e+01,  0.0000000e+00
 1.0250000e-02,  3.0530092e+00,  7.1044491e+01,  1.7121684e+02,  3.4009663e+01,  0.0000000e+00
 1.0300000e-02,  3.0591011e+00,  7.1317126e+01,  1.7176241e+02,  2.1226154e+01,  0.0000000e+00
 1.0350000e-02,  3.0663486e+00,  7.1829973e+01,  1.7269749e+02,  1.5577125e+01,  0.0000000e+00
 1.0400000e-02,  3.0755858e+00,  7.2461413e+01,  1.7334052e+02,  2.4716326e+01,  0.0000000e+00
 1.0450000e-02,  3.0865029e+00,  7.3029585e+01,  1.7623263e+02,  1.9560790e+01,  0.0000000e+00
 1.0500000e-02,  3.0993046e+00,  7.3702364e+01,  1.7582422e+02,  4.8324118e+01,  0.0000000e+00
 1.0550000e-02,  3.1126885e+00,  7.4480278e+01,  2.1617668e+02,  3.6079115e+01,  0.0000000e+00
 1.0600000e-02,  3.1283975e+00,  7.5384666e+01,  1.8674357e+02,  2.4368653e+01,  0.0000000e+00
 1.0650000e-02,  3.1428317e+00,  7.5964822e+01,  1.8244544e+02,  2.4312718e+03,  0.0000000e+00
 1.0700000e-02,  3.1593734e+00,  7.6810827e+01,  1.8261877e+02,  1.3536471e+03,  0.0000000e+00
 1.0750000e-02,  3.1761751e+00,  7.7605420e+01,  1.8526136e+02,  6.8194033e+02,  0.0000000e+00
 1.0800000e-02,  3.1949278e+00,  7.8483090e+01,  1.8325446e+02,  3.6410513e+02,  0.0000000e+00
 1.0850000e-02,  3.2128631e+00,  7.9348603e+01,  1.8213282e+02,  1.8955944e+02,  0.0000000e+00
 1.0900000e-02,  3.2327058e+00,  8.0297111e+01,  1.8232065e+02,  1.0949085e+02,  0.0000000e+00
 1.0950000e-02,  3.2527246e+00,  8.1240063e+01,  1.8175712e+02,  6.0029347e+01,  0.0000000e+00
 1.1000000e-02,  3.2738098e+00,  8.2277930e+01,  1.8208748e+02,  4.8519574e+01,  0.0000000e+00
 1.1050000e-02,  3.2953822e+00,  8.3326086e+01,  1.8184303e+02,  2.0356961e+02,  0.0000000e+00
 1.1100000e-02,  3.3172765e+00,  8.4364570e+01,  1.8293300e+02,  1.0455592e+02,  0.0000000e+00
 1.1150000e-02,  3.3402311e+00,  8.5453114e+01,  1.8239777e+02,  5.6567166e+01,  0.0000000e+00
 1.1200000e-02,  3.3628044e+00,  8.6596982e+01,  1.8211903e+02,  3.3861199e+01,  0.0000000e+00
 1.1250000e-02,  3.3870458e+00,  8.7697696e+01,  1.8251073e+02,  9.6829240e+01,  0.0000000e+00
 1.1300000e-02,  3.4119466e+00,  8.8802844e+01,  1.8360409e+02,  5.0905814e+01,  0.0000000e+00
 1.1350000e-02,  3.4373782e+00,  8.9980253e+01,  1.8295426e+02,  2.8743280e+01,  0.0000000e+00
 1.1400000e-02,  3.4624325e+00,  9.1127358e+01,  1.8304484e+02,  2.8399937e+02,  0.0000000e+00
 1.1450000e-02,  3.4885258e+00,  9.2365989e+01,  1.9106541e+02,  2.5724807e+02,  0.0000000e+00
 1.1500000e-02,  3.5148956e+00,  9.3620655e+01,  1.8586172e+02,  1.2931745e+02,  0.0000000e+00
 1.1550000e-02,  3.5416977e+00,  9.4848313e+01,  1.8425123e+02,  6.5921091e+01,  0.0000000e+00
 1.1600000e-02,  3.5692672e+00,  9.6012394e+01,  1.8394737e+02,  4.7631459e+01,  0.0000000e+00
 1.1650000e-02,  3.5973224e+00,  9.7195657e+01,  1.8510182e+02,  3.0367256e+01,  0.0000000e+00
 1.1700000e-02,  3.6248404e+00,  9.8417316e+01,  1.8492718e+02,  2.0680996e+01,  0.0000000e+00
 1.1750000e-02,  3.6530435e+00,  9.9716978e+01,  1.8455803e+02,  1.8144606e+01,  0.0000000e+00
 1.1800000e-02,  3.6816742e+00,  1.0092037e+02,  1.8568530e+02,  2.8560545e+01,  0.0000000e+00
 1.1850000e-02,  3.7099400e+00,  1.0215180e+02,  1.8550748e+02,  1.8998146e+01,  0.0000000e+00
 1.1900000e-02,  3.7372313e+00,  1.0332912e+02,  1.8540644e+02,  2.8215937e+01,  0.0000000e+00
 1.1950000e-02,  3.7663372e+00,  1.0455952e+02,  1.8742223e+02,  1.3102514e+02,  0.0000000e+00
 1.2000000e-02,  3.7945937e+00,  1.0572310e+02,  1.8685053e+02,  6.7714945e+01,  0.0000000e+00
 1.2050000e-02,  3.8224330e+00,  1.0684713e+02,  1.8574364e+02,  3.5896262e+01,  0.0000000e+00
 1.2100000e-02,  3.8511798e+00,  1.0810411e+02,  1.8493842e+02,  6.4722564e+01,  0.0000000e+00
 1.2150000e-02,  3.8789731e+00,  1.0911571e+02,  1.8576004e+02,  5.3648741e+01,  0.0000000e+00
 1.2200000e-02,  3.9074627e+00,  1.1024812e+02,  1.8527725e+02,  3.0189059e+01,  0.0000000e+00
 1.2250000e-02,  3.9359645e+00,  1.1138580e+02,  1.8411326e+02,  2.1220801e+01,  0.0000000e+00
 1.2300000e-02,  3.9629507e+00,  1.1233766e+02,  1.8329719e+02,  2.3252334e+01,  0.0000000e+00
 1.2350000e-02,  3.9911684e+00,  1.1343019e+02,  1.8283995e+02,  1.8008978e+01,  0.0000000e+00
 1.2400000e-02,  4.0187640e+00,  1.1435879e+02,  1.8211195e+02,  5.3628734e+01,  0.0000000e+00
 1.2450000e-02,  4.0463963e+00,  1.1538675e+02,  1.8236664e+02,  3.2087284e+01,  0.0000000e+00
 1.2500000e-02,  4.0733294e+00,  1.1623174e+02,  1.8092780e+02,  2.2178955e+01,  0.0000000e+00
 1.2550000e-02,  4.1001797e+00,  1.1723420e+02,  1.7999312e+02,  1.8447205e+01,  0.0000000e+00
 1.2600000e-02,  4.1266586e+00,  1.1803221e+02,  1.7918138e+02,  2.4272579e+01,  0.0000000e+00
 1.2650000e-02,  4.1528647e+00,  1.1896167e+02,  1.7787366e+02,  3.6511532e+01,  0.0000000e+00
 1.2700000e-02,  4.1785505e+00,  1.1968578e+02,  1.7697744e+02,  5.9633380e+02,  0.0000000e+00
 1.2750000e-02,  4.2040292e+00,  1.2055553e+02,  1.8636123e+02,  2.9905309e+02,  0.0000000e+00
 1.2800000e-02,  4.2290749e+00,  1.2132022e+02,  1.7696138e+02,  1.5014716e+02,  0.0000000e+00
 1.2850000e-02,  4.2540051e+00,  1.2203192e+02,  1.7391713e+02,  7.7614248e+01,  0.0000000e+00
 1.2900000e-02,  4.2783711e+00,  1.2263823e+02,  1.7327162e+02,  4.4154754e+01,  0.0000000e+00
 1.2950000e-02,  4.3021744e+00,  1.2323942e+02,  1.7161607e+02,  4.0281211e+01,  0.0000000e+00
 1.3000000e-02,  4.3257730e+00,  1.2391557e+02,  1.7030389e+02,  7.6207737e+01,  0.0000000e+00
 1.3050000e-02,  4.3481157e+00,  1.2443990e+02,  1.7178478e+02,  4.4024266e+01,  0.0000000e+00
 1.3100000e-02,  4.3706206e+00,  1.2501817e+02,  1.6823096e+02,  2.8220261e+01,  0.0000000e+00
 1.3150000e-02,  4.3922296e+00,  1.2546911e+02,  1.6563129e+02,  4.7187721e+01,  0.0000000e+00
 1.3200000e-02,  4.4143707e+00,  1.2601749e+02,  1.6536664e+02,  3.8241790e+01,  0.0000000e+00
 1.3250000e-02,  4.4358115e+00,  1.2643140e+02,  1.6301400e+02,  2.9007639e+01,  0.0000000e+00
 1.3300000e-02,  4.4574118e+00,  1.2687972e+02,  1.6143928e+02,  8.4632989e+01,  0.0000000e+00
 1.3350000e-02,  4.4776266e+00,  1.2743777e+02,  1.6285049e+02,  2.7546548e+02,  0.0000000e+00
 1.3400000e-02,  4.4977138e+00,  1.2780085e+02,  1.6234878e+02,  1.7835271e+02,  0.0000000e+00
 1.3450000e-02,  4.5168141e+00,  1.2818233e+02,  1.5869854e+02,  9.1533089e+01,  0.0000000e+00
 1.3500000e-02,  4.5363325e+00,  1.2856623e+02,  1.5684493e+02,  4.8710325e+01,  0.0000000e+00
 1.3550000e-02,  4.5546143e+00,  1.2878447e+02,  1.5496744e+02,  3.0171227e+01,  0.0000000e+00
 1.3600000e-02,  4.5722582e+00,  1.2909194e+02,  1.5378094e+02,  3.1393467e+01,  0.0000000e+00
 1.3650000e-02,  4.5897025e+00,  1.2932136e+02,  1.5270816e+02,  4.0604407e+01,  0.0000000e+00
 1.3700000e-02,  4.6067257e+00,  1.2961195e+02,  1.5189334e+02,  2.4617932e+01,  0.0000000e+00
 1.3750000e-02,  4.6235380e+00,  1.2986008e+02,  1.5072281e+02,  2.7425177e+01,  0.0000000e+00
 1.3800000e-02,  4.6395222e+00,  1.3004244e+02,  1.4947040e+02,  1.9701474e+01,  0.0000000e+00
 1.3850000e-02,  4.6546630e+00,  1.3029789e+02,  1.4829450e+02,  4.0620501e+02,  0.0000000e+00
 1.3900000e-02,  4.6700608e+00,  1.3043143e+02,  1.5635354e+02,  2.0493509e+02,  0.0000000e+00
 1.3950000e-02,  4.6843778e+00,  1.3064664e+02,  1.4881902e+02,  1.0322415e+02,  0.0000000e+00
 1.4000000e-02,  4.6985498e+00,  1.3074729e+02,  1.4585273e+02,  6.8059010e+01,  0.0000000e+00
 1.4050000e-02,  4.7119808e+00,  1.3088048e+02,  1.4614835e+02,  1.0223859e+02,  0.0000000e+00
 1.4100000e-02,  4.7252898e+00,  1.3098270e+02,  1.4677845e+02,  5.3822414e+01,  0.0000000e+00
 1.4150000e-02,  4.7371726e+00,  1.3108008e+02,  1.4430206e+02,  3.0112007e+01,  0.0000000e+00
 1.4200000e-02,  4.7490428e+00,  1.3110601e+02,  1.4281791e+02,  3.2456661e+02,  0.0000000e+00
 1.4250000e-02,  4.7610973e+00,  1.3128176e+02,  1.5144168e+02,  1.8222038e+02,  0.0000000e+00
 1.4300000e-02,  4.7727171e+00,  1.3122956e+02,  1.4437962e+02,  9.2174167e+01,  0.0000000e+00
 1.4350000e-02,  4.7835993e+00,  1.3133562e+02,  1.4124906e+02,  9.2983093e+01,  0.0000000e+00
 1.4400000e-02,  4.7939981e+00,  1.3133067e+02,  1.4224037e+02,  5.0770384e+01,  0.0000000e+00
 1.4450000e-02,  4.8037394e+00,  1.3138051e+02,  1.4106530e+02,  3.0423913e+01,  0.0000000e+00
 1.4500000e-02,  4.8129604e+00,  1.3124492e+02,  1.3961350e+02,  3.2044104e+01,  0.0000000e+00
 1.4550000e-02,  4.8222450e+00,  1.3130320e+02,  1.3939938e+02,  5.9647631e+01,  0.0000000e+00
 1.4600000e-02,  4.8315618e+00,  1.3127472e+02,  1.4167501e+02,  3.9848660e+01,  0.0000000e+00
 1.4650000e-02,  4.8403440e+00,  1.3120992e+02,  1.3919766e+02,  4.9237931e+01,  0.0000000e+00
 1.4700000e-02,  4.8487704e+00,  1.3114719e+02,  1.3772502e+02,  9.3515651e+01,  0.0000000e+00
 1.4750000e-02,  4.8565283e+00,  1.3109087e+02,  1.3971530e+02,  5.2394651e+01,  0.0000000e+00
 1.4800000e-02,  4.8637536e+00,  1.3093094e+02,  1.3781258e+02,  5.7669189e+01,  0.0000000e+00
 1.4850000e-02,  4.8711291e+00,  1.3087007e+02,  1.3774424e+02,  6.4199608e+01,  0.0000000e+00
 1.4900000e-02,  4.8785112e+00,  1.3065789e+02,  1.3827617e+02,  5.1108329e+01,  0.0000000e+00
 1.4950000e-02,  4.8862435e+00,  1.3072165e+02,  1.3737837e+02,  3.1481543e+01,  0.0000000e+00
 1.5000000e-02,  4.8935165e+00,  1.3056058e+02,  1.3646784e+02,  2.2881452e+01,  0.0000000e+00
 1.5050000e-02,  4.9003951e+00,  1.3047015e+02,  1.3581344e+02,  1.8162176e+01,  0.0000000e+00
 1.5100000e-02,  4.9065682e+00,  1.3025168e+02,  1.3582205e+02,  3.8140104e+01,  0.0000000e+00
 1.5150000e-02,  4.9134936e+00,  1.3015387e+02,  1.3535735e+02,  2.3510118e+01,  0.0000000e+00
 1.5200000e-02,  4.9202806e+00,  1.3002963e+02,  1.3520789e+02,  2.9543024e+01,  0.0000000e+00
 1.5250000e-02,  4.9269270e+00,  1.2985918e+02,  1.3518816e+02,  1.9472108e+01,  0.0000000e+00
 1.5300000e-02,  4.9339533e+00,  1.2976327e+02,  1.3532776e+02,  1.6895828e+01,  0.0000000e+00
 1.5350000e-02,  4.9402787e+00,  1.2967444e+02,  1.3513046e+02,  1.5682605e+01,  0.0000000e+00
 1.5400000e-02,  4.9462329e+00,  1.2938219e+02,  1.3507271e+02,  1.4362320e+01,  0.0000000e+00
 1.5450000e-02,  4.9528284e+00,  1.2926632e+02,  1.3489370e+02,  1.8490870e+01,  0.0000000e+00
 1.5500000e-02,  4.9595080e+00,  1.2908613e+02,  1.3522423e+02,  1.5217022e+01,  0.0000000e+00
 1.5550000e-02,  4.9667930e+00,  1.2885272e+02,  1.3475949e+02,  1.5806075e+01,  0.0000000e+00
 1.5600000e-02,  4.9736810e+00,  1.2875243e+02,  1.3455726e+02,  1.6677092e+01,  0.0000000e+00
 1.5650000e-02,  4.9800946e+00,  1.2852413e+02,  1.3454279e+02,  3.1174362e+01,  0.0000000e+00
 1.5700000e-02,  4.9870046e+00,  1.2839045e+02,  1.3468145e+02,  1.8911586e+01,  0.0000000e+00
 1.5750000e-02,  4.9936647e+00,  1.2817317e+02,  1.3444889e+02,  1.8681216e+01,  0.0000000e+00
 1.5800000e-02,  5.0009888e+00,  1.2786815e+02,  1.3440075e+02,  3.4397548e+03,  0.0000000e+00
 1.5850000e-02,  5.0086388e+00,  1.2785898e+02,  1.5196232e+02,  1.7417507e+03,  0.0000000e+00
 1.5900000e-02,  5.0164248e+00,  1.2763007e+02,  1.3765330e+02,  8.7357202e+02,  0.0000000e+00
 1.5950000e-02,  5.0237488e+00,  1.2750454e+02,  1.3601332e+02,  4.3857310e+02,  0.0000000e+00
 1.6000000e-02,  5.0312770e+00,  1.2722549e+02,  1.3718010e+02,  2.2051991e+02,  0.0000000e+00
 1.6050000e-02,  5.0390170e+00,  1.2706840e+02,  1.3657209e+02,  4.9583199e+02,  0.0000000e+00
 1.6100000e-02,  5.0479208e+00,  1.2680921e+02,  1.3975882e+02,  2.8998223e+02,  0.0000000e+00
 1.6150000e-02,  5.0559335e+00,  1.2670873e+02,  1.3793712e+02,  1.4805145e+02,  0.0000000e+00
 1.6200000e-02,  5.0640815e+00,  1.2652188e+02,  1.3642888e+02,  7.9164957e+01,  0.0000000e+00
 1.6250000e-02,  5.0718409e+00,  1.2633219e+02,  1.3603791e+02,  4.6613228e+01,  0.0000000e+00
 1.6300000e-02,  5.0799379e+00,  1.2613573e+02,  1.3645637e+02,  3.8318586e+02,  0.0000000e+00
 1.6350000e-02,  5.0891854e+00,  1.2598110e+02,  1.3799217e+02,  2.0022772e+02,  0.0000000e+00
 1.6400000e-02,  5.0982270e+00,  1.2590375e+02,  1.3760009e+02,  1.0854222e+02,  0.0000000e+00
 1.6450000e-02,  5.1067703e+00,  1.2560735e+02,  1.3649079e+02,  5.7242456e+01,  0.0000000e+00
 1.6500000e-02,  5.1151428e+00,  1.2556358e+02,  1.3684796e+02,  8.4620283e+01,  0.0000000e+00
 1.6550000e-02,  5.1247117e+00,  1.2536569e+02,  1.3761883e+02,  8.4632125e+01,  0.0000000e+00
 1.6600000e-02,  5.1338448e+00,  1.2509355e+02,  1.3810975e+02,  1.2824928e+02,  0.0000000e+00
 1.6650000e-02,  5.1443929e+00,  1.2514923e+02,  1.3828375e+02,  6.9280711e+01,  0.0000000e+00
 1.6700000e-02,  5.1546201e+00,  1.2503136e+02,  1.3821484e+02,  4.0590763e+01,  0.0000000e+00
 1.6750000e-02,  5.1643155e+00,  1.2471908e+02,  1.3763350e+02,  3.3317516e+01,  0.0000000e+00
 1.6800000e-02,  5.1742114e+00,  1.2457282e+02,  1.3783331e+02,  4.7254957e+01,  0.0000000e+00
 1.6850000e-02,  5.1848753e+00,  1.2447966e+02,  1.3810179e+02,  3.4268636e+01,  0.0000000e+00
 1.6900000e-02,  5.1965008e+00,  1.2434814e+02,  1.3859837e+02,  1.1279105e+02,  0.0000000e+00
 1.6950000e-02,  5.2079514e+00,  1.2429096e+02,  1.3961146e+02,  6.1227910e+01,  0.0000000e+00
 1.7000000e-02,  5.2193704e+00,  1.2410635e+02,  1.3933477e+02,  1.7310594e+02,  0.0000000e+00
 1.7050000e-02,  5.2308926e+00,  1.2410080e+02,  1.3998676e+02,  3.7696413e+02,  0.0000000e+00
 1.7100000e-02,  5.2421786e+00,  1.2387386e+02,  1.4301721e+02,  1.9231209e+02,  0.0000000e+00
 1.7150000e-02,  5.2551674e+00,  1.2389105e+02,  1.4142271e+02,  9.9408503e+01,  0.0000000e+00
 1.7200000e-02,  5.2675443e+00,  1.2367698e+02,  1.4110974e+02,  5.4403090e+01,  0.0000000e+00
 1.7250000e-02,  5.2800374e+00,  1.2371052e+02,  1.4117816e+02,  3.7110497e+01,  0.0000000e+00
 1.7300000e-02,  5.2931975e+00,  1.2354690e+02,  1.4209916e+02,  1.5236582e+03,  0.0000000e+00
 1.7350000e-02,  5.3069464e+00,  1.2354122e+02,  1.4761644e+02,  7.6404700e+02,  0.0000000e+00
 1.7400000e-02,  5.3213291e+00,  1.2347738e+02,  1.4474963e+02,  3.9183866e+02,  0.0000000e+00
 1.7450000e-02,  5.3354233e+00,  1.2341480e+02,  1.4416693e+02,  5.1354460e+02,  0.0000000e+00
 1.7500000e-02,  5.3500059e+00,  1.2332746e+02,  1.4557844e+02,  2.6016499e+02,  0.0000000e+00
 1.7550000e-02,  5.3649330e+00,  1.2326824e+02,  1.4493200e+02,  1.3775864e+02,  0.0000000e+00
 1.7600000e-02,  5.3809592e+00,  1.2314490e+02,  1.4532690e+02,  7.7135935e+01,  0.0000000e+00
 1.7650000e-02,  5.3963997e+00,  1.2308975e+02,  1.4583407e+02,  4.2533099e+01,  0.0000000e+00
 1.7700000e-02,  5.4125670e+00,  1.2305730e+02,  1.4660294e+02,  5.3737484e+01,  0.0000000e+00
 1.7750000e-02,  5.4289712e+00,  1.2299045e+02,  1.4778666e+02,  3.8907002e+01,  0.0000000e+00
 1.7800000e-02,  5.4448449e+00,  1.2291627e+02,  1.4832301e+02,  2.8259239e+01,  0.0000000e+00
 1.7850000e-02,  5.4622316e+00,  1.2280845e+02,  1.4853587e+02,  9.2513217e+01,  0.0000000e+00
