 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
     200,  7.9642123e+01,  6.3857189e+01,  3.8884454e+00,  4.6642298e+00,  0.0000000e+00,  7.4750935e-01
     201,  2.7839560e+01,  0.0000000e+00,  0.0000000e+00,  7.3413321e-01,  1.4947613e+01,  7.5844459e+00
     202,  2.3362352e+01,  0.0000000e+00,  0.0000000e+00,  7.3692685e-01,  1.0500285e+01,  7.5943477e+00
     203,  2.3829358e+01,  0.0000000e+00,  0.0000000e+00,  7.3512252e-01,  1.0954241e+01,  7.5876299e+00
     204,  2.3517076e+01,  0.0000000e+00,  0.0000000e+00,  7.3862725e-01,  1.0662674e+01,  7.5794453e+00
     205,  2.2343677e+01,  0.0000000e+00,  0.0000000e+00,  7.3503072e-01,  9.4983335e+00,  7.5868475e+00
     206,  2.2368579e+01,  0.0000000e+00,  0.0000000e+00,  7.3379452e-01,  9.5288509e+00,  7.5878492e+00
     207,  2.2995640e+01,  0.0000000e+00,  0.0000000e+00,  7.3667083e-01,  1.0152493e+01,  7.5862223e+00
     208,  2.2711894e+01,  0.0000000e+00,  0.0000000e+00,  7.3515294e-01,  9.8772368e+00,  7.5711551e+00
     209,  2.2600680e+01,  0.0000000e+00,  0.0000000e+00,  7.3721618e-01,  9.7761918e+00,  7.5751796e+00
     210,  2.2965800e+01,  0.0000000e+00,  0.0000000e+00,  7.3737046e-01,  1.0138912e+01,  7.5771869e+00
     211,  2.4205505e+01,  0.0000000e+00,  0.0000000e+00,  7.3404256e-01,  1.1363430e+01,  7.5673969e+00
     212,  2.3136373e+01,  0.0000000e+00,  0.0000000e+00,  7.3726848e-01,  1.0283969e+01,  7.5941945e+00
     213,  2.2522761e+01,  0.0000000e+00,  0.0000000e+00,  7.3642841e-01,  9.6887875e+00,  7.5670829e+00
     214,  2.1970821e+01,  0.0000000e+00,  0.0000000e+00,  7.5011654e-01,  9.1193001e+00,  7.5876485e+00
     215,  2.2298513e+01,  0.0000000e+00,  0.0000000e+00,  7.3556064e-01,  9.4710165e+00,  7.5759470e+00
     216,  2.2672643e+01,  0.0000000e+00,  0.0000000e+00,  7.4738350e-01,  9.8239448e+00,  7.5708425e+00
     217,  2.2085468e+01,  0.0000000e+00,  0.0000000e+00,  7.3411199e-01,  9.2567623e+00,  7.5830077e+00
     218,  2.2400782e+01,  0.0000000e+00,  0.0000000e+00,  7.3523415e-01,  9.5622122e+00,  7.5745168e+00
     219,  2.1959758e+01,  0.0000000e+00,  0.0000000e+00,  7.3619144e-01,  9.1199050e+00,  7.5756162e+00
     220,  2.2440995e+01,  0.0000000e+00,  0.0000000e+00,  7.4830367e-01,  9.5947090e+00,  7.5680230e+00
     221,  2.2369696e+01,  0.0000000e+00,  0.0000000e+00,  7.3532193e-01,  9.5312814e+00,  7.5597163e+00
     222,  2.2180582e+01,  0.0000000e+00,  0.0000000e+00,  7.3518941e-01,  9.3353952e+00,  7.5750074e+00
     223,  2.2311781e+01,  0.0000000e+00,  0.0000000e+00,  7.3487297e-01,  9.4765521e+00,  7.5763759e+00
     224,  2.2558835e+01,  0.0000000e+00,  0.0000000e+00,  7.3626616e-01,  9.7273341e+00,  7.5601751e+00
     225,  2.2221929e+01,  0.0000000e+00,  0.0000000e+00,  7.3611125e-01,  9.3882774e+00,  7.5704122e+00
     226,  2.2009747e+01,  0.0000000e+00,  0.0000000e+00,  7.3560710e-01,  9.1879354e+00,  7.5705394e+00
     227,  2.1979367e+01,  0.0000000e+00,  0.0000000e+00,  7.3571660e-01,  9.1437687e+00,  7.5668065e+00
     228,  2.1645514e+01,  0.0000000e+00,  0.0000000e+00,  7.3540506e-01,  8.8030031e+00,  7.5936119e+00
     229,  2.2845772e+01,  0.0000000e+00,  0.0000000e+00,  7.3516118e-01,  1.0003275e+01,  7.5970443e+00
     230,  2.1937845e+01,  0.0000000e+00,  0.0000000e+00,  7.3731950e-01,  9.0942335e+00,  7.5883452e+00
     231,  2.1676443e+01,  0.0000000e+00,  0.0000000e+00,  7.3512672e-01,  8.8357877e+00,  7.5619973e+00
     232,  2.1293656e+01,  0.0000000e+00,  0.0000000e+00,  7.3681874e-01,  8.4552465e+00,  7.5777597e+00
     233,  2.1348384e+01,  0.0000000e+00,  0.0000000e+00,  7.3578726e-01,  8.5081416e+00,  7.5597385e+00
     234,  2.1574288e+01,  0.0000000e+00,  0.0000000e+00,  7.3517933e-01,  8.7320247e+00,  7.5636179e+00
     235,  2.1320618e+01,  0.0000000e+00,  0.0000000e+00,  7.3716279e-01,  8.4750374e+00,  7.5557917e+00
     236,  2.1365074e+01,  0.0000000e+00,  0.0000000e+00,  7.3594924e-01,  8.5293413e+00,  7.5544368e+00
     237,  2.1076993e+01,  0.0000000e+00,  0.0000000e+00,  7.3595869e-01,  8.2554681e+00,  7.5646507e+00
     238,  2.1344307e+01,  0.0000000e+00,  0.0000000e+00,  7.3657871e-01,  8.5121217e+00,  7.5490948e+00
     239,  2.1890522e+01,  0.0000000e+00,  0.0000000e+00,  7.3530091e-01,  9.0763879e+00,  7.5520449e+00
     240,  2.1989592e+01,  0.0000000e+00,  0.0000000e+00,  7.3536697e-01,  9.1628637e+00,  7.5517221e+00
     241,  2.1615438e+01,  0.0000000e+00,  0.0000000e+00,  7.3426983e-01,  8.7732396e+00,  7.5590530e+00
     242,  2.1548917e+01,  0.0000000e+00,  0.0000000e+00,  7.5938651e-01,  8.6990601e+00,  7.5562896e+00
     243,  2.1501979e+01,  0.0000000e+00,  0.0000000e+00,  7.3570780e-01,  8.6781664e+00,  7.5743733e+00
     244,  2.1282173e+01,  0.0000000e+00,  0.0000000e+00,  7.3370707e-01,  8.4645992e+00,  7.5741182e+00
     245,  2.1218002e+01,  0.0000000e+00,  0.0000000e+00,  7.3460526e-01,  8.3919010e+00,  7.5685826e+00
     246,  2.1427161e+01,  0.0000000e+00,  0.0000000e+00,  7.3604522e-01,  8.6027606e+00,  7.5705953e+00
     247,  2.1437797e+01,  0.0000000e+00,  0.0000000e+00,  7.3589889e-01,  8.5980089e+00,  7.5631883e+00
     248,  2.1521947e+01,  0.0000000e+00,  0.0000000e+00,  7.3636272e-01,  8.6852920e+00,  7.5671467e+00
     249,  2.1316451e+01,  0.0000000e+00,  0.0000000e+00,  7.3456639e-01,  8.4953837e+00,  7.5617470e+00
     250,  2.1264425e+01,  0.0000000e+00,  0.0000000e+00,  7.3471531e-01,  8.4373992e+00,  7.5590534e+00
     251,  2.1072469e+01,  0.0000000e+00,  0.0000000e+00,  7.3618657e-01,  8.2282438e+00,  7.5495079e+00
     252,  2.1305792e+01,  0.0000000e+00,  0.0000000e+00,  7.3550195e-01,  8.4721050e+00,  7.5710269e+00
     253,  2.1541737e+01,  0.0000000e+00,  0.0000000e+00,  7.3675046e-01,  8.7064883e+00,  7.5568637e+00
     254,  2.1562856e+01,  0.0000000e+00,  0.0000000e+00,  7.3668132e-01,  8.7296731e+00,  7.5418839e+00
     255,  2.2005322e+01,  0.0000000e+00,  0.0000000e+00,  7.3654293e-01,  9.1800136e+00,  7.5607185e+00
     256,  2.1394913e+01,  0.0000000e+00,  0.0000000e+00,  7.4303920e-01,  8.5616926e+00,  7.5570920e+00
     257,  2.1475558e+01,  0.0000000e+00,  0.0000000e+00,  7.3627908e-01,  8.6254240e+00,  7.5676997e+00
     258,  2.1525964e+01,  0.0000000e+00,  0.0000000e+00,  7.3655460e-01,  8.6908030e+00,  7.5622542e+00
     259,  2.1736093e+01,  0.0000000e+00,  0.0000000e+00,  7.3505246e-01,  8.8987867e+00,  7.5725409e+00
     260,  2.1548872e+01,  0.0000000e+00,  0.0000000e+00,  7.3594336e-01,  8.7188844e+00,  7.5573242e+00
     261,  2.1962626e+01,  0.0000000e+00,  0.0000000e+00,  7.3352312e-01,  9.1200921e+00,  7.5631880e+00
     262,  2.1516173e+01,  0.0000000e+00,  0.0000000e+00,  7.3405940e-01,  8.6551594e+00,  7.5626761e+00
     263,  2.1237320e+01,  0.0000000e+00,  0.0000000e+00,  7.3557552e-01,  8.3964905e+00,  7.5571371e+00
     264,  2.1295280e+01,  0.0000000e+00,  0.0000000e+00,  7.3466237e-01,  8.4459350e+00,  7.5581890e+00
     265,  2.1489062e+01,  0.0000000e+00,  0.0000000e+00,  7.3432352e-01,  8.6284621e+00,  7.5640012e+00
     266,  2.1771407e+01,  0.0000000e+00,  0.0000000e+00,  7.3693819e-01,  8.9187370e+00,  7.5610405e+00
     267,  2.1899514e+01,  0.0000000e+00,  0.0000000e+00,  7.3574215e-01,  9.0604092e+00,  7.5637434e+00
     268,  2.1693664e+01,  0.0000000e+00,  0.0000000e+00,  7.3715324e-01,  8.8380511e+00,  7.5681095e+00
     269,  2.1459527e+01,  0.0000000e+00,  0.0000000e+00,  7.3598314e-01,  8.6327895e+00,  7.5439369e+00
     270,  2.1650705e+01,  0.0000000e+00,  0.0000000e+00,  7.4995945e-01,  8.8053125e+00,  7.5694841e+00
     271,  2.1574942e+01,  0.0000000e+00,  0.0000000e+00,  7.3503156e-01,  8.7456372e+00,  7.5720297e+00
     272,  2.1600321e+01,  0.0000000e+00,  0.0000000e+00,  7.3817731e-01,  8.7666702e+00,  7.5525115e+00
     273,  2.1647014e+01,  0.0000000e+00,  0.0000000e+00,  7.3472787e-01,  8.8035799e+00,  7.5555719e+00
     274,  2.1349909e+01,  0.0000000e+00,  0.0000000e+00,  7.3701464e-01,  8.4976287e+00,  7.5552607e+00
     275,  2.1326595e+01,  0.0000000e+00,  0.0000000e+00,  7.3601987e-01,  8.4697339e+00,  7.5543753e+00
     276,  2.1344053e+01,  0.0000000e+00,  0.0000000e+00,  7.3591071e-01,  8.5000664e+00,  7.5516804e+00
     277,  2.1402280e+01,  0.0000000e+00,  0.0000000e+00,  7.3649811e-01,  8.5599385e+00,  7.5620924e+00
     278,  2.1764544e+01,  0.0000000e+00,  0.0000000e+00,  7.3740861e-01,  8.9245559e+00,  7.5620613e+00
     279,  2.1347991e+01,  0.0000000e+00,  0.0000000e+00,  7.3792774e-01,  8.5043524e+00,  7.5383756e+00
     280,  2.1254151e+01,  0.0000000e+00,  0.0000000e+00,  7.3510868e-01,  8.4204721e+00,  7.5654796e+00
     281,  2.1158443e+01,  0.0000000e+00,  0.0000000e+00,  7.3592671e-01,  8.3135008e+00,  7.5705539e+00
     282,  2.1205685e+01,  0.0000000e+00,  0.0000000e+00,  7.3650933e-01,  8.3671155e+00,  7.5619947e+00
     283,  2.0988636e+01,  0.0000000e+00,  0.0000000e+00,  7.3576641e-01,  8.1479518e+00,  7.5491510e+00
     284,  2.1370489e+01,  0.0000000e+00,  0.0000000e+00,  7.3582439e-01,  8.5290339e+00,  7.5530375e+00
     285,  2.2308676e+01,  0.0000000e+00,  0.0000000e+00,  7.3581695e-01,  9.4832256e+00,  7.5518323e+00
     286,  2.1649058e+01,  0.0000000e+00,  0.0000000e+00,  7.3636096e-01,  8.8099715e+00,  7.5578997e+00
     287,  2.1484858e+01,  0.0000000e+00,  0.0000000e+00,  7.3602139e-01,  8.6319188e+00,  7.5727985e+00
     288,  2.1486750e+01,  0.0000000e+00,  0.0000000e+00,  7.3581282e-01,  8.6455372e+00,  7.5583465e+00
     289,  2.1394798e+01,  0.0000000e+00,  0.0000000e+00,  7.3594279e-01,  8.5572345e+00,  7.5681326e+00
     290,  2.1364694e+01,  0.0000000e+00,  0.0000000e+00,  7.3439037e-01,  8.5261122e+00,  7.5703671e+00
     291,  2.1176150e+01,  0.0000000e+00,  0.0000000e+00,  7.3620825e-01,  8.3357704e+00,  7.5537851e+00
     292,  2.1756128e+01,  0.0000000e+00,  0.0000000e+00,  7.3554179e-01,  8.9196243e+00,  7.5450508e+00
     293,  2.1905569e+01,  0.0000000e+00,  0.0000000e+00,  7.5796101e-01,  9.0364338e+00,  7.5570880e+00
