t, velocity, pressure, k, omega, wall_distance
 1.0050000e-02,  3.0835161e+00,  5.0904005e+02,  1.6188424e+02,  1.4162740e+02,  0.0000000e+00
 1.0100000e-02,  3.0577778e+00,  7.8691243e+01,  1.6669724e+02,  8.2743090e+01,  0.0000000e+00
 1.0150000e-02,  3.0511838e+00,  7.0630677e+01,  1.6798727e+02,  5.4971699e+01,  0.0000000e+00
 1.0200000e-02,  3.0508330e+00,  7.0938358e+01,  1.6659380e+02,  4.6380566e+01,  0.0000000e+00
 1.0250000e-02,  3.0542573e+00,  7.1084102e+01,  1.6659868e+02,  4.8121807e+01,  0.0000000e+00
 1.0300000e-02,  3.0606662e+00,  7.1416800e+01,  1.6622149e+02,  4.2047967e+01,  0.0000000e+00
 1.0350000e-02,  3.0684092e+00,  7.1874023e+01,  1.6605235e+02,  8.9379730e+01,  0.0000000e+00
 1.0400000e-02,  3.0777734e+00,  7.2526813e+01,  1.6564283e+02,  8.6992939e+01,  0.0000000e+00
 1.0450000e-02,  3.0889439e+00,  7.3121886e+01,  1.6564367e+02,  1.0880932e+02,  0.0000000e+00
 1.0500000e-02,  3.1014722e+00,  7.3788013e+01,  1.6653178e+02,  8.1151890e+01,  0.0000000e+00
 1.0550000e-02,  3.1146896e+00,  7.4471665e+01,  1.6723330e+02,  5.9644367e+01,  0.0000000e+00
 1.0600000e-02,  3.1311211e+00,  7.5317491e+01,  1.6801221e+02,  4.6212066e+01,  0.0000000e+00
 1.0650000e-02,  3.1464422e+00,  7.6096289e+01,  1.6844098e+02,  1.7258381e+02,  0.0000000e+00
 1.0700000e-02,  3.1629436e+00,  7.6993070e+01,  1.6892429e+02,  9.5009218e+01,  0.0000000e+00
 1.0750000e-02,  3.1805769e+00,  7.7772346e+01,  1.6898674e+02,  5.8652753e+01,  0.0000000e+00
 1.0800000e-02,  3.2000016e+00,  7.8744749e+01,  1.6940932e+02,  4.6324080e+01,  0.0000000e+00
 1.0850000e-02,  3.2185265e+00,  7.9621684e+01,  1.7010862e+02,  4.4191889e+01,  0.0000000e+00
 1.0900000e-02,  3.2389426e+00,  8.0584526e+01,  1.7094671e+02,  4.2300704e+01,  0.0000000e+00
 1.0950000e-02,  3.2600661e+00,  8.1568811e+01,  1.7125915e+02,  5.1767654e+01,  0.0000000e+00
 1.1000000e-02,  3.2816168e+00,  8.2612043e+01,  1.7251613e+02,  4.8785028e+01,  0.0000000e+00
 1.1050000e-02,  3.3040653e+00,  8.3703982e+01,  1.7282861e+02,  4.8602497e+01,  0.0000000e+00
 1.1100000e-02,  3.3264930e+00,  8.4747190e+01,  1.7333955e+02,  4.9136001e+01,  0.0000000e+00
 1.1150000e-02,  3.3507726e+00,  8.5929981e+01,  1.7334450e+02,  4.5246344e+01,  0.0000000e+00
 1.1200000e-02,  3.3738551e+00,  8.7052963e+01,  1.7350842e+02,  5.0766497e+01,  0.0000000e+00
 1.1250000e-02,  3.3993129e+00,  8.8262583e+01,  1.7414290e+02,  6.5123984e+01,  0.0000000e+00
 1.1300000e-02,  3.4252580e+00,  8.9348506e+01,  1.7434785e+02,  3.9666908e+03,  0.0000000e+00
 1.1350000e-02,  3.4504111e+00,  9.0535214e+01,  1.7680176e+02,  2.0142021e+03,  0.0000000e+00
 1.1400000e-02,  3.4771745e+00,  9.1768155e+01,  1.7558027e+02,  1.0141917e+03,  0.0000000e+00
 1.1450000e-02,  3.5042388e+00,  9.3039811e+01,  1.7538366e+02,  5.6753332e+02,  0.0000000e+00
 1.1500000e-02,  3.5317921e+00,  9.4281332e+01,  1.7674440e+02,  2.8727216e+02,  0.0000000e+00
 1.1550000e-02,  3.5604166e+00,  9.5613435e+01,  1.7621557e+02,  1.4873495e+02,  0.0000000e+00
 1.1600000e-02,  3.5883169e+00,  9.6833480e+01,  1.7657509e+02,  1.5933404e+02,  0.0000000e+00
 1.1650000e-02,  3.6173615e+00,  9.8066908e+01,  1.7747927e+02,  8.9270140e+01,  0.0000000e+00
 1.1700000e-02,  3.6466577e+00,  9.9357302e+01,  1.7712726e+02,  5.7365522e+01,  0.0000000e+00
 1.1750000e-02,  3.6751778e+00,  1.0062020e+02,  1.7706464e+02,  1.1931231e+02,  0.0000000e+00
 1.1800000e-02,  3.7056478e+00,  1.0195312e+02,  1.7796208e+02,  2.8528034e+02,  0.0000000e+00
 1.1850000e-02,  3.7346873e+00,  1.0318565e+02,  1.7808201e+02,  1.4751834e+02,  0.0000000e+00
 1.1900000e-02,  3.7634486e+00,  1.0444926e+02,  1.7790448e+02,  8.1485364e+01,  0.0000000e+00
 1.1950000e-02,  3.7932137e+00,  1.0569022e+02,  1.7763536e+02,  5.5067174e+01,  0.0000000e+00
 1.2000000e-02,  3.8223218e+00,  1.0685569e+02,  1.7733590e+02,  4.5532850e+01,  0.0000000e+00
 1.2050000e-02,  3.8518090e+00,  1.0815401e+02,  1.7692998e+02,  1.0765417e+03,  0.0000000e+00
 1.2100000e-02,  3.8812957e+00,  1.0929409e+02,  1.7749401e+02,  5.4012777e+02,  0.0000000e+00
 1.2150000e-02,  3.9101483e+00,  1.1044519e+02,  1.7704775e+02,  2.7217880e+02,  0.0000000e+00
 1.2200000e-02,  3.9396121e+00,  1.1159064e+02,  1.7622781e+02,  2.0565138e+02,  0.0000000e+00
 1.2250000e-02,  3.9691400e+00,  1.1269987e+02,  1.7583518e+02,  1.1128162e+02,  0.0000000e+00
 1.2300000e-02,  3.9970644e+00,  1.1374009e+02,  1.7544365e+02,  6.6785491e+01,  0.0000000e+00
 1.2350000e-02,  4.0259509e+00,  1.1483647e+02,  1.7509238e+02,  1.1592295e+02,  0.0000000e+00
 1.2400000e-02,  4.0548958e+00,  1.1587304e+02,  1.7420833e+02,  9.4732326e+01,  0.0000000e+00
 1.2450000e-02,  4.0831130e+00,  1.1682641e+02,  1.7409727e+02,  5.9375804e+01,  0.0000000e+00
 1.2500000e-02,  4.1105690e+00,  1.1774334e+02,  1.7318746e+02,  4.4582845e+01,  0.0000000e+00
 1.2550000e-02,  4.1382715e+00,  1.1869078e+02,  1.7236816e+02,  4.2089708e+01,  0.0000000e+00
 1.2600000e-02,  4.1647501e+00,  1.1950938e+02,  1.7211689e+02,  5.4055915e+01,  0.0000000e+00
 1.2650000e-02,  4.1922023e+00,  1.2049850e+02,  1.7093820e+02,  4.4608407e+01,  0.0000000e+00
 1.2700000e-02,  4.2178844e+00,  1.2119047e+02,  1.7016442e+02,  4.0545164e+01,  0.0000000e+00
 1.2750000e-02,  4.2441627e+00,  1.2206732e+02,  1.6908329e+02,  3.9823910e+01,  0.0000000e+00
 1.2800000e-02,  4.2693041e+00,  1.2276571e+02,  1.6781252e+02,  4.2981437e+01,  0.0000000e+00
 1.2850000e-02,  4.2947637e+00,  1.2363620e+02,  1.6708377e+02,  4.0142624e+01,  0.0000000e+00
 1.2900000e-02,  4.3190954e+00,  1.2405489e+02,  1.6604540e+02,  8.9925655e+01,  0.0000000e+00
 1.2950000e-02,  4.3431383e+00,  1.2486047e+02,  1.6492400e+02,  5.9731214e+01,  0.0000000e+00
 1.3000000e-02,  4.3660618e+00,  1.2532070e+02,  1.6391415e+02,  4.6003622e+01,  0.0000000e+00
 1.3050000e-02,  4.3893010e+00,  1.2590733e+02,  1.6288463e+02,  6.2014044e+01,  0.0000000e+00
 1.3100000e-02,  4.4111235e+00,  1.2641762e+02,  1.6271754e+02,  4.8494227e+01,  0.0000000e+00
 1.3150000e-02,  4.4329966e+00,  1.2696360e+02,  1.6039966e+02,  1.2602943e+02,  0.0000000e+00
 1.3200000e-02,  4.4550801e+00,  1.2741429e+02,  1.5925151e+02,  9.3166630e+01,  0.0000000e+00
 1.3250000e-02,  4.4761718e+00,  1.2790286e+02,  1.5811783e+02,  6.1130028e+01,  0.0000000e+00
 1.3300000e-02,  4.4979009e+00,  1.2836205e+02,  1.5698933e+02,  6.2188068e+01,  0.0000000e+00
 1.3350000e-02,  4.5177603e+00,  1.2877270e+02,  1.5656280e+02,  6.4357201e+01,  0.0000000e+00
 1.3400000e-02,  4.5376270e+00,  1.2923379e+02,  1.5536972e+02,  1.1096811e+02,  0.0000000e+00
 1.3450000e-02,  4.5567709e+00,  1.2957252e+02,  1.5451205e+02,  7.1434400e+01,  0.0000000e+00
 1.3500000e-02,  4.5755029e+00,  1.2984139e+02,  1.5358869e+02,  5.4583862e+01,  0.0000000e+00
 1.3550000e-02,  4.5929754e+00,  1.3010421e+02,  1.5257989e+02,  1.2240822e+02,  0.0000000e+00
 1.3600000e-02,  4.6107699e+00,  1.3040355e+02,  1.5325054e+02,  2.5266116e+02,  0.0000000e+00
 1.3650000e-02,  4.6280119e+00,  1.3067211e+02,  1.5140972e+02,  1.3159248e+02,  0.0000000e+00
 1.3700000e-02,  4.6448374e+00,  1.3088796e+02,  1.4999926e+02,  2.9840492e+02,  0.0000000e+00
 1.3750000e-02,  4.6608846e+00,  1.3106791e+02,  1.5042846e+02,  1.5583158e+02,  0.0000000e+00
 1.3800000e-02,  4.6760505e+00,  1.3135319e+02,  1.4937681e+02,  8.6329749e+01,  0.0000000e+00
 1.3850000e-02,  4.6915002e+00,  1.3153423e+02,  1.4841401e+02,  8.1539906e+01,  0.0000000e+00
 1.3900000e-02,  4.7060483e+00,  1.3161093e+02,  1.4777115e+02,  5.6179356e+01,  0.0000000e+00
 1.3950000e-02,  4.7202461e+00,  1.3184411e+02,  1.4678525e+02,  4.7317499e+01,  0.0000000e+00
 1.4000000e-02,  4.7339162e+00,  1.3192699e+02,  1.4592107e+02,  4.6627440e+01,  0.0000000e+00
 1.4050000e-02,  4.7470245e+00,  1.3207388e+02,  1.4536784e+02,  4.1881512e+01,  0.0000000e+00
 1.4100000e-02,  4.7595340e+00,  1.3218716e+02,  1.4472672e+02,  4.1194666e+01,  0.0000000e+00
 1.4150000e-02,  4.7707939e+00,  1.3220305e+02,  1.4402602e+02,  1.4979272e+03,  0.0000000e+00
 1.4200000e-02,  4.7824612e+00,  1.3231689e+02,  1.4492290e+02,  7.5393961e+02,  0.0000000e+00
 1.4250000e-02,  4.7941261e+00,  1.3230169e+02,  1.4324643e+02,  3.7880826e+02,  0.0000000e+00
 1.4300000e-02,  4.8050479e+00,  1.3239325e+02,  1.4218431e+02,  2.4499444e+02,  0.0000000e+00
 1.4350000e-02,  4.8155202e+00,  1.3247410e+02,  1.4474729e+02,  1.4413907e+02,  0.0000000e+00
 1.4400000e-02,  4.8254751e+00,  1.3249179e+02,  1.4192690e+02,  7.9689036e+01,  0.0000000e+00
 1.4450000e-02,  4.8349401e+00,  1.3236736e+02,  1.4077267e+02,  6.1818802e+02,  0.0000000e+00
 1.4500000e-02,  4.8442419e+00,  1.3244461e+02,  1.4743495e+02,  3.1309514e+02,  0.0000000e+00
 1.4550000e-02,  4.8529798e+00,  1.3234488e+02,  1.4138002e+02,  1.7209363e+02,  0.0000000e+00
 1.4600000e-02,  4.8619056e+00,  1.3227422e+02,  1.4026723e+02,  1.0234452e+02,  0.0000000e+00
 1.4650000e-02,  4.8704895e+00,  1.3229878e+02,  1.4053580e+02,  6.4338805e+01,  0.0000000e+00
 1.4700000e-02,  4.8783069e+00,  1.3216090e+02,  1.3923873e+02,  2.0942832e+02,  0.0000000e+00
 1.4750000e-02,  4.8858580e+00,  1.3211243e+02,  1.4014651e+02,  2.6638680e+02,  0.0000000e+00
 1.4800000e-02,  4.8930023e+00,  1.3203542e+02,  1.4017385e+02,  2.7898132e+02,  0.0000000e+00
 1.4850000e-02,  4.9000760e+00,  1.3186922e+02,  1.3863673e+02,  1.4427177e+02,  0.0000000e+00
 1.4900000e-02,  4.9076502e+00,  1.3171730e+02,  1.3754835e+02,  8.9557973e+01,  0.0000000e+00
 1.4950000e-02,  4.9149812e+00,  1.3171640e+02,  1.3669712e+02,  6.6004266e+01,  0.0000000e+00
 1.5000000e-02,  4.9221004e+00,  1.3153926e+02,  1.3655473e+02,  6.3832786e+01,  0.0000000e+00
 1.5050000e-02,  4.9287516e+00,  1.3143555e+02,  1.3613550e+02,  4.9630740e+01,  0.0000000e+00
 1.5100000e-02,  4.9351855e+00,  1.3129352e+02,  1.3584402e+02,  5.5192419e+01,  0.0000000e+00
 1.5150000e-02,  4.9418517e+00,  1.3113020e+02,  1.3541624e+02,  4.7244885e+01,  0.0000000e+00
 1.5200000e-02,  4.9484908e+00,  1.3103866e+02,  1.3505936e+02,  1.3570042e+02,  0.0000000e+00
 1.5250000e-02,  4.9552493e+00,  1.3090553e+02,  1.3477731e+02,  2.3652354e+02,  0.0000000e+00
 1.5300000e-02,  4.9622749e+00,  1.3079244e+02,  1.3776261e+02,  1.2417408e+02,  0.0000000e+00
 1.5350000e-02,  4.9683809e+00,  1.3057441e+02,  1.3554159e+02,  1.0324588e+02,  0.0000000e+00
 1.5400000e-02,  4.9744943e+00,  1.3034894e+02,  1.3426613e+02,  8.0657499e+03,  0.0000000e+00
 1.5450000e-02,  4.9813681e+00,  1.3029797e+02,  1.4108059e+02,  4.3049556e+03,  0.0000000e+00
 1.5500000e-02,  4.9886667e+00,  1.3002937e+02,  1.3532248e+02,  2.1911739e+03,  0.0000000e+00
