 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
     200,  7.8927800e+01,  6.3877748e+01,  3.1625832e+00,  4.7859684e+00,  0.0000000e+00,  7.4409954e-01
     201,  2.8196897e+01,  0.0000000e+00,  0.0000000e+00,  7.4177789e-01,  1.4997062e+01,  7.6045988e+00
     202,  2.3803582e+01,  0.0000000e+00,  0.0000000e+00,  7.3438021e-01,  1.0611030e+01,  7.6079133e+00
     203,  2.3975715e+01,  0.0000000e+00,  0.0000000e+00,  7.3081887e-01,  1.0759239e+01,  7.6061418e+00
     204,  2.3935337e+01,  0.0000000e+00,  0.0000000e+00,  7.3327643e-01,  1.0754091e+01,  7.5970064e+00
     205,  2.3507970e+01,  0.0000000e+00,  0.0000000e+00,  7.4209512e-01,  1.0326343e+01,  7.6055608e+00
     206,  2.3232382e+01,  0.0000000e+00,  0.0000000e+00,  7.3486328e-01,  1.0071607e+01,  7.6037426e+00
     207,  2.3605362e+01,  0.0000000e+00,  0.0000000e+00,  7.3466164e-01,  1.0443335e+01,  7.6039520e+00
     208,  2.2868096e+01,  0.0000000e+00,  0.0000000e+00,  7.3281169e-01,  9.7180585e+00,  7.6023801e+00
     209,  2.2767403e+01,  0.0000000e+00,  0.0000000e+00,  7.3209401e-01,  9.6197083e+00,  7.5890204e+00
     210,  2.2883992e+01,  0.0000000e+00,  0.0000000e+00,  7.3214978e-01,  9.7289454e+00,  7.5986650e+00
     211,  2.2783294e+01,  0.0000000e+00,  0.0000000e+00,  7.3670799e-01,  9.6148537e+00,  7.5946689e+00
     212,  2.2047165e+01,  0.0000000e+00,  0.0000000e+00,  7.3254957e-01,  8.8834492e+00,  7.5777557e+00
     213,  2.2740521e+01,  0.0000000e+00,  0.0000000e+00,  7.3236912e-01,  9.5509015e+00,  7.5901581e+00
     214,  2.2315189e+01,  0.0000000e+00,  0.0000000e+00,  7.3220793e-01,  9.1396554e+00,  7.5940404e+00
     215,  2.2362695e+01,  0.0000000e+00,  0.0000000e+00,  7.3379454e-01,  9.1832719e+00,  7.6164105e+00
     216,  2.2541307e+01,  0.0000000e+00,  0.0000000e+00,  7.3417251e-01,  9.3650368e+00,  7.6022247e+00
     217,  2.2397763e+01,  0.0000000e+00,  0.0000000e+00,  7.3237310e-01,  9.2131497e+00,  7.6080177e+00
     218,  2.2315403e+01,  0.0000000e+00,  0.0000000e+00,  7.3198272e-01,  9.1311371e+00,  7.5997422e+00
     219,  2.2483546e+01,  0.0000000e+00,  0.0000000e+00,  7.3204333e-01,  9.2968146e+00,  7.6026974e+00
     220,  2.1986769e+01,  0.0000000e+00,  0.0000000e+00,  7.3307596e-01,  8.7952278e+00,  7.5922998e+00
     221,  2.2031238e+01,  0.0000000e+00,  0.0000000e+00,  7.3258820e-01,  8.8458744e+00,  7.5994087e+00
     222,  2.2140879e+01,  0.0000000e+00,  0.0000000e+00,  7.3327677e-01,  8.9626024e+00,  7.5941221e+00
     223,  2.1622520e+01,  0.0000000e+00,  0.0000000e+00,  7.3386210e-01,  8.4392625e+00,  7.5977203e+00
     224,  2.1890813e+01,  0.0000000e+00,  0.0000000e+00,  7.3397741e-01,  8.7120481e+00,  7.5721313e+00
     225,  2.1909798e+01,  0.0000000e+00,  0.0000000e+00,  7.3235534e-01,  8.7155014e+00,  7.6063248e+00
     226,  2.1974397e+01,  0.0000000e+00,  0.0000000e+00,  7.3635972e-01,  8.7852978e+00,  7.5962070e+00
     227,  2.2640032e+01,  0.0000000e+00,  0.0000000e+00,  7.3336721e-01,  9.4505925e+00,  7.6020608e+00
     228,  2.2246509e+01,  0.0000000e+00,  0.0000000e+00,  7.3413872e-01,  9.0679768e+00,  7.5954111e+00
     229,  2.1788437e+01,  0.0000000e+00,  0.0000000e+00,  7.3317133e-01,  8.6149381e+00,  7.6020668e+00
     230,  2.2155806e+01,  0.0000000e+00,  0.0000000e+00,  7.3507841e-01,  8.9809605e+00,  7.5903399e+00
     231,  2.2418779e+01,  0.0000000e+00,  0.0000000e+00,  7.3285110e-01,  9.2291041e+00,  7.6163771e+00
     232,  2.2224041e+01,  0.0000000e+00,  0.0000000e+00,  7.3351564e-01,  9.0552594e+00,  7.6100016e+00
     233,  2.2310217e+01,  0.0000000e+00,  0.0000000e+00,  7.3543254e-01,  9.1373683e+00,  7.6059966e+00
     234,  2.2136950e+01,  0.0000000e+00,  0.0000000e+00,  7.3363072e-01,  8.9600891e+00,  7.6059240e+00
     235,  2.1838052e+01,  0.0000000e+00,  0.0000000e+00,  7.3497103e-01,  8.6471997e+00,  7.5961227e+00
     236,  2.1854062e+01,  0.0000000e+00,  0.0000000e+00,  7.3465875e-01,  8.6806923e+00,  7.6051506e+00
     237,  2.2058179e+01,  0.0000000e+00,  0.0000000e+00,  7.3191007e-01,  8.8793161e+00,  7.5861746e+00
     238,  2.2672776e+01,  0.0000000e+00,  0.0000000e+00,  7.3231405e-01,  9.5052725e+00,  7.5991601e+00
     239,  2.2511636e+01,  0.0000000e+00,  0.0000000e+00,  7.3247775e-01,  9.3551264e+00,  7.5914654e+00
     240,  2.1929604e+01,  0.0000000e+00,  0.0000000e+00,  7.3309100e-01,  8.7592398e+00,  7.5940491e+00
     241,  2.2569988e+01,  0.0000000e+00,  0.0000000e+00,  7.3354926e-01,  9.4002630e+00,  7.5819245e+00
