iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.8494, -1.83883, -0.16096, 0.450779, 5.38849 
2, 0.0001, 0.162918, 76.8304, -1.83883, -0.16096, 0.450779, 1.63543 
3, 0.00015, 0.060792, 77.4941, -2.47382, 0.145448, 0.024581, 1.64652 
4, 0.0002, 0.051327, 79.3187, -2.47382, 0.145448, 0.024581, 1.47326 
5, 0.00025, 0.0387439, 79.855, -2.47382, 0.145448, 0.024581, 1.24103 
6, 0.0003, 0.0372587, 79.987, -2.47382, 0.145448, 0.024581, 1.14158 
7, 0.00035, 0.013169, 79.9824, -2.47382, 0.145448, 0.024581, 1.08566 
8, 0.0004, 0.0277292, 79.9628, -2.47382, 0.145448, 0.024581, 1.05546 
9, 0.00045, 0.0210968, 79.932, -2.47382, 0.145448, 0.024581, 1.04113 
10, 0.0005, 0.0144197, 79.9144, -2.47382, 0.145448, 0.024581, 1.03845 
11, 0.00055, 0.0101439, 79.8961, -2.47382, 0.145448, 0.024581, 1.04524 
12, 0.0006, 0.0193345, 79.8785, -2.47382, 0.145448, 0.024581, 1.05855 
13, 0.00065, 0.0199344, 79.9139, -2.47382, 0.145448, 0.024581, 1.07605 
14, 0.0007, 0.0216527, 79.7035, -2.47382, 0.145448, 0.024581, 1.09437 
15, 0.00075, 0.0149349, 79.5036, -2.47382, 0.145448, 0.024581, 1.1135 
16, 0.0008, 0.0225487, 79.4532, -2.47382, 0.145448, 0.024581, 1.13144 
17, 0.00085, 0.0172246, 79.4751, -2.47382, 0.145448, 0.024581, 1.14797 
18, 0.0009, 0.0210686, 79.281, -2.47382, 0.145448, 0.024581, 1.16293 
19, 0.00095, 0.0314942, 79.3696, -2.47382, 0.145448, 0.024581, 1.17608 
20, 0.001, 0.0277712, 79.4315, -2.47382, 0.145448, 0.024581, 1.18744 
21, 0.00105, 0.0323851, 79.2448, -2.47382, 0.145448, 0.024581, 1.19676 
22, 0.0011, 0.0330349, 79.3431, -2.47382, 0.145448, 0.024581, 1.20398 
23, 0.00115, 0.034424, 79.3959, -2.47382, 0.145448, 0.024581, 1.20918 
24, 0.0012, 0.0359264, 79.2225, -2.47382, 0.145448, 0.024581, 1.21279 
25, 0.00125, 0.0373793, 79.3221, -2.47382, 0.145448, 0.024581, 1.21523 
