iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3467.08, 0.0323799, -655.077 
3, 0.00015, 4.5304, -0.835204, 4.11263e-05, 3524.65, 0.0319962, -649.789, 526.872, 0.0259175, -183.857 
4, 0.0002, 0.779658, -0.235346, 3.34543e-05, 606.574, 0.0260274, -183.099, 480.061, 0.00662686, -188.219 
5, 0.00025, 0.693987, -0.240718, 8.4879e-06, 539.922, 0.00660358, -187.279, 535.268, 0.00709122, -195.659 
6, 0.0003, 0.753189, -0.25009, 8.99691e-06, 585.981, 0.00699959, -194.57, 580.866, 0.00287227, -197.776 
7, 0.00035, 0.806065, -0.253154, 3.46281e-06, 627.119, 0.00269406, -196.954, 613.495, 0.00501583, -199.388 
8, 0.0004, 0.843363, -0.256059, 6.8104e-06, 656.136, 0.00529849, -199.214, 633.568, 0.00204483, -200.381 
9, 0.00045, 0.867674, -0.257349, 2.99143e-06, 675.051, 0.00232733, -200.217, 643.952, 0.0101692, -201.281 
10, 0.0005, 0.880755, -0.258532, 1.37202e-05, 685.227, 0.0106743, -201.138, 647.337, 0.00962617, -202.173 
11, 0.00055, 0.886092, -0.259699, 1.28755e-05, 689.379, 0.0100171, -202.046, 646.338, 0.00457693, -202.842 
12, 0.0006, 0.88668, -0.260554, 4.56679e-06, 689.837, 0.00355296, -202.711, 642.079, 0.00380842, -203.717 
13, 0.00065, 0.883363, -0.261683, 3.23729e-06, 687.256, 0.00251861, -203.59, 635.722, 0.0227643, -204.448 
14, 0.0007, 0.877422, -0.262643, 3.32931e-05, 682.635, 0.025902, -204.336, 628.833, 0.0276388, -204.932 
15, 0.00075, 0.87124, -0.26329, 3.82173e-05, 677.824, 0.029733, -204.84, 621.661, 0.0206874, -205.351 
16, 0.0008, 0.864344, -0.263813, 2.003e-05, 672.459, 0.0155834, -205.246, 614.597, 0.00774578, -205.532 
17, 0.00085, 0.85787, -0.264057, 6.2289e-06, 667.423, 0.00484608, -205.436, 607.566, 0.0311455, -205.393 
18, 0.0009, 0.851279, -0.263663, 3.1004e-05, 662.295, 0.0241211, -205.13, 601.03, -0.0174156, -205.867 
