 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0444659e+02,  9.2208118e+01,  0.0000000e+00,  4.5409543e+00,  0.0000000e+00,  8.1286285e-01
       1,  1.3221198e+02,  0.0000000e+00,  0.0000000e+00,  8.2424606e-01,  1.1615007e+02,  9.0483548e+00
       2,  5.1385715e+01,  0.0000000e+00,  0.0000000e+00,  7.8978729e-01,  3.7043378e+01,  8.1719754e+00
       3,  4.2269740e+01,  0.0000000e+00,  0.0000000e+00,  7.8018234e-01,  2.7941730e+01,  8.1731048e+00
       4,  3.6592293e+01,  0.0000000e+00,  0.0000000e+00,  7.9022820e-01,  2.2240900e+01,  8.1614589e+00
       5,  3.4059968e+01,  0.0000000e+00,  0.0000000e+00,  7.8137957e-01,  1.9721101e+01,  8.1778883e+00
       6,  3.2805327e+01,  0.0000000e+00,  0.0000000e+00,  7.8424756e-01,  1.8438048e+01,  8.1808014e+00
       7,  3.7276339e+01,  0.0000000e+00,  0.0000000e+00,  7.8812302e-01,  2.2909168e+01,  8.1928719e+00
       8,  4.1993694e+01,  0.0000000e+00,  0.0000000e+00,  7.9509443e-01,  2.7628271e+01,  8.1904834e+00
       9,  3.4709241e+01,  0.0000000e+00,  0.0000000e+00,  7.9249633e-01,  2.0348129e+01,  8.2012312e+00
      10,  6.1691070e+01,  0.0000000e+00,  1.2780295e+01,  5.1407681e+00,  3.0147951e+01,  8.2045778e+00
