t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  4.7702265e+02,  2.0000000e+04,  1.9977500e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  4.1120114e+01,  2.6649499e+06,  7.1691411e+04,  1.6234054e+04,  2.0000000e+04
 1.5000000e-04,  2.0886417e+01,  8.8432888e+04,  4.0586289e+04,  1.3997985e+04,  2.0000000e+04
 2.0000000e-04,  1.5854673e+01,  2.5122257e+03,  2.4559194e+04,  1.1361188e+04,  2.0000000e+04
 2.5000000e-04,  1.3411330e+01,  1.3409100e+03,  1.6015339e+04,  8.7238986e+03,  2.0000000e+04
 3.0000000e-04,  1.2646560e+01,  1.0594252e+03,  1.1186022e+04,  6.5847605e+03,  2.0000000e+04
 3.5000000e-04,  1.2278165e+01,  8.7456378e+02,  8.2551114e+03,  5.1451460e+03,  2.0000000e+04
 4.0000000e-04,  1.2074990e+01,  7.2463717e+02,  6.3428456e+03,  4.1193858e+03,  2.0000000e+04
 4.5000000e-04,  1.1888285e+01,  6.3161872e+02,  5.0107831e+03,  3.3452164e+03,  2.0000000e+04
 5.0000000e-04,  1.1695204e+01,  5.8628171e+02,  4.0562320e+03,  2.7512785e+03,  2.0000000e+04
 5.5000000e-04,  1.1492930e+01,  5.6773674e+02,  3.3285880e+03,  2.3051948e+03,  2.0000000e+04
 6.0000000e-04,  1.1295790e+01,  5.5515459e+02,  2.8213550e+03,  1.9277387e+03,  2.0000000e+04
 6.5000000e-04,  1.1118314e+01,  5.4624435e+02,  2.4490970e+03,  1.8896258e+03,  2.0000000e+04
 7.0000000e-04,  1.1400409e+01,  5.3656639e+02,  2.2083625e+03,  1.5102058e+03,  2.0000000e+04
 7.5000000e-04,  1.7708001e+01,  5.2986615e+02,  2.0991136e+03,  1.4895730e+03,  2.0000000e+04
