t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  5.7169505e+02,  2.0000000e+04,  1.9977501e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  5.8751576e+01,  1.7781022e+06,  7.1539569e+04,  1.6276258e+04,  2.0000000e+04
 1.5000000e-04,  3.4828611e+01,  3.1392960e+04,  4.0638191e+04,  1.4002483e+04,  2.0000000e+04
 2.0000000e-04,  2.7037367e+01,  9.9397212e+02,  2.4510409e+04,  1.1285258e+04,  2.0000000e+04
 2.5000000e-04,  2.2661228e+01,  8.9963697e+02,  1.5808360e+04,  8.5136059e+03,  2.0000000e+04
 3.0000000e-04,  2.0747356e+01,  9.9940989e+02,  9.9520352e+03,  6.3434011e+03,  2.0000000e+04
 3.5000000e-04,  1.9667322e+01,  1.0073794e+03,  1.8701881e+04,  4.8740520e+03,  2.0000000e+04
 4.0000000e-04,  1.8870952e+01,  9.7525317e+02,  1.1436771e+04,  4.0527157e+03,  2.0000000e+04
 4.5000000e-04,  1.8223301e+01,  9.3424079e+02,  1.1886509e+04,  1.7091875e+04,  2.0000000e+04
 5.0000000e-04,  1.7666756e+01,  8.8732493e+02,  1.0526745e+04,  1.3363248e+04,  2.0000000e+04
 5.5000000e-04,  1.7155432e+01,  8.4107766e+02,  1.3122893e+04,  8.7354839e+03,  2.0000000e+04
 6.0000000e-04,  1.6676179e+01,  7.9629861e+02,  1.2363427e+04,  5.1048290e+03,  2.0000000e+04
 6.5000000e-04,  1.6225483e+01,  7.5462627e+02,  2.6708660e+04,  3.1827026e+03,  2.0000000e+04
 7.0000000e-04,  1.5803772e+01,  7.1503430e+02,  1.4421063e+04,  2.1180978e+03,  2.0000000e+04
 7.5000000e-04,  1.5411518e+01,  6.7950730e+02,  2.0001187e+04,  1.9107485e+03,  2.0000000e+04
 8.0000000e-04,  1.5040522e+01,  6.4305769e+02,  3.0731739e+04,  1.8292579e+03,  2.0000000e+04
 8.5000000e-04,  1.4686268e+01,  6.1402940e+02,  1.5176462e+04,  1.4643231e+03,  2.0000000e+04
 9.0000000e-04,  1.4350133e+01,  5.8702511e+02,  1.3135143e+04,  1.8634071e+03,  2.0000000e+04
 9.5000000e-04,  1.4029371e+01,  5.6322395e+02,  1.1508290e+04,  1.5225826e+03,  2.0000000e+04
 1.0000000e-03,  1.3728756e+01,  5.4063404e+02,  1.1701417e+04,  9.7199234e+02,  2.0000000e+04
 1.0500000e-03,  1.3447587e+01,  5.1978882e+02,  2.1072594e+04,  9.4044666e+02,  2.0000000e+04
 1.1000000e-03,  1.3186836e+01,  4.9875198e+02,  1.4908434e+04,  2.0194309e+03,  2.0000000e+04
 1.1500000e-03,  1.2946365e+01,  4.8099850e+02,  1.3130706e+04,  1.0318274e+04,  2.0000000e+04
 1.2000000e-03,  1.2721012e+01,  4.6410359e+02,  1.0241096e+04,  5.8319394e+03,  2.0000000e+04
 1.2500000e-03,  1.2509016e+01,  4.4852296e+02,  1.1883188e+04,  3.1225155e+03,  2.0000000e+04
 1.3000000e-03,  1.2311889e+01,  4.3345184e+02,  1.1340748e+04,  2.9781186e+03,  2.0000000e+04
 1.3500000e-03,  1.2131933e+01,  4.1954557e+02,  1.3514739e+04,  1.9221584e+03,  2.0000000e+04
 1.4000000e-03,  1.1970286e+01,  4.0598116e+02,  1.0126865e+04,  5.1925695e+03,  2.0000000e+04
 1.4500000e-03,  1.1829085e+01,  3.9390492e+02,  1.1502549e+04,  2.7544692e+03,  2.0000000e+04
 1.5000000e-03,  1.1708755e+01,  3.8196730e+02,  9.9987450e+03,  2.6659304e+03,  2.0000000e+04
 1.5500000e-03,  1.1607142e+01,  3.7130451e+02,  1.0997698e+04,  7.0215400e+03,  2.0000000e+04
 1.6000000e-03,  1.1521179e+01,  3.6049541e+02,  1.1216784e+04,  4.2415746e+03,  2.0000000e+04
 1.6500000e-03,  1.1449448e+01,  3.5042312e+02,  1.2397369e+04,  2.4147447e+03,  2.0000000e+04
 1.7000000e-03,  1.1389372e+01,  3.4073215e+02,  1.4342121e+04,  1.8222549e+03,  2.0000000e+04
 1.7500000e-03,  1.1339251e+01,  3.3159623e+02,  1.1514266e+04,  1.4693663e+03,  2.0000000e+04
 1.8000000e-03,  1.1298264e+01,  3.2311646e+02,  1.0712480e+04,  3.0798747e+03,  2.0000000e+04
 1.8500000e-03,  1.1265527e+01,  3.1514932e+02,  1.0159882e+04,  4.5836529e+03,  2.0000000e+04
 1.9000000e-03,  1.1240294e+01,  3.0740449e+02,  1.0915407e+04,  2.6679455e+03,  2.0000000e+04
 1.9500000e-03,  1.1221714e+01,  2.9983457e+02,  1.2026741e+04,  3.4090307e+03,  2.0000000e+04
 2.0000000e-03,  1.1208965e+01,  2.9266421e+02,  1.3367003e+04,  2.0540069e+03,  2.0000000e+04
 2.0500000e-03,  1.1200615e+01,  2.8581534e+02,  1.0393610e+04,  1.6462813e+03,  2.0000000e+04
 2.1000000e-03,  1.1195553e+01,  2.7938642e+02,  1.0268057e+04,  1.5896120e+03,  2.0000000e+04
 2.1500000e-03,  1.1192457e+01,  2.7316389e+02,  1.0128124e+04,  1.5470668e+03,  2.0000000e+04
 2.2000000e-03,  1.1189805e+01,  2.6723653e+02,  9.6698388e+03,  3.1682854e+03,  2.0000000e+04
 2.2500000e-03,  1.1186708e+01,  2.6132243e+02,  9.4333300e+03,  7.2275373e+03,  2.0000000e+04
 2.3000000e-03,  1.1182175e+01,  2.5591646e+02,  9.3601569e+03,  3.9537134e+03,  2.0000000e+04
