 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.3100721e+02,  1.1678046e+02,  0.0000000e+00,  5.9382050e+00,  0.0000000e+00,  5.0066182e-01
       1,  8.0123318e+01,  0.0000000e+00,  0.0000000e+00,  5.1544663e-01,  7.0403679e+01,  5.6082751e+00
       2,  3.4798058e+01,  0.0000000e+00,  0.0000000e+00,  4.9296204e-01,  2.6169677e+01,  5.0878686e+00
       3,  2.8708250e+01,  0.0000000e+00,  0.0000000e+00,  4.9305930e-01,  2.0073842e+01,  5.0786397e+00
       4,  2.7164824e+01,  0.0000000e+00,  0.0000000e+00,  4.9963565e-01,  1.8479531e+01,  5.0715015e+00
       5,  2.2118516e+01,  0.0000000e+00,  0.0000000e+00,  4.9771005e-01,  1.3466616e+01,  5.0759013e+00
       6,  2.1864592e+01,  0.0000000e+00,  0.0000000e+00,  5.0054508e-01,  1.3229740e+01,  5.0779180e+00
       7,  2.4260778e+01,  0.0000000e+00,  0.0000000e+00,  4.9792386e-01,  1.5579673e+01,  5.0720884e+00
       8,  2.4056475e+01,  0.0000000e+00,  0.0000000e+00,  5.2157220e-01,  1.5354159e+01,  5.0724160e+00
       9,  2.3310209e+01,  0.0000000e+00,  0.0000000e+00,  4.9250212e-01,  1.4666863e+01,  5.0626907e+00
      10,  1.9345187e+01,  0.0000000e+00,  0.0000000e+00,  4.9273612e-01,  1.0699568e+01,  5.0606521e+00
      11,  2.1265249e+01,  0.0000000e+00,  0.0000000e+00,  5.0476283e-01,  1.2601732e+01,  5.0685419e+00
      12,  2.1039303e+01,  0.0000000e+00,  0.0000000e+00,  4.9963592e-01,  1.2385025e+01,  5.0757823e+00
      13,  2.2922430e+01,  0.0000000e+00,  0.0000000e+00,  5.0619083e-01,  1.4259572e+01,  5.0889165e+00
      14,  1.8754048e+01,  0.0000000e+00,  0.0000000e+00,  4.9123330e-01,  1.0102064e+01,  5.0642977e+00
      15,  2.0657013e+01,  0.0000000e+00,  0.0000000e+00,  5.0756641e-01,  1.2020583e+01,  5.0677314e+00
      16,  2.9231384e+01,  0.0000000e+00,  0.0000000e+00,  4.9911799e-01,  2.0560387e+01,  5.0677201e+00
      17,  1.8670184e+01,  0.0000000e+00,  0.0000000e+00,  4.9852246e-01,  1.0037123e+01,  5.0727846e+00
      18,  2.0435329e+01,  0.0000000e+00,  0.0000000e+00,  4.9821031e-01,  1.1801017e+01,  5.0783207e+00
      19,  2.2365787e+01,  0.0000000e+00,  0.0000000e+00,  4.9850003e-01,  1.3692269e+01,  5.0681957e+00
      20,  2.5217000e+01,  0.0000000e+00,  0.0000000e+00,  4.9226020e-01,  1.6554397e+01,  5.0865793e+00
      21,  2.8639819e+01,  0.0000000e+00,  0.0000000e+00,  5.0338459e-01,  1.9979917e+01,  5.0744607e+00
      22,  2.0273982e+01,  0.0000000e+00,  0.0000000e+00,  5.0422854e-01,  1.1609748e+01,  5.0654922e+00
      23,  1.8579109e+01,  0.0000000e+00,  0.0000000e+00,  4.9849488e-01,  9.9492214e+00,  5.0778173e+00
      24,  1.8855756e+01,  0.0000000e+00,  0.0000000e+00,  4.9371276e-01,  1.0205733e+01,  5.0763239e+00
      25,  1.8786165e+01,  0.0000000e+00,  0.0000000e+00,  4.9115995e-01,  1.0154801e+01,  5.0644602e+00
      26,  2.0139244e+01,  0.0000000e+00,  0.0000000e+00,  5.0036602e-01,  1.1480227e+01,  5.0760660e+00
      27,  2.1318285e+01,  0.0000000e+00,  0.0000000e+00,  5.0384841e-01,  1.2676493e+01,  5.0782016e+00
      28,  1.8480017e+01,  0.0000000e+00,  0.0000000e+00,  4.9902622e-01,  9.8284539e+00,  5.0601966e+00
      29,  2.1444990e+01,  0.0000000e+00,  0.0000000e+00,  4.9395219e-01,  1.2812010e+01,  5.0736102e+00
      30,  2.0470548e+01,  0.0000000e+00,  0.0000000e+00,  4.9953782e-01,  1.1820839e+01,  5.0846350e+00
      31,  2.0302466e+01,  0.0000000e+00,  0.0000000e+00,  4.9035196e-01,  1.1669157e+01,  5.0758003e+00
      32,  2.1931020e+01,  0.0000000e+00,  0.0000000e+00,  4.9117430e-01,  1.3292177e+01,  5.0739712e+00
      33,  2.2306901e+01,  0.0000000e+00,  0.0000000e+00,  4.9129750e-01,  1.3669338e+01,  5.0738738e+00
      34,  2.2463528e+01,  0.0000000e+00,  0.0000000e+00,  5.0615608e-01,  1.3816895e+01,  5.0815632e+00
      35,  2.1555306e+01,  0.0000000e+00,  0.0000000e+00,  4.9144020e-01,  1.2902585e+01,  5.0765151e+00
      36,  1.9235610e+01,  0.0000000e+00,  0.0000000e+00,  4.9805114e-01,  1.0579701e+01,  5.0712709e+00
      37,  2.5891740e+01,  0.0000000e+00,  0.0000000e+00,  4.9859868e-01,  1.7229982e+01,  5.0741557e+00
      38,  3.0041270e+01,  0.0000000e+00,  0.0000000e+00,  4.9761303e-01,  2.1412079e+01,  5.0728325e+00
      39,  3.0092653e+01,  0.0000000e+00,  0.0000000e+00,  4.9851337e-01,  2.1456462e+01,  5.0622021e+00
      40,  1.9240963e+01,  0.0000000e+00,  0.0000000e+00,  5.0031877e-01,  1.0616047e+01,  5.0610819e+00
      41,  2.1033341e+01,  0.0000000e+00,  0.0000000e+00,  4.9741770e-01,  1.2378030e+01,  5.0578118e+00
      42,  2.6148196e+01,  0.0000000e+00,  0.0000000e+00,  5.0071353e-01,  1.7516295e+01,  5.0770476e+00
