iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.981, -48.3269, 0.000185468, 287845, 0.144294, -37598.3, 83957.9, -0.179651, -11596.9 
2, 0.0001, 108.05, -14.9059, -0.000230903, 84062.8, -0.179643, -11596.8, 3300.16, 0.047364, -623.696 
3, 0.00015, 4.33944, -0.794702, 6.07629e-05, 3376.08, 0.0472735, -618.278, 562.665, -0.0238664, -178.369 
4, 0.0002, 0.830332, -0.22827, -3.0411e-05, 645.998, -0.0236598, -177.594, 523.276, -0.000600214, -185.005 
5, 0.00025, 0.752994, -0.237477, 1.24e-07, 585.829, 9.64719e-05, -184.757, 567.029, 0.00455996, -192.933 
6, 0.0003, 0.797436, -0.247749, 6.26866e-06, 620.405, 0.00487702, -192.749, 602.389, 0.00158174, -194.711 
7, 0.00035, 0.836306, -0.250072, 2.23791e-06, 650.646, 0.00174109, -194.556, 628.384, 0.00052868, -194.643 
8, 0.0004, 0.863796, -0.249965, 1.43258e-06, 672.033, 0.00111455, -194.473, 644.97, 0.00433505, -194.194 
9, 0.00045, 0.883774, -0.249384, 6.27e-06, 687.576, 0.00487806, -194.021, 655.288, -0.00264602, -193.578 
10, 0.0005, 0.897981, -0.248559, -4.61409e-06, 698.629, -0.00358976, -193.379, 660.548, -0.00932999, -192.916 
11, 0.00055, 0.907086, -0.247712, -1.15983e-05, 705.713, -0.0090235, -192.72, 661.98, -0.0150024, -192.245 
12, 0.0006, 0.912579, -0.246905, -1.51184e-05, 709.986, -0.0117621, -192.092, 660.52, -0.00696278, -191.718 
13, 0.00065, 0.913963, -0.246547, 3.66604e-06, 711.063, 0.00285218, -191.814, 657.43, 0.0188417, -191.597 
14, 0.0007, 0.913324, -0.246098, 5.91297e-05, 710.566, 0.0460029, -191.464, 652.645, 0.0661069, -191.059 
15, 0.00075, 0.912224, -0.245421, 0.000108025, 709.71, 0.0840434, -190.938, 647.024, 0.0720376, -190.566 
16, 0.0008, 0.900796, -0.244792, 0.000121208, 700.819, 0.0942999, -190.448, 639.776, 0.094641, -190.088 
17, 0.00085, 0.891857, -0.244141, 0.000115293, 693.864, 0.0896982, -189.941, 632.384, 0.0659532, -189.478 
18, 0.0009, 0.884263, -0.243319, 8.18974e-05, 687.956, 0.0637162, -189.302, 625.399, 0.0575978, -188.908 
19, 0.00095, 0.878101, -0.242551, 6.10466e-05, 683.162, 0.0474942, -188.705, 619.198, 0.0283135, -188.364 
20, 0.001, 0.873635, -0.241814, 3.40332e-05, 679.688, 0.0264778, -188.131, 613.416, 0.0289588, -187.831 
21, 0.00105, 0.869015, -0.241079, 3.67999e-05, 676.093, 0.0286303, -187.56, 608.11, 0.0228547, -187.301 
22, 0.0011, 0.861249, -0.240391, 4.08068e-05, 670.051, 0.0317477, -187.024, 602.567, 0.0513611, -186.893 
23, 0.00115, 0.854839, -0.239878, 7.72426e-05, 665.064, 0.0600948, -186.625, 597.271, 0.0497211, -186.494 
24, 0.0012, 0.848785, -0.239394, 6.32543e-05, 660.355, 0.0492118, -186.248, 592.365, 0.0390975, -186.062 
25, 0.00125, 0.844012, -0.238816, 7.13161e-05, 656.641, 0.0554839, -185.799, 587.94, 0.0771132, -185.504 
26, 0.0013, 0.839117, -0.238045, 0.000123959, 652.833, 0.0964404, -185.199, 583.804, 0.120787, -184.876 
27, 0.00135, 0.834281, -0.237303, 0.000208777, 649.07, 0.162428, -184.622, 579.946, 0.20345, -184.531 
28, 0.0014, 0.828939, -0.236829, 0.000259883, 644.914, 0.202189, -184.253, 576.161, 0.16686, -184.134 
29, 0.00145, 0.824694, -0.236275, 0.00018807, 641.612, 0.146319, -183.822, 572.633, 0.103015, -183.638 
30, 0.0015, 0.820283, -0.235615, 9.77592e-05, 638.18, 0.0760567, -183.308, 569.196, 0.0266074, -183.135 
31, 0.00155, 0.816702, -0.234964, -7.60458e-06, 635.394, -0.00591636, -182.802, 566.011, -0.0627038, -182.625 
32, 0.0016, 0.81272, -0.234297, -7.32894e-05, 632.296, -0.0570191, -182.283, 562.826, 0.0196005, -182.079 
33, 0.00165, 0.808688, -0.233557, 3.87013e-05, 629.159, 0.0301096, -181.707, 559.659, 0.018904, -181.38 
34, 0.0017, 0.803696, -0.232674, 4.3072e-05, 625.275, 0.03351, -181.02, 556.416, 0.0905228, -180.85 
35, 0.00175, 0.798756, -0.231989, 0.000102638, 621.432, 0.0798523, -180.487, 553.149, 0.0177529, -180.358 
36, 0.0018, 0.794178, -0.231319, -2.0652e-05, 617.87, -0.0160673, -179.966, 549.946, -0.0433964, -179.836 
37, 0.00185, 0.790067, -0.230619, -8.62617e-05, 614.672, -0.0671116, -179.422, 546.882, -0.0960039, -179.311 
38, 0.0019, 0.786177, -0.229942, -0.000149929, 611.646, -0.116644, -178.895, 543.895, -0.171798, -178.814 
39, 0.00195, 0.782273, -0.229294, -0.000234705, 608.608, -0.1826, -178.39, 540.941, -0.214485, -178.302 
40, 0.002, 0.777841, -0.228633, -0.000271856, 605.16, -0.211504, -177.876, 537.931, -0.218524, -177.729 
41, 0.00205, 0.773428, -0.227887, -0.000250676, 601.727, -0.195026, -177.296, 534.925, -0.14651, -177.17 
42, 0.0021, 0.769067, -0.227169, -0.00017683, 598.334, -0.137573, -176.737, 531.994, -0.162534, -176.638 
43, 0.00215, 0.765047, -0.226463, -0.000172013, 595.207, -0.133826, -176.188, 529.164, -0.156008, -176.105 
44, 0.0022, 0.761157, -0.225784, -0.000193426, 592.18, -0.150485, -175.66, 526.426, -0.145507, -175.63 
45, 0.00225, 0.757136, -0.225172, -0.000175115, 589.052, -0.136239, -175.184, 523.755, -0.116797, -175.171 
46, 0.0023, 0.753455, -0.224587, -0.000132586, 586.188, -0.103152, -174.729, 521.168, -0.0869288, -174.719 
47, 0.00235, 0.749858, -0.223979, -0.000102029, 583.389, -0.0793786, -174.256, 518.598, -0.0593659, -174.175 
48, 0.0024, 0.746163, -0.22327, -7.06214e-05, 580.514, -0.0549434, -173.704, 516.106, -0.0280705, -173.618 
49, 0.00245, 0.742583, -0.222554, -4.41669e-05, 577.729, -0.0343619, -173.147, 513.675, -0.0262868, -173.065 
50, 0.0025, 0.739352, -0.221873, -4.01738e-05, 575.215, -0.0312552, -172.617, 511.34, -0.0167379, -172.552 
