iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 89.1762, -1.83883, -0.16096, 0.450779, 5.41831 
2, 0.0001, 0.161598, 90.6173, -1.83883, -0.16096, 0.450779, 1.66418 
3, 0.00015, 0.0808701, 89.8132, -1.83883, -0.16096, 0.450779, 1.77713 
4, 0.0002, 0.048504, 89.5517, -1.83883, -0.16096, 0.450779, 1.51623 
5, 0.00025, 0.0440656, 89.3687, -1.83883, -0.16096, 0.450779, 1.2782 
6, 0.0003, 0.0361386, 89.264, -1.83883, -0.16096, 0.450779, 1.17795 
7, 0.00035, 0.0340537, 89.2026, -1.83883, -0.16096, 0.450779, 1.12144 
8, 0.0004, 0.024961, 89.1653, -1.83883, -0.16096, 0.450779, 1.09032 
9, 0.00045, 0.0190059, 89.143, -1.83883, -0.16096, 0.450779, 1.07605 
10, 0.0005, 0.0148388, 89.1304, -1.83883, -0.16096, 0.450779, 1.0735 
11, 0.00055, 0.00409268, 89.1238, -1.83883, -0.16096, 0.450779, 1.08027 
12, 0.0006, 0.0168497, 89.121, -1.83883, -0.16096, 0.450779, 1.09368 
13, 0.00065, 0.0216082, 89.1201, -1.83883, -0.16096, 0.450779, 1.1109 
14, 0.0007, 0.015209, 89.1202, -1.83883, -0.16096, 0.450779, 1.13003 
15, 0.00075, 0.0240509, 89.1204, -1.83883, -0.16096, 0.450779, 1.14944 
16, 0.0008, 0.0260338, 89.1208, -1.83883, -0.16096, 0.450779, 1.16841 
17, 0.00085, 0.0183336, 89.1207, -1.83883, -0.16096, 0.450779, 1.18667 
18, 0.0009, 0.0221315, 89.1205, -1.83883, -0.16096, 0.450779, 1.20388 
19, 0.00095, 0.0295247, 89.1197, -1.83883, -0.16096, 0.450779, 1.21971 
20, 0.001, 0.0299369, 89.1184, -1.83883, -0.16096, 0.450779, 1.23388 
21, 0.00105, 0.0363784, 89.1157, -1.83883, -0.16096, 0.450779, 1.2464 
22, 0.0011, 0.0363471, 89.1128, -1.83883, -0.16096, 0.450779, 1.25718 
23, 0.00115, 0.0378041, 89.1087, -1.83883, -0.16096, 0.450779, 1.26615 
24, 0.0012, 0.0358881, 89.104, -1.83883, -0.16096, 0.450779, 1.27326 
25, 0.00125, 0.0381406, 89.0981, -1.83883, -0.16096, 0.450779, 1.27888 
26, 0.0013, 0.0382053, 89.0917, -1.83883, -0.16096, 0.450779, 1.28312 
27, 0.00135, 0.037683, 89.0839, -1.83883, -0.16096, 0.450779, 1.28632 
28, 0.0014, 0.0372398, 89.0759, -1.83883, -0.16096, 0.450779, 1.28854 
29, 0.00145, 0.0175437, 89.0669, -1.83883, -0.16096, 0.450779, 1.28998 
30, 0.0015, 0.0365614, 89.0568, -1.83883, -0.16096, 0.450779, 1.29055 
31, 0.00155, 0.0323016, 89.0462, -1.83883, -0.16096, 0.450779, 1.29036 
32, 0.0016, 0.0360389, 89.0346, -1.83883, -0.16096, 0.450779, 1.28942 
33, 0.00165, 0.0356868, 89.023, -1.83883, -0.16096, 0.450779, 1.28815 
34, 0.0017, 0.0218863, 89.0104, -1.83883, -0.16096, 0.450779, 1.28654 
35, 0.00175, 0.0350765, 88.9983, -1.83883, -0.16096, 0.450779, 1.28495 
36, 0.0018, 0.0238905, 88.9854, -1.83883, -0.16096, 0.450779, 1.28328 
37, 0.00185, 0.031391, 88.9725, -1.83883, -0.16096, 0.450779, 1.28151 
38, 0.0019, 0.0236896, 88.9589, -1.83883, -0.16096, 0.450779, 1.2795 
39, 0.00195, 0.0353912, 88.9453, -1.83883, -0.16096, 0.450779, 1.27746 
40, 0.002, 0.0356248, 88.9309, -1.83883, -0.16096, 0.450779, 1.27522 
41, 0.00205, 0.0357812, 88.9163, -1.83883, -0.16096, 0.450779, 1.27283 
42, 0.0021, 0.0359559, 88.9009, -1.83883, -0.16096, 0.450779, 1.27013 
43, 0.00215, 0.0362886, 88.8861, -1.83883, -0.16096, 0.450779, 1.26739 
44, 0.0022, 0.0367464, 88.8702, -1.83883, -0.16096, 0.450779, 1.26453 
45, 0.00225, 0.0372859, 88.8533, -1.83883, -0.16096, 0.450779, 1.26169 
46, 0.0023, 0.037897, 88.836, -1.83883, -0.16096, 0.450779, 1.25877 
47, 0.00235, 0.0385611, 88.8185, -1.83883, -0.16096, 0.450779, 1.25592 
48, 0.0024, 0.0392054, 88.8002, -1.83883, -0.16096, 0.450779, 1.2531 
49, 0.00245, 0.0397811, 88.7812, -1.83883, -0.16096, 0.450779, 1.2504 
50, 0.0025, 0.0403706, 88.7613, -1.83883, -0.16096, 0.450779, 1.24772 
51, 0.00255, 0.040807, 88.7404, -1.83883, -0.16096, 0.450779, 1.24533 
52, 0.0026, 0.030252, 88.718, -1.83883, -0.16096, 0.450779, 1.2431 
53, 0.00265, 0.0274242, 88.6939, -1.83883, -0.16096, 0.450779, 1.24088 
54, 0.0027, 0.0418605, 88.6696, -1.83883, -0.16096, 0.450779, 1.23853 
55, 0.00275, 0.0428159, 88.6435, -1.83883, -0.16096, 0.450779, 1.23639 
56, 0.0028, 0.0439653, 88.6173, -1.83883, -0.16096, 0.450779, 1.23419 
57, 0.00285, 0.0430396, 88.5899, -1.83883, -0.16096, 0.450779, 1.23212 
58, 0.0029, 0.0323578, 88.5608, -1.83883, -0.16096, 0.450779, 1.23001 
59, 0.00295, 0.0275167, 88.5309, -1.83883, -0.16096, 0.450779, 1.2279 
60, 0.003, 0.0419635, 88.5006, -1.83883, -0.16096, 0.450779, 1.22566 
61, 0.00305, 0.0471052, 88.4681, -1.83883, -0.16096, 0.450779, 1.22318 
62, 0.0031, 0.0467662, 88.4366, -1.83883, -0.16096, 0.450779, 1.22044 
63, 0.00315, 0.0391149, 88.4035, -1.83883, -0.16096, 0.450779, 1.21783 
64, 0.0032, 0.0130807, 88.3714, -1.83883, -0.16096, 0.450779, 1.21517 
65, 0.00325, 0.0274545, 88.3376, -1.83883, -0.16096, 0.450779, 1.21237 
66, 0.0033, 0.0456817, 88.3049, -1.83883, -0.16096, 0.450779, 1.20935 
67, 0.00335, 0.047609, 88.2713, -1.83883, -0.16096, 0.450779, 1.20655 
68, 0.0034, 0.0381529, 88.2385, -1.83883, -0.16096, 0.450779, 1.20376 
69, 0.00345, 0.0269555, 88.2048, -1.83883, -0.16096, 0.450779, 1.20107 
70, 0.0035, 0.0327472, 88.1707, -1.83883, -0.16096, 0.450779, 1.19825 
71, 0.00355, 0.0387104, 88.1375, -1.83883, -0.16096, 0.450779, 1.19549 
72, 0.0036, 0.043695, 88.1049, -1.83883, -0.16096, 0.450779, 1.1926 
73, 0.00365, 0.0212541, 88.0721, -1.83883, -0.16096, 0.450779, 1.18968 
74, 0.0037, 0.00945499, 88.0393, -1.83883, -0.16096, 0.450779, 1.18666 
75, 0.00375, 0.0402138, 88.008, -1.83883, -0.16096, 0.450779, 1.18388 
76, 0.0038, 0.0447933, 87.9773, -1.83883, -0.16096, 0.450779, 1.18113 
77, 0.00385, 0.029122, 87.9474, -1.83883, -0.16096, 0.450779, 1.17849 
78, 0.0039, 0.0290462, 87.9178, -1.83883, -0.16096, 0.450779, 1.17573 
79, 0.00395, 0.0354649, 87.8882, -1.83883, -0.16096, 0.450779, 1.17296 
80, 0.004, 0.0435427, 87.8598, -1.83883, -0.16096, 0.450779, 1.17015 
81, 0.00405, 0.0185138, 87.8321, -1.83883, -0.16096, 0.450779, 1.16742 
82, 0.0041, 0.0360798, 87.8043, -1.83883, -0.16096, 0.450779, 1.16464 
83, 0.00415, 0.0254082, 87.7774, -1.83883, -0.16096, 0.450779, 1.16202 
84, 0.0042, 0.0369072, 87.7508, -1.83883, -0.16096, 0.450779, 1.1594 
85, 0.00425, 0.0159624, 87.7243, -1.83883, -0.16096, 0.450779, 1.15689 
86, 0.0043, 0.040584, 87.699, -1.83883, -0.16096, 0.450779, 1.15437 
87, 0.00435, 0.0405038, 87.6739, -1.83883, -0.16096, 0.450779, 1.15183 
88, 0.0044, 0.0317137, 87.6487, -1.83883, -0.16096, 0.450779, 1.1492 
89, 0.00445, 0.0316503, 87.6238, -1.83883, -0.16096, 0.450779, 1.14653 
90, 0.0045, 0.0410059, 87.597, -1.83883, -0.16096, 0.450779, 1.14376 
91, 0.00455, 0.0291436, 87.5724, -1.83883, -0.16096, 0.450779, 1.14104 
92, 0.0046, 0.0313331, 87.5465, -1.83883, -0.16096, 0.450779, 1.13856 
93, 0.00465, 0.02153, 87.5195, -1.83883, -0.16096, 0.450779, 1.13615 
94, 0.0047, 0.0225356, 87.4934, -1.83883, -0.16096, 0.450779, 1.13371 
95, 0.00475, 0.0125596, 87.4662, -1.83883, -0.16096, 0.450779, 1.13129 
96, 0.0048, 0.0374622, 87.4387, -1.83883, -0.16096, 0.450779, 1.12888 
97, 0.00485, 0.0397486, 87.4099, -1.83883, -0.16096, 0.450779, 1.12646 
98, 0.0049, 0.0326029, 87.3809, -1.83883, -0.16096, 0.450779, 1.12412 
99, 0.00495, 0.0231913, 87.3502, -1.83883, -0.16096, 0.450779, 1.12177 
100, 0.005, 0.0386039, 87.3191, -1.83883, -0.16096, 0.450779, 1.11948 
101, 0.00505, 0.0379655, 87.2873, -1.83883, -0.16096, 0.450779, 1.11717 
102, 0.0051, 0.0296361, 87.2526, -1.83883, -0.16096, 0.450779, 1.11492 
103, 0.00515, 0.0299839, 87.2168, -1.83883, -0.16096, 0.450779, 1.11267 
104, 0.0052, 0.0363235, 87.1796, -1.83883, -0.16096, 0.450779, 1.11042 
105, 0.00525, 0.0279101, 87.1402, -1.83883, -0.16096, 0.450779, 1.10814 
106, 0.0053, 0.0137894, 87.0987, -1.83883, -0.16096, 0.450779, 1.10584 
107, 0.00535, 0.0329305, 87.0547, -1.83883, -0.16096, 0.450779, 1.10365 
108, 0.0054, 0.0367819, 87.0086, -1.83883, -0.16096, 0.450779, 1.10148 
109, 0.00545, 0.0347549, 86.9589, -1.83883, -0.16096, 0.450779, 1.09938 
110, 0.0055, 0.0251661, 86.9059, -1.83883, -0.16096, 0.450779, 1.09725 
111, 0.00555, 0.0243063, 86.8486, -1.83883, -0.16096, 0.450779, 1.09511 
112, 0.0056, 0.0298651, 86.7879, -1.83883, -0.16096, 0.450779, 1.09295 
113, 0.00565, 0.029687, 86.7236, -1.83883, -0.16096, 0.450779, 1.09082 
114, 0.0057, 0.0230307, 86.6535, -1.83883, -0.16096, 0.450779, 1.08872 
115, 0.00575, 0.0317286, 86.5776, -1.83883, -0.16096, 0.450779, 1.0866 
116, 0.0058, 0.0317539, 86.4983, -1.83883, -0.16096, 0.450779, 1.08464 
117, 0.00585, 0.0178055, 86.4095, -1.83883, -0.16096, 0.450779, 1.08263 
118, 0.0059, 0.027725, 86.3158, -1.83883, -0.16096, 0.450779, 1.08066 
119, 0.00595, 0.0253854, 86.2143, -1.83883, -0.16096, 0.450779, 1.07873 
120, 0.006, 0.0314728, 86.1025, -1.83883, -0.16096, 0.450779, 1.0768 
121, 0.00605, 0.0301838, 85.9803, -1.83883, -0.16096, 0.450779, 1.07491 
122, 0.0061, 0.0237256, 85.8447, -1.83883, -0.16096, 0.450779, 1.07303 
123, 0.00615, 0.0276999, 85.6954, -1.83883, -0.16096, 0.450779, 1.07119 
124, 0.0062, 0.0245854, 85.5295, -1.83883, -0.16096, 0.450779, 1.06929 
125, 0.00625, 0.0218186, 85.3407, -1.83883, -0.16096, 0.450779, 1.06727 
126, 0.0063, 0.021237, 85.3065, -2.45217, 0.161608, 0.00378844, 1.06538 
127, 0.00635, 0.0283443, 85.3052, -2.45217, 0.161608, 0.00378844, 1.06353 
128, 0.0064, 0.0311824, 85.3035, -2.45217, 0.161608, 0.00378844, 1.06179 
129, 0.00645, 0.0111766, 85.3024, -2.45217, 0.161608, 0.00378844, 1.06002 
130, 0.0065, 0.0319134, 85.3028, -2.45217, 0.161608, 0.00378844, 1.05816 
131, 0.00655, 0.00810284, 85.301, -2.45217, 0.161608, 0.00378844, 1.0564 
132, 0.0066, 0.0147706, 85.3019, -2.45217, 0.161608, 0.00378844, 1.05466 
133, 0.00665, 0.0281659, 85.3006, -2.45217, 0.161608, 0.00378844, 1.05301 
134, 0.0067, 0.0334194, 85.2997, -2.45217, 0.161608, 0.00378844, 1.05136 
135, 0.00675, 0.024139, 85.2992, -2.45217, 0.161608, 0.00378844, 1.04975 
136, 0.0068, 0.0195216, 85.2998, -2.45217, 0.161608, 0.00378844, 1.04806 
137, 0.00685, 0.0359519, 85.299, -2.45217, 0.161608, 0.00378844, 1.04643 
138, 0.0069, 0.0249148, 85.2992, -2.45217, 0.161608, 0.00378844, 1.04479 
139, 0.00695, 0.0338421, 85.2989, -2.45217, 0.161608, 0.00378844, 1.04322 
140, 0.007, 0.0314903, 85.2972, -2.45217, 0.161608, 0.00378844, 1.04168 
141, 0.00705, 0.0358243, 85.2974, -2.45217, 0.161608, 0.00378844, 1.04019 
142, 0.0071, 0.0280739, 85.2981, -2.45217, 0.161608, 0.00378844, 1.03866 
143, 0.00715, 0.0299399, 85.2975, -2.45217, 0.161608, 0.00378844, 1.03719 
