t, velocity, pressure, k, omega, wall_distance
 1.0000000e-04,  5.1266495e+01,  1.0000000e+04,  9.2799846e+03,  9.9999932e+03,  1.0000000e+04
 2.0000000e-04,  1.1489526e+01,  9.1185213e+03,  7.1663662e+04,  8.6831980e+03,  1.0000000e+04
 3.0000000e-04,  5.6747583e+00,  2.0976831e+04,  3.7939316e+04,  7.7892043e+03,  1.0000000e+04
 4.0000000e-04,  4.9265848e+00,  3.1650752e+03,  1.6380731e+04,  6.6364794e+03,  1.0000000e+04
 5.0000000e-04,  6.0962381e+00,  1.4898840e+03,  5.0384446e+03,  5.4150540e+03,  1.0000000e+04
 6.0000000e-04,  6.5038875e+00,  1.0830844e+03,  2.2295922e+03,  4.3245202e+03,  1.0000000e+04
 7.0000000e-04,  6.5044166e+00,  5.6909371e+02,  1.4373531e+03,  3.4559318e+03,  1.0000000e+04
 8.0000000e-04,  6.3100036e+00,  6.4052022e+02,  1.0593106e+03,  2.8007532e+03,  1.0000000e+04
 9.0000000e-04,  6.0458645e+00,  5.6271185e+02,  8.5511319e+02,  2.3131981e+03,  1.0000000e+04
 1.0000000e-03,  5.8063959e+00,  5.5780409e+02,  7.9736904e+02,  1.9457104e+03,  1.0000000e+04
 1.1000000e-03,  5.6462552e+00,  4.5469882e+02,  8.1523004e+02,  1.6623610e+03,  1.0000000e+04
 1.2000000e-03,  5.5875023e+00,  4.2210934e+02,  8.5051534e+02,  1.4395716e+03,  1.0000000e+04
 1.3000000e-03,  5.6227865e+00,  6.0134371e+02,  8.8713680e+02,  1.2616727e+03,  1.0000000e+04
 1.4000000e-03,  5.6692940e+00,  5.5662306e+02,  7.9941742e+02,  1.1176020e+03,  1.0000000e+04
 1.5000000e-03,  5.6753126e+00,  4.6811507e+02,  7.4576772e+02,  9.9920221e+02,  1.0000000e+04
 1.6000000e-03,  5.5669213e+00,  6.0076414e+02,  7.3254987e+02,  9.0135907e+02,  1.0000000e+04
 1.7000000e-03,  5.3654023e+00,  5.8526398e+02,  7.4653420e+02,  8.1761331e+02,  1.0000000e+04
 1.8000000e-03,  5.1495680e+00,  6.0500911e+02,  7.4825161e+02,  7.4575348e+02,  1.0000000e+04
 1.9000000e-03,  4.9686024e+00,  6.9156213e+02,  7.3152009e+02,  6.8351748e+02,  1.0000000e+04
 2.0000000e-03,  4.8490292e+00,  5.4003732e+02,  7.0086943e+02,  6.2934671e+02,  1.0000000e+04
 2.1000000e-03,  4.7958856e+00,  5.1767865e+02,  6.6518716e+02,  5.8228002e+02,  1.0000000e+04
 2.2000000e-03,  4.7867980e+00,  5.4910998e+02,  6.3455509e+02,  5.4170227e+02,  1.0000000e+04
 2.3000000e-03,  4.7801835e+00,  4.1030503e+02,  5.8404604e+02,  5.0651521e+02,  1.0000000e+04
 2.4000000e-03,  4.7488432e+00,  4.7404528e+02,  5.3823018e+02,  4.7569367e+02,  1.0000000e+04
 2.5000000e-03,  4.6835029e+00,  4.7203468e+02,  5.0409492e+02,  4.4813214e+02,  1.0000000e+04
 2.6000000e-03,  4.5856734e+00,  4.6328670e+02,  4.7958051e+02,  4.2288316e+02,  1.0000000e+04
 2.7000000e-03,  4.4701301e+00,  7.8041581e+02,  4.6027358e+02,  3.9934936e+02,  1.0000000e+04
 2.8000000e-03,  4.3509785e+00,  7.7176895e+02,  4.4502355e+02,  3.7811534e+02,  1.0000000e+04
 2.9000000e-03,  4.2425499e+00,  8.2446757e+02,  4.3065847e+02,  3.5835816e+02,  1.0000000e+04
 3.0000000e-03,  4.1542153e+00,  8.2739139e+02,  4.1705160e+02,  3.4021749e+02,  1.0000000e+04
 3.1000000e-03,  4.0843474e+00,  7.4304809e+02,  4.0519781e+02,  3.2356951e+02,  1.0000000e+04
 3.2000000e-03,  4.0254987e+00,  7.1807205e+02,  3.9679375e+02,  3.0847589e+02,  1.0000000e+04
 3.3000000e-03,  3.9644093e+00,  5.5657417e+02,  3.8331945e+02,  2.9483475e+02,  1.0000000e+04
 3.4000000e-03,  3.8929267e+00,  5.4412677e+02,  3.6439437e+02,  2.8204641e+02,  1.0000000e+04
 3.5000000e-03,  3.8077524e+00,  4.7683066e+02,  3.4832230e+02,  2.6998139e+02,  1.0000000e+04
 3.6000000e-03,  3.7127911e+00,  5.4381763e+02,  3.3490650e+02,  2.5826319e+02,  1.0000000e+04
 3.7000000e-03,  3.6145378e+00,  5.4817983e+02,  3.2342921e+02,  2.4693192e+02,  1.0000000e+04
 3.8000000e-03,  3.5208369e+00,  5.0352638e+02,  3.1289745e+02,  2.3613994e+02,  1.0000000e+04
 3.9000000e-03,  3.4374799e+00,  5.6361960e+02,  3.0411390e+02,  2.2642005e+02,  1.0000000e+04
 4.0000000e-03,  3.3645284e+00,  4.6508330e+02,  2.9655841e+02,  2.1741701e+02,  1.0000000e+04
 4.1000000e-03,  3.3045577e+00,  5.0663967e+02,  2.8930115e+02,  2.0909802e+02,  1.0000000e+04
 4.2000000e-03,  3.2536285e+00,  4.7996486e+02,  2.8315008e+02,  2.0157849e+02,  1.0000000e+04
 4.3000000e-03,  3.2062354e+00,  4.1285800e+02,  2.7863776e+02,  1.9439750e+02,  1.0000000e+04
 4.4000000e-03,  3.1578746e+00,  4.1604301e+02,  2.7429731e+02,  1.8814461e+02,  1.0000000e+04
 4.5000000e-03,  3.1073269e+00,  5.4640225e+02,  2.6278256e+02,  1.8225131e+02,  1.0000000e+04
 4.6000000e-03,  3.0490886e+00,  4.0583215e+02,  2.5236046e+02,  1.7624390e+02,  1.0000000e+04
 4.7000000e-03,  2.9865470e+00,  3.9235665e+02,  2.4317866e+02,  1.7050832e+02,  1.0000000e+04
 4.8000000e-03,  2.9233322e+00,  4.6450536e+02,  2.3505634e+02,  1.6492937e+02,  1.0000000e+04
 4.9000000e-03,  2.8626116e+00,  4.1552483e+02,  2.2771476e+02,  1.5952868e+02,  1.0000000e+04
 5.0000000e-03,  2.8065778e+00,  4.3410003e+02,  2.2100512e+02,  1.5421935e+02,  1.0000000e+04
 5.1000000e-03,  2.7572944e+00,  4.5324345e+02,  2.1480801e+02,  1.4914528e+02,  1.0000000e+04
 5.2000000e-03,  2.7149707e+00,  4.4774590e+02,  2.0980864e+02,  1.4512923e+02,  1.0000000e+04
 5.3000000e-03,  2.6777981e+00,  4.3648558e+02,  2.0543313e+02,  1.4118767e+02,  1.0000000e+04
 5.4000000e-03,  2.6452775e+00,  4.2041150e+02,  2.0172511e+02,  1.3818667e+02,  1.0000000e+04
 5.5000000e-03,  2.6148912e+00,  4.1166653e+02,  1.9882982e+02,  1.3460576e+02,  1.0000000e+04
 5.6000000e-03,  2.5852230e+00,  3.9866090e+02,  1.9669256e+02,  1.3158252e+02,  1.0000000e+04
 5.7000000e-03,  2.5545554e+00,  4.1981275e+02,  1.9519406e+02,  1.2928424e+02,  1.0000000e+04
 5.8000000e-03,  2.5225153e+00,  4.2446529e+02,  1.9203490e+02,  1.2642113e+02,  1.0000000e+04
 5.9000000e-03,  2.4892279e+00,  4.2407551e+02,  1.8584579e+02,  1.2385654e+02,  1.0000000e+04
 6.0000000e-03,  2.4552301e+00,  4.1442637e+02,  1.8013200e+02,  1.2179636e+02,  1.0000000e+04
 6.1000000e-03,  2.4211101e+00,  4.2481850e+02,  1.7492562e+02,  1.1825859e+02,  1.0000000e+04
