 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  3.1422242e+01,  2.9448776e+01,  0.0000000e+00,  6.7786375e-02,  0.0000000e+00,  2.1713687e-01
       1,  8.4033232e+01,  0.0000000e+00,  0.0000000e+00,  8.5867040e-02,  7.9893293e+01,  2.1016314e+00
       2,  9.5468947e+00,  0.0000000e+00,  0.0000000e+00,  7.6630763e-02,  5.9245096e+00,  1.8515999e+00
       3,  9.7678478e+00,  0.0000000e+00,  0.0000000e+00,  7.6837346e-02,  6.1320508e+00,  1.8408022e+00
       4,  8.9456633e+00,  0.0000000e+00,  0.0000000e+00,  7.5249040e-02,  5.3273218e+00,  1.8419341e+00
       5,  8.8695000e+00,  0.0000000e+00,  0.0000000e+00,  7.5005583e-02,  5.2325860e+00,  1.8473451e+00
       6,  8.7388373e+00,  0.0000000e+00,  0.0000000e+00,  7.6333973e-02,  5.1106628e+00,  1.8541415e+00
       7,  8.3300707e+00,  0.0000000e+00,  0.0000000e+00,  7.3848853e-02,  4.7126472e+00,  1.8424316e+00
       8,  8.3775522e+00,  0.0000000e+00,  0.0000000e+00,  7.5410342e-02,  4.7634371e+00,  1.8463365e+00
       9,  8.4338872e+00,  0.0000000e+00,  0.0000000e+00,  7.5343278e-02,  4.7975106e+00,  1.8526074e+00
      10,  8.4250897e+00,  0.0000000e+00,  0.0000000e+00,  7.6455459e-02,  4.8020056e+00,  1.8557066e+00
      11,  8.4408680e+00,  0.0000000e+00,  0.0000000e+00,  7.5571060e-02,  4.8191546e+00,  1.8491633e+00
      12,  8.3626373e+00,  0.0000000e+00,  0.0000000e+00,  7.5949990e-02,  4.7401547e+00,  1.8439069e+00
      13,  8.4570371e+00,  0.0000000e+00,  0.0000000e+00,  7.2433216e-02,  4.8325819e+00,  1.8508308e+00
      14,  8.4529103e+00,  0.0000000e+00,  0.0000000e+00,  7.5654196e-02,  4.8374393e+00,  1.8509781e+00
      15,  8.3445100e+00,  0.0000000e+00,  0.0000000e+00,  7.3683599e-02,  4.7105601e+00,  1.8462755e+00
      16,  8.4778074e+00,  0.0000000e+00,  0.0000000e+00,  7.5883143e-02,  4.8503889e+00,  1.8412367e+00
      17,  8.3018432e+00,  0.0000000e+00,  0.0000000e+00,  8.4064403e-02,  4.6604678e+00,  1.8495184e+00
      18,  8.6076655e+00,  0.0000000e+00,  0.0000000e+00,  7.3836614e-02,  4.9636198e+00,  1.8356803e+00
      19,  8.6519590e+00,  0.0000000e+00,  0.0000000e+00,  7.6509856e-02,  5.0273482e+00,  1.8398337e+00
      20,  8.4856070e+00,  0.0000000e+00,  0.0000000e+00,  7.5663881e-02,  4.8511739e+00,  1.8534605e+00
      21,  8.3677079e+00,  0.0000000e+00,  0.0000000e+00,  7.5087103e-02,  4.7464901e+00,  1.8452627e+00
      22,  8.2289663e+00,  0.0000000e+00,  0.0000000e+00,  7.5156608e-02,  4.5894878e+00,  1.8611436e+00
      23,  8.3049577e+00,  0.0000000e+00,  0.0000000e+00,  7.2316355e-02,  4.6846631e+00,  1.8400425e+00
      24,  8.2921281e+00,  0.0000000e+00,  0.0000000e+00,  7.4896961e-02,  4.6639128e+00,  1.8307635e+00
      25,  8.3535971e+00,  0.0000000e+00,  0.0000000e+00,  7.5595269e-02,  4.7355269e+00,  1.8578948e+00
      26,  8.2005150e+00,  0.0000000e+00,  0.0000000e+00,  7.5008404e-02,  4.5771530e+00,  1.8511237e+00
      27,  8.4673651e+00,  0.0000000e+00,  0.0000000e+00,  7.6593798e-02,  4.8311874e+00,  1.8472022e+00
      28,  8.3927222e+00,  0.0000000e+00,  0.0000000e+00,  7.4862102e-02,  4.7837450e+00,  1.8452125e+00
      29,  8.0181209e+00,  0.0000000e+00,  0.0000000e+00,  7.6418144e-02,  4.4063272e+00,  1.8441561e+00
      30,  8.3213972e+00,  0.0000000e+00,  0.0000000e+00,  7.4518094e-02,  4.6839999e+00,  1.8546533e+00
      31,  8.1931505e+00,  0.0000000e+00,  0.0000000e+00,  7.4345993e-02,  4.5641364e+00,  1.8475281e+00
      32,  8.4278398e+00,  0.0000000e+00,  0.0000000e+00,  7.6367849e-02,  4.8043600e+00,  1.8558995e+00
      33,  8.2812714e+00,  0.0000000e+00,  0.0000000e+00,  7.5624066e-02,  4.6508149e+00,  1.8509312e+00
      34,  8.5508535e+00,  0.0000000e+00,  0.0000000e+00,  7.4819981e-02,  4.9155085e+00,  1.8395993e+00
      35,  8.3592815e+00,  0.0000000e+00,  0.0000000e+00,  8.4233096e-02,  4.7249509e+00,  1.8465593e+00
      36,  8.2146118e+00,  0.0000000e+00,  0.0000000e+00,  7.7578727e-02,  4.5856253e+00,  1.8440870e+00
      37,  8.3007684e+00,  0.0000000e+00,  0.0000000e+00,  7.5655306e-02,  4.6806931e+00,  1.8418838e+00
      38,  8.3841492e+00,  0.0000000e+00,  0.0000000e+00,  7.6054818e-02,  4.7670902e+00,  1.8366114e+00
      39,  8.4255575e+00,  0.0000000e+00,  0.0000000e+00,  7.5185666e-02,  4.8068175e+00,  1.8468280e+00
      40,  8.3602227e+00,  0.0000000e+00,  0.0000000e+00,  7.7716275e-02,  4.7368953e+00,  1.8403598e+00
      41,  8.3468421e+00,  0.0000000e+00,  0.0000000e+00,  7.5669665e-02,  4.7281913e+00,  1.8644338e+00
      42,  8.2998738e+00,  0.0000000e+00,  0.0000000e+00,  7.6545891e-02,  4.6711092e+00,  1.8468017e+00
      43,  8.4536934e+00,  0.0000000e+00,  0.0000000e+00,  7.6128276e-02,  4.8262800e+00,  1.8482378e+00
      44,  8.1934757e+00,  0.0000000e+00,  0.0000000e+00,  7.5225515e-02,  4.5599762e+00,  1.8525457e+00
      45,  8.3432212e+00,  0.0000000e+00,  0.0000000e+00,  7.3960772e-02,  4.7145201e+00,  1.8588426e+00
      46,  8.2209056e+00,  0.0000000e+00,  0.0000000e+00,  7.6603580e-02,  4.5978232e+00,  1.8451627e+00
      47,  8.2452979e+00,  0.0000000e+00,  0.0000000e+00,  7.5572212e-02,  4.6122392e+00,  1.8498721e+00
      48,  8.2481978e+00,  0.0000000e+00,  0.0000000e+00,  7.4968729e-02,  4.6140279e+00,  1.8450021e+00
      49,  8.1876743e+00,  0.0000000e+00,  0.0000000e+00,  7.4776873e-02,  4.5550634e+00,  1.8491391e+00
      50,  8.3103683e+00,  0.0000000e+00,  0.0000000e+00,  7.6366963e-02,  4.6848587e+00,  1.8530874e+00
      51,  8.2195920e+00,  0.0000000e+00,  0.0000000e+00,  7.6035060e-02,  4.6003279e+00,  1.8500539e+00
      52,  8.2893715e+00,  0.0000000e+00,  0.0000000e+00,  7.7663148e-02,  4.6738080e+00,  1.8473878e+00
      53,  8.2275203e+00,  0.0000000e+00,  0.0000000e+00,  7.6785457e-02,  4.6068660e+00,  1.8479258e+00
      54,  8.0944144e+00,  0.0000000e+00,  0.0000000e+00,  7.6512039e-02,  4.4676298e+00,  1.8507927e+00
      55,  8.3383813e+00,  0.0000000e+00,  0.0000000e+00,  7.5329973e-02,  4.7184125e+00,  1.8398810e+00
      56,  8.2480026e+00,  0.0000000e+00,  0.0000000e+00,  7.3957781e-02,  4.6306516e+00,  1.8441532e+00
      57,  8.2551161e+00,  0.0000000e+00,  0.0000000e+00,  7.2291139e-02,  4.6408866e+00,  1.8411229e+00
      58,  8.3630601e+00,  0.0000000e+00,  0.0000000e+00,  7.5914854e-02,  4.7372051e+00,  1.8350110e+00
      59,  8.3234381e+00,  0.0000000e+00,  0.0000000e+00,  7.3606965e-02,  4.7055747e+00,  1.8499177e+00
