t, 1, 2, 3, 4
 1.1000000e-01,  4.2433920e-02,  1.1207860e-02,  5.6742366e-02,  4.2433914e-02
 2.3100000e-01,  9.7771182e-02,  4.2536117e-02,  1.3799921e-01,  9.8978049e-02
 3.6410000e-01,  1.4461246e-01,  6.1883396e-02,  2.1349865e-01,  1.4988244e-01
 5.1051000e-01,  1.9282692e-01,  8.2511889e-02,  2.9869041e-01,  2.0543722e-01
 6.7156100e-01,  2.4314445e-01,  1.0530528e-01,  3.9687813e-01,  2.6761678e-01
 8.4871710e-01,  2.9596427e-01,  1.3070337e-01,  5.0988936e-01,  3.3843804e-01
 1.0435888e+00,  3.5169149e-01,  1.5922689e-01,  6.3823690e-01,  4.2045150e-01
 1.2440046e+00,  3.8291839e-01,  1.7823643e-01,  7.2597164e-01,  4.8046031e-01
 1.4401258e+00,  3.9101253e-01,  1.8726465e-01,  7.6581106e-01,  5.1576866e-01
 1.6333702e+00,  3.9888196e-01,  1.9664143e-01,  7.9865166e-01,  5.5420104e-01
 1.8246204e+00,  4.0716755e-01,  2.0666165e-01,  8.2573385e-01,  5.9715704e-01
 2.0145362e+00,  4.1657119e-01,  2.1768565e-01,  8.4906287e-01,  6.4640919e-01
 2.2036040e+00,  4.2751668e-01,  2.2994882e-01,  8.7040327e-01,  7.0360050e-01
 2.3921963e+00,  4.4028069e-01,  2.4360893e-01,  8.9124043e-01,  7.7040867e-01
 2.5806147e+00,  4.5504166e-01,  2.5876139e-01,  9.1266104e-01,  8.4863777e-01
 2.7690732e+00,  4.7179353e-01,  2.7537853e-01,  9.3504879e-01,  9.4004490e-01
 2.9577106e+00,  4.9045835e-01,  2.9336498e-01,  9.5829310e-01,  1.0465253e+00
 3.1466048e+00,  5.1091992e-01,  3.1257073e-01,  9.8187637e-01,  1.1701123e+00
 3.3357860e+00,  5.3305206e-01,  3.3280745e-01,  1.0050090e+00,  1.3129285e+00
 3.5252530e+00,  5.5674560e-01,  3.5386666e-01,  1.0267759e+00,  1.4770339e+00
 3.7149856e+00,  5.8191605e-01,  3.7552873e-01,  1.0462428e+00,  1.6640998e+00
 3.9049399e+00,  6.0845592e-01,  3.9753461e-01,  1.0624534e+00,  1.8747713e+00
 4.0950652e+00,  6.3630226e-01,  4.1963441e-01,  1.0746126e+00,  2.1083075e+00
