t, 1, 2, 3, 4
 1.1000000e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.3100000e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.6410000e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.1051000e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.7156100e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.4871710e-01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0435888e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2440046e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4401258e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6333702e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8246204e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0145362e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.2036040e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.3921963e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.5806147e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.7690732e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.9577106e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.1466048e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.3357860e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.5252530e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.7149856e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 3.9049399e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 4.0950652e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 4.2853408e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 4.4757500e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 4.6662804e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 4.8569221e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.0476671e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.2385080e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.4294370e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.6204463e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 5.8115277e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.0026725e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.1938722e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.3851186e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.5763994e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.7677029e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 6.9590227e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 7.1503531e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 7.3416888e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 7.5330247e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 7.7243562e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 7.9156793e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.1069901e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.2982850e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.4895610e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.6808154e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 8.8720457e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 9.0632439e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 9.2544035e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 9.4455229e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 9.6366009e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 9.8276364e+00,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0018629e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0209577e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0400483e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0591344e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0782163e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.0972939e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.1163666e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.1354341e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.1544966e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.1735543e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.1926072e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2116558e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2307001e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2497405e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2687772e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.2878101e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.3068390e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.3258643e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.3448863e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.3639051e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.3829210e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4019343e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4209452e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4399537e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4589601e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4779643e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.4969665e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.5159667e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.5349648e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.5539609e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.5729549e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.5919466e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6109360e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6299230e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6489074e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6678892e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.6868681e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.7058441e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.7248170e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.7437867e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.7627528e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.7817150e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8006732e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8196273e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8385774e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8575234e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8764652e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.8954028e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.9143363e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.9332657e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.9521911e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.9711125e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 1.9900299e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0089435e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0278535e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0467597e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0656625e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.0845619e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1034581e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1223511e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1412412e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1601285e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1790130e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.1978950e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.2167746e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
 2.2356519e+01,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03,  1.0000000e-03
