t, 1, 2, 3, 4
 1.1000000e-01, -2.3756734e-01, -9.2686427e-03, -1.0009034e-02,  2.3756734e-01
 2.3100000e-01, -1.3039177e-02, -3.1216949e-04, -1.5546028e-03,  1.3229038e-02
 3.6410000e-01, -6.7572949e-03,  1.1995977e-04, -2.1055346e-03,  7.3555283e-03
 5.1051000e-01, -5.1012934e-03,  2.7721021e-04, -2.6479971e-03,  5.9257157e-03
 6.7156100e-01, -3.8812984e-03,  4.5066807e-04, -3.1783808e-03,  4.9918229e-03
 8.4871710e-01, -2.8831599e-03,  6.5237052e-04, -3.6451245e-03,  4.3410116e-03
 1.0435888e+00, -2.0339572e-03,  8.9115727e-04, -4.0007269e-03,  3.9143028e-03
 1.2440046e+00, -1.3150410e-03,  1.1710820e-03, -4.2252669e-03,  3.7055853e-03
 1.4401258e+00, -7.2028006e-04,  1.4893577e-03, -4.3172661e-03,  3.7074675e-03
 1.6333702e+00, -2.2603192e-04,  1.8453096e-03, -4.3060360e-03,  3.8945077e-03
 1.8246204e+00,  1.9200426e-04,  2.2368130e-03, -4.2446716e-03,  4.2371491e-03
 2.0145362e+00,  5.4832528e-04,  2.6564200e-03, -4.1855189e-03,  4.7046380e-03
 2.2036040e+00,  8.5841124e-04,  3.0977291e-03, -4.1631360e-03,  5.2645229e-03
 2.3921963e+00,  1.1366425e-03,  3.5547429e-03, -4.1970982e-03,  5.8838691e-03
 2.5806147e+00,  1.3950542e-03,  4.0218831e-03, -4.2957378e-03,  6.5305847e-03
 2.7690732e+00,  1.6429704e-03,  4.4941115e-03, -4.4594774e-03,  7.1734997e-03
 2.9577106e+00,  1.8868214e-03,  4.9679611e-03, -4.6857951e-03,  7.7836426e-03
 3.1466048e+00,  2.1306834e-03,  5.4404792e-03, -4.9700644e-03,  8.3301504e-03
 3.3357860e+00,  2.3768143e-03,  5.9099371e-03, -5.3082104e-03,  8.7793488e-03
 3.5252530e+00,  2.6260656e-03,  6.3753722e-03, -5.6977185e-03,  9.0925391e-03
 3.7149856e+00,  2.8785880e-03,  6.8363637e-03, -6.1371754e-03,  9.2247261e-03
 3.9049399e+00,  3.1339362e-03,  7.2927818e-03, -6.6270213e-03,  9.1260408e-03
 4.0950652e+00,  3.3915217e-03,  7.7445089e-03, -7.1680299e-03,  8.7444128e-03
 4.2853408e+00,  3.6505934e-03,  8.1914306e-03, -7.7619946e-03,  8.0309052e-03
