t, 1, 2, 3, 4
 1.1000000e-01, -3.7363632e-03, -1.9520412e-03, -1.0100983e-02, -3.7363627e-03
 2.3100000e-01, -8.8170989e-03, -6.8907027e-03, -2.2022082e-02, -9.0428976e-03
 3.6410000e-01, -1.1504837e-02, -9.0491312e-03, -3.0106764e-02, -1.2353679e-02
 5.1051000e-01, -1.3608734e-02, -1.0888466e-02, -3.7073115e-02, -1.5416253e-02
 6.7156100e-01, -1.5250740e-02, -1.2534654e-02, -4.3138669e-02, -1.8378045e-02
 8.4871710e-01, -1.6500666e-02, -1.4023368e-02, -4.8278120e-02, -2.1347736e-02
 1.0435888e+00, -1.7421706e-02, -1.5386472e-02, -5.2362955e-02, -2.4438672e-02
 1.2440046e+00, -1.8041555e-02, -1.6587386e-02, -5.5071416e-02, -2.7581729e-02
 1.4401258e+00, -1.8445032e-02, -1.7643430e-02, -5.6438506e-02, -3.0753006e-02
 1.6333702e+00, -1.8730985e-02, -1.8631888e-02, -5.6726667e-02, -3.4080489e-02
 1.8246204e+00, -1.8964171e-02, -1.9611231e-02, -5.6156738e-02, -3.7669679e-02
 2.0145362e+00, -1.9186980e-02, -2.0626939e-02, -5.4914019e-02, -4.1611903e-02
 2.2036040e+00, -1.9425870e-02, -2.1712669e-02, -5.3144662e-02, -4.5986358e-02
 2.3921963e+00, -1.9696125e-02, -2.2891695e-02, -5.0953348e-02, -5.0866395e-02
 2.5806147e+00, -2.0005545e-02, -2.4178602e-02, -4.8404771e-02, -5.6329845e-02
 2.7690732e+00, -2.0357154e-02, -2.5580610e-02, -4.5529543e-02, -6.2471534e-02
 2.9577106e+00, -2.0751439e-02, -2.7099697e-02, -4.2332247e-02, -6.9423690e-02
 3.1466048e+00, -2.1187728e-02, -2.8733718e-02, -3.8800798e-02, -7.7372484e-02
 3.3357860e+00, -2.1665186e-02, -3.0477774e-02, -3.4915417e-02, -8.6569819e-02
 3.5252530e+00, -2.2183354e-02, -3.2325197e-02, -3.0655763e-02, -9.7324220e-02
 3.7149856e+00, -2.2742280e-02, -3.4268131e-02, -2.6006491e-02, -1.0995933e-01
 3.9049399e+00, -2.3342520e-02, -3.6297765e-02, -2.0960081e-02, -1.2473490e-01
 4.0950652e+00, -2.3984950e-02, -3.8404457e-02, -1.5518553e-02, -1.4174955e-01
 4.2853408e+00, -2.4670840e-02, -4.0578101e-02, -9.6909944e-03, -1.6085582e-01
 4.4757500e+00, -2.5401599e-02, -4.2807587e-02, -3.4943921e-03, -1.8161718e-01
 4.6662804e+00, -2.6178805e-02, -4.5080671e-02,  3.0496027e-03, -2.0332810e-01
 4.8569221e+00, -2.7004349e-02, -4.7383837e-02,  9.9205649e-03, -2.2509351e-01
 5.0476671e+00, -2.7879865e-02, -4.9702083e-02,  1.7081187e-02, -2.4593887e-01
 5.2385080e+00, -2.8807384e-02, -5.2019526e-02,  2.4499324e-02, -2.6492258e-01
 5.4294370e+00, -2.9789087e-02, -5.4320417e-02,  3.2134443e-02, -2.8123077e-01
 5.6204463e+00, -3.0827371e-02, -5.6590687e-02,  3.9945355e-02, -2.9424234e-01
 5.8115277e+00, -3.1924788e-02, -5.8820351e-02,  4.7887362e-02, -3.0356971e-01
 6.0026725e+00, -3.3083956e-02, -6.1007190e-02,  5.5912416e-02, -3.0907223e-01
 6.1938722e+00, -3.4307533e-02, -6.3160664e-02,  6.3970758e-02, -3.1084630e-01
 6.3851186e+00, -3.5598095e-02, -6.5305223e-02,  7.2011885e-02, -3.0919417e-01
 6.5763994e+00, -3.6957929e-02, -6.7483448e-02,  7.9983244e-02, -3.0457653e-01
 6.7677029e+00, -3.8388826e-02, -6.9758791e-02,  8.7833000e-02, -2.9755497e-01
 6.9590227e+00, -3.9892025e-02, -7.2210262e-02,  9.5511245e-02, -2.8873274e-01
 7.1503531e+00, -4.1467859e-02, -7.4928290e-02,  1.0297024e-01, -2.7870405e-01
 7.3416888e+00, -4.3115444e-02, -7.8006575e-02,  1.1016509e-01, -2.6801257e-01
 7.5330247e+00, -4.4832358e-02, -8.1532287e-02,  1.1705547e-01, -2.5712317e-01
 7.7243562e+00, -4.6614302e-02, -8.5575896e-02,  1.2360630e-01, -2.4640720e-01
 7.9156793e+00, -4.8454818e-02, -9.0184030e-02,  1.2978802e-01, -2.3613922e-01
 8.1069901e+00, -5.0345070e-02, -9.5374202e-02,  1.3557713e-01, -2.2650178e-01
 8.2982850e+00, -5.2272024e-02, -1.0113370e-01,  1.4095597e-01, -2.1759754e-01
 8.4895610e+00, -5.4223570e-02, -1.0743049e-01,  1.4591349e-01, -2.0946480e-01
 8.6808154e+00, -5.6183841e-02, -1.1420291e-01,  1.5044491e-01, -2.0209397e-01
 8.8720457e+00, -5.8135092e-02, -1.2137381e-01,  1.5455140e-01, -1.9544363e-01
 9.0632439e+00, -6.0058239e-02, -1.2885993e-01,  1.5823970e-01, -1.8945439e-01
 9.2544035e+00, -6.1933649e-02, -1.3658283e-01,  1.6152176e-01, -1.8405955e-01
 9.4455229e+00, -6.3741945e-02, -1.4447093e-01,  1.6441426e-01, -1.7919260e-01
 9.6366009e+00, -6.5464748e-02, -1.5246122e-01,  1.6693790e-01, -1.7479192e-01
 9.8276364e+00, -6.7085391e-02, -1.6050028e-01,  1.6911684e-01, -1.7080303e-01
 1.0018629e+01, -6.8589513e-02, -1.6854396e-01,  1.7097796e-01, -1.6717908e-01
 1.0209577e+01, -6.9965488e-02, -1.7655500e-01,  1.7255028e-01, -1.6388026e-01
 1.0400483e+01, -7.1204701e-02, -1.8450105e-01,  1.7386425e-01, -1.6087277e-01
 1.0591344e+01, -7.2301652e-02, -1.9235320e-01,  1.7495110e-01, -1.5812756e-01
 1.0782163e+01, -7.3253922e-02, -2.0008437e-01,  1.7584213e-01, -1.5561914e-01
 1.0972939e+01, -7.4062008e-02, -2.0766835e-01,  1.7656812e-01, -1.5332465e-01
 1.1163666e+01, -7.4729059e-02, -2.1507913e-01,  1.7715868e-01, -1.5122317e-01
 1.1354341e+01, -7.5260564e-02, -2.2229144e-01,  1.7764173e-01, -1.4929515e-01
