t, 1, 2, 3, 4
 1.1000000e-01,  3.9788958e-03,  8.5752778e-05,  2.1581245e-04, -3.9788954e-03
 2.3100000e-01,  7.3458252e-03,  1.4311387e-04,  7.8646946e-04, -7.3193646e-03
 3.6410000e-01,  1.0231775e-02,  2.5567678e-04,  1.9720397e-03, -1.0175279e-02
 5.1051000e-01,  1.2739739e-02,  3.9099963e-04,  3.7260702e-03, -1.2658335e-02
 6.7156100e-01,  1.4951443e-02,  5.5246772e-04,  6.1446404e-03, -1.4871285e-02
 8.4871710e-01,  1.6918596e-02,  7.4362233e-04,  9.2829688e-03, -1.6881256e-02
 1.0435888e+00,  1.8677790e-02,  9.6757200e-04,  1.3136594e-02, -1.8741351e-02
 1.2440046e+00,  2.0173605e-02,  1.2123198e-03,  1.7369362e-02, -2.0403125e-02
 1.4401258e+00,  2.1430216e-02,  1.4667652e-03,  2.1648943e-02, -2.1895751e-02
 1.6333702e+00,  2.2550543e-02,  1.7330772e-03,  2.5920469e-02, -2.3345136e-02
 1.8246204e+00,  2.3612847e-02,  2.0136081e-03,  3.0184880e-02, -2.4865873e-02
 2.0145362e+00,  2.4678409e-02,  2.3103497e-03,  3.4495303e-02, -2.6572840e-02
 2.2036040e+00,  2.5793187e-02,  2.6242087e-03,  3.8931858e-02, -2.8581413e-02
 2.3921963e+00,  2.6989725e-02,  2.9546301e-03,  4.3578844e-02, -3.1006407e-02
 2.5806147e+00,  2.8289403e-02,  3.2994088e-03,  4.8507280e-02, -3.3959442e-02
 2.7690732e+00,  2.9704391e-02,  3.6545006e-03,  5.3761532e-02, -3.7541584e-02
 2.9577106e+00,  3.1240466e-02,  4.0141690e-03,  5.9357264e-02, -4.1832220e-02
 3.1466048e+00,  3.2898737e-02,  4.3709337e-03,  6.5279621e-02, -4.6871967e-02
 3.3357860e+00,  3.4677543e-02,  4.7157333e-03,  7.1488109e-02, -5.2645470e-02
 3.5252530e+00,  3.6573845e-02,  5.0380965e-03,  7.7923302e-02, -5.9071818e-02
 3.7149856e+00,  3.8584044e-02,  5.3263608e-03,  8.4513002e-02, -6.6010973e-02
 3.9049399e+00,  4.0704419e-02,  5.5678084e-03,  9.1178928e-02, -7.3291509e-02
 4.0950652e+00,  4.2931318e-02,  5.7489572e-03,  9.7841194e-02, -8.0752280e-02
 4.2853408e+00,  4.5261698e-02,  5.8557206e-03,  1.0442442e-01, -8.8284146e-02
 4.4757500e+00,  4.7692604e-02,  5.8736424e-03,  1.1085795e-01, -9.5848160e-02
 4.6662804e+00,  5.0221138e-02,  5.7880908e-03,  1.1707732e-01, -1.0346664e-01
 4.8569221e+00,  5.2844335e-02,  5.5846824e-03,  1.2302954e-01, -1.1119014e-01
 5.0476671e+00,  5.5558469e-02,  5.2499004e-03,  1.2865747e-01, -1.1905508e-01
 5.2385080e+00,  5.8359493e-02,  4.7720142e-03,  1.3391923e-01, -1.2705223e-01
 5.4294370e+00,  6.1242649e-02,  4.1425910e-03,  1.3877621e-01, -1.3511023e-01
 5.6204463e+00,  6.4202514e-02,  3.3582474e-03,  1.4319706e-01, -1.4309565e-01
 5.8115277e+00,  6.7232933e-02,  2.4233367e-03,  1.4715533e-01, -1.5082880e-01
 6.0026725e+00,  7.0327157e-02,  1.3531070e-03,  1.5063033e-01, -1.5810863e-01
 6.1938722e+00,  7.3478181e-02,  1.7616260e-04,  1.5360806e-01, -1.6474250e-01
 6.3851186e+00,  7.6679165e-02, -1.0627324e-03,  1.5607940e-01, -1.7057687e-01
 6.5763994e+00,  7.9924004e-02, -2.3017530e-03,  1.5804166e-01, -1.7551800e-01
 6.7677029e+00,  8.3208354e-02, -3.4638518e-03,  1.5949987e-01, -1.7954202e-01
 6.9590227e+00,  8.6530673e-02, -4.4607939e-03,  1.6046556e-01, -1.8269212e-01
 7.1503531e+00,  8.9893370e-02, -5.2005140e-03,  1.6095523e-01, -1.8506461e-01
 7.3416888e+00,  9.3303839e-02, -5.5963582e-03,  1.6099222e-01, -1.8678956e-01
 7.5330247e+00,  9.6775232e-02, -5.5764848e-03,  1.6060594e-01, -1.8801040e-01
 7.7243562e+00,  1.0032682e-01, -5.0924885e-03,  1.5983022e-01, -1.8886678e-01
 7.9156793e+00,  1.0398362e-01, -4.1246335e-03,  1.5870245e-01, -1.8948270e-01
 8.1069901e+00,  1.0777520e-01, -2.6834048e-03,  1.5726264e-01, -1.8995919e-01
 8.2982850e+00,  1.1173216e-01, -8.0833662e-04,  1.5555399e-01, -1.9037157e-01
 8.4895610e+00,  1.1588734e-01,  1.4409021e-03,  1.5361732e-01, -1.9077231e-01
 8.6808154e+00,  1.2026898e-01,  3.9861104e-03,  1.5149436e-01, -1.9119318e-01
 8.8720457e+00,  1.2489872e-01,  6.7415164e-03,  1.4922549e-01, -1.9165028e-01
 9.0632439e+00,  1.2978881e-01,  9.6208776e-03,  1.4684911e-01, -1.9214861e-01
