t, 1, 2, 3, 4
 1.1000000e-01,  2.5479528e-16,  4.2429043e-16,  2.7045827e-16,  5.0597441e-16
 2.3100000e-01, -2.1906464e-16, -3.3484817e-16, -1.6361887e-16, -3.6977564e-16
 3.6410000e-01, -3.4626403e-17, -5.0866061e-17, -2.8333999e-17, -6.1539528e-17
 5.1051000e-01, -4.1592069e-18, -6.7438471e-18, -2.3285044e-18, -8.7153508e-18
 6.7156100e-01, -2.3260896e-19, -1.4149017e-18,  1.5710280e-18, -9.1398796e-19
 8.4871710e-01,  1.5149881e-19, -7.8451811e-19,  1.9169916e-18,  5.3514805e-19
 1.0435888e+00,  1.6850295e-19, -6.3868243e-19,  1.4212079e-18,  1.1592600e-18
 1.2440046e+00, -3.6896419e-21, -4.1218533e-19,  8.1704892e-19,  1.8293646e-18
 1.4401258e+00, -3.3126122e-19, -1.1926332e-19,  3.9751046e-19,  2.4915805e-18
 1.6333702e+00, -7.0437423e-19,  1.4159056e-19,  1.4205147e-19,  3.0624406e-18
 1.8246204e+00, -1.0929685e-18,  3.5908290e-19,  7.1430098e-20,  3.5715097e-18
 2.0145362e+00, -1.4858466e-18,  5.4114531e-19,  1.5949381e-19,  4.0081418e-18
 2.2036040e+00, -1.8605558e-18,  6.8797663e-19,  3.0349386e-19,  4.3568412e-18
 2.3921963e+00, -2.2012123e-18,  8.0088160e-19,  3.9513876e-19,  4.6104984e-18
 2.5806147e+00, -2.5012476e-18,  8.8320226e-19,  3.4502438e-19,  4.7662279e-18
 2.7690732e+00, -2.7608695e-18,  9.3923217e-19,  9.2020905e-20,  4.8229988e-18
 2.9577106e+00, -2.9893410e-18,  9.7598961e-19, -3.9726735e-19,  4.7881869e-18
 3.1466048e+00, -3.1946481e-18,  9.9815276e-19, -1.1295492e-18,  4.6740380e-18
 3.3357860e+00, -3.3874877e-18,  1.0110809e-18, -2.0978974e-18,  4.5232738e-18
 3.5252530e+00, -3.5776767e-18,  1.0190115e-18, -3.2827908e-18,  4.4229762e-18
 3.7149856e+00, -3.7723968e-18,  1.0245631e-18, -4.6648560e-18,  4.5321302e-18
 3.9049399e+00, -3.9776498e-18,  1.0298879e-18, -6.2164268e-18,  5.0793347e-18
 4.0950652e+00, -4.1965934e-18,  1.0356444e-18, -7.9159844e-18,  6.3528246e-18
 4.2853408e+00, -4.4323006e-18,  1.0424675e-18, -9.7370838e-18,  8.6334189e-18
 4.4757500e+00, -4.6854855e-18,  1.0497612e-18, -1.1656028e-17,  1.2139014e-17
 4.6662804e+00, -4.9574906e-18,  1.0573780e-18, -1.3648518e-17,  1.6917070e-17
 4.8569221e+00, -5.2479309e-18,  1.0642226e-18, -1.5655746e-17,  2.2800571e-17
 5.0476671e+00, -5.5569434e-18,  1.0691032e-18, -1.7669091e-17,  2.9357797e-17
 5.2385080e+00, -5.8847844e-18,  1.0708760e-18, -1.9692419e-17,  3.5989915e-17
 5.4294370e+00, -6.2311371e-18,  1.0673886e-18, -2.1697475e-17,  4.2007848e-17
 5.6204463e+00, -6.5965787e-18,  1.0565731e-18, -2.3648717e-17,  4.6784435e-17
 5.8115277e+00, -6.9809437e-18,  1.0350308e-18, -2.5528661e-17,  4.9880650e-17
 6.0026725e+00, -7.3845589e-18,  9.9777389e-19, -2.7308077e-17,  5.1134209e-17
 6.1938722e+00, -7.8080927e-18,  9.3946833e-19, -2.8965456e-17,  5.0666995e-17
 6.3851186e+00, -8.2519222e-18,  8.5367450e-19, -3.0480996e-17,  4.8779454e-17
 6.5763994e+00, -8.7165266e-18,  7.3101234e-19, -3.1828839e-17,  4.5934328e-17
 6.7677029e+00, -9.2033129e-18,  5.6434207e-19, -3.2989557e-17,  4.2579586e-17
 6.9590227e+00, -9.7124709e-18,  3.4945935e-19, -3.3956154e-17,  3.9085769e-17
 7.1503531e+00, -1.0246162e-17,  8.6445499e-20, -3.4711054e-17,  3.5724929e-17
 7.3416888e+00, -1.0805952e-17, -2.2362133e-19, -3.5250152e-17,  3.2650966e-17
 7.5330247e+00, -1.1393425e-17, -5.7710816e-19, -3.5571428e-17,  2.9954145e-17
 7.7243562e+00, -1.2010788e-17, -9.6742113e-19, -3.5684963e-17,  2.7645780e-17
 7.9156793e+00, -1.2660421e-17, -1.3916401e-18, -3.5598402e-17,  2.5735216e-17
 8.1069901e+00, -1.3344103e-17, -1.8438521e-18, -3.5326416e-17,  2.4199980e-17
 8.2982850e+00, -1.4060150e-17, -2.3192139e-18, -3.4888441e-17,  2.3002914e-17
 8.4895610e+00, -1.4816648e-17, -2.8270512e-18, -3.4300740e-17,  2.2128031e-17
 8.6808154e+00, -1.5606828e-17, -3.3623743e-18, -3.3588219e-17,  2.1511868e-17
 8.8720457e+00, -1.6431662e-17, -3.9319785e-18, -3.2775619e-17,  2.1114581e-17
 9.0632439e+00, -1.7288902e-17, -4.5410150e-18, -3.1887603e-17,  2.0891197e-17
 9.2544035e+00, -1.8174488e-17, -5.1905843e-18, -3.0946316e-17,  2.0801573e-17
 9.4455229e+00, -1.9082964e-17, -5.8766987e-18, -2.9974270e-17,  2.0804594e-17
 9.6366009e+00, -2.0008115e-17, -6.5952151e-18, -2.8990969e-17,  2.0872151e-17
 9.8276364e+00, -2.0942694e-17, -7.3381139e-18, -2.8015258e-17,  2.0979511e-17
 1.0018629e+01, -2.1877945e-17, -8.0982110e-18, -2.7062218e-17,  2.1109835e-17
 1.0209577e+01, -2.2805702e-17, -8.8639490e-18, -2.6144728e-17,  2.1253835e-17
 1.0400483e+01, -2.3717439e-17, -9.6241540e-18, -2.5273068e-17,  2.1402801e-17
 1.0591344e+01, -2.4604532e-17, -1.0366800e-17, -2.4454719e-17,  2.1553641e-17
 1.0782163e+01, -2.5459523e-17, -1.1078658e-17, -2.3695270e-17,  2.1701732e-17
 1.0972939e+01, -2.6275889e-17, -1.1746871e-17, -2.2997011e-17,  2.1850219e-17
 1.1163666e+01, -2.7048059e-17, -1.2356973e-17, -2.2361051e-17,  2.1998029e-17
 1.1354341e+01, -2.7771954e-17, -1.2900809e-17, -2.1786359e-17,  2.2144321e-17
 1.1544966e+01, -2.8445323e-17, -1.3367806e-17, -2.1269703e-17,  2.2291534e-17
 1.1735543e+01, -2.9065464e-17, -1.3752903e-17, -2.0806683e-17,  2.2437614e-17
 1.1926072e+01, -2.9633937e-17, -1.4050720e-17, -2.0393382e-17,  2.2582611e-17
 1.2116558e+01, -3.0150957e-17, -1.4259498e-17, -2.0025378e-17,  2.2725165e-17
 1.2307001e+01, -3.0617596e-17, -1.4384430e-17, -1.9694806e-17,  2.2867713e-17
 1.2497405e+01, -3.1035826e-17, -1.4427597e-17, -1.9400228e-17,  2.3005554e-17
 1.2687772e+01, -3.1409672e-17, -1.4397880e-17, -1.9132278e-17,  2.3139742e-17
 1.2878101e+01, -3.1741327e-17, -1.4295082e-17, -1.8889036e-17,  2.3266846e-17
 1.3068390e+01, -3.2032721e-17, -1.4138551e-17, -1.8665502e-17,  2.3387152e-17
 1.3258643e+01, -3.2289129e-17, -1.3929558e-17, -1.8457862e-17,  2.3496750e-17
 1.3448863e+01, -3.2512327e-17, -1.3680972e-17, -1.8261841e-17,  2.3598715e-17
 1.3639051e+01, -3.2704724e-17, -1.3400184e-17, -1.8074036e-17,  2.3687662e-17
 1.3829210e+01, -3.2870765e-17, -1.3095018e-17, -1.7894300e-17,  2.3762851e-17
 1.4019343e+01, -3.3011546e-17, -1.2767582e-17, -1.7720572e-17,  2.3824712e-17
 1.4209452e+01, -3.3127826e-17, -1.2429644e-17, -1.7550324e-17,  2.3870469e-17
 1.4399537e+01, -3.3223798e-17, -1.2084017e-17, -1.7382556e-17,  2.3898516e-17
 1.4589601e+01, -3.3301120e-17, -1.1730298e-17, -1.7218360e-17,  2.3911944e-17
 1.4779643e+01, -3.3361136e-17, -1.1375438e-17, -1.7055605e-17,  2.3910254e-17
 1.4969665e+01, -3.3404946e-17, -1.1017277e-17, -1.6894191e-17,  2.3889698e-17
 1.5159667e+01, -3.3433498e-17, -1.0659657e-17, -1.6734195e-17,  2.3854515e-17
