t, velocity, pressure
 1.1000000e-01,  2.4951348e+01,  9.0909091e+00
 2.3100000e-01,  4.0477057e+00,  8.2958101e+01
 3.6410000e-01,  1.6615169e+00,  4.7669417e+00
 5.1051000e-01,  1.0311005e+00,  1.8330715e+00
 6.7156100e-01,  7.2344165e-01,  1.4239294e+00
 8.4871710e-01,  5.4829315e-01,  1.1620042e+00
 1.0435888e+00,  4.3875078e-01,  9.5727803e-01
 1.2440046e+00,  3.7203298e-01,  8.4466111e-01
 1.4401258e+00,  3.3576492e-01,  7.6366176e-01
 1.6333702e+00,  3.1361241e-01,  6.7274043e-01
 1.8246204e+00,  2.9808802e-01,  5.9602304e-01
 2.0145362e+00,  2.8688909e-01,  5.2892109e-01
 2.2036040e+00,  2.7825359e-01,  4.7363248e-01
 2.3921963e+00,  2.7115128e-01,  4.3069451e-01
 2.5806147e+00,  2.6502539e-01,  3.9918269e-01
 2.7690732e+00,  2.5957565e-01,  3.7712992e-01
 2.9577106e+00,  2.5460471e-01,  3.6201789e-01
 3.1466048e+00,  2.4993667e-01,  3.5094637e-01
 3.3357860e+00,  2.4540879e-01,  3.4177674e-01
 3.5252530e+00,  2.4085479e-01,  3.3300627e-01
 3.7149856e+00,  2.3617618e-01,  3.2389694e-01
 3.9049399e+00,  2.3128804e-01,  3.1422529e-01
 4.0950652e+00,  2.2618304e-01,  3.0407331e-01
 4.2853408e+00,  2.2084914e-01,  2.9361144e-01
 4.4757500e+00,  2.1533126e-01,  2.8304780e-01
 4.6662804e+00,  2.0967137e-01,  2.7255634e-01
 4.8569221e+00,  2.0393278e-01,  2.6232158e-01
 5.0476671e+00,  1.9814925e-01,  2.5218921e-01
 5.2385080e+00,  1.9236496e-01,  2.4238686e-01
 5.4294370e+00,  1.8661880e-01,  2.3286658e-01
 5.6204463e+00,  1.8093384e-01,  2.2364255e-01
 5.8115277e+00,  1.7532972e-01,  2.1469593e-01
 6.0026725e+00,  1.6982221e-01,  2.0603269e-01
 6.1938722e+00,  1.6441901e-01,  1.9765536e-01
 6.3851186e+00,  1.5912574e-01,  1.8954238e-01
 6.5763994e+00,  1.5395068e-01,  1.8170643e-01
 6.7677029e+00,  1.4889721e-01,  1.7415208e-01
 6.9590227e+00,  1.4396685e-01,  1.6684786e-01
 7.1503531e+00,  1.3916088e-01,  1.5980786e-01
 7.3416888e+00,  1.3448304e-01,  1.5302465e-01
 7.5330247e+00,  1.2993441e-01,  1.4649086e-01
 7.7243562e+00,  1.2551712e-01,  1.4020387e-01
 7.9156793e+00,  1.2123254e-01,  1.3416377e-01
 8.1069901e+00,  1.1708240e-01,  1.2835996e-01
 8.2982850e+00,  1.1305100e-01,  1.2269112e-01
 8.4895610e+00,  1.0916865e-01,  1.1742871e-01
 8.6808154e+00,  1.0542404e-01,  1.1232893e-01
 8.8720457e+00,  1.0181631e-01,  1.0745552e-01
 9.0632439e+00,  9.8346112e-02,  1.0281602e-01
 9.2544035e+00,  9.5013158e-02,  9.8409026e-02
 9.4455229e+00,  9.1816928e-02,  9.4234262e-02
 9.6366009e+00,  8.8756674e-02,  9.0293616e-02
 9.8276364e+00,  8.5831300e-02,  8.6586365e-02
 1.0018629e+01,  8.3039455e-02,  8.3111679e-02
 1.0209577e+01,  8.0379532e-02,  7.9866324e-02
 1.0400483e+01,  7.7849196e-02,  7.6845358e-02
 1.0591344e+01,  7.5445442e-02,  7.4042339e-02
 1.0782163e+01,  7.3164742e-02,  7.1448942e-02
 1.0972939e+01,  7.1002991e-02,  6.9055180e-02
 1.1163666e+01,  6.8955810e-02,  6.6851528e-02
 1.1354341e+01,  6.7017860e-02,  6.4822459e-02
