 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  8.9805504e-02,  4.7743360e-03,  0.0000000e+00,  1.0881000e-05,  0.0000000e+00,  0.0000000e+00
       1,  1.9367890e-02,  0.0000000e+00,  0.0000000e+00,  4.0583100e-04,  5.4712530e-03,  9.3020160e-03
       2,  2.1318871e-02,  0.0000000e+00,  0.0000000e+00,  2.1002600e-04,  6.1541580e-03,  1.1425151e-02
       3,  2.0493715e-02,  0.0000000e+00,  0.0000000e+00,  2.1948700e-04,  5.4815860e-03,  1.1298738e-02
       4,  8.4682103e-02,  0.0000000e+00,  0.0000000e+00,  1.9420600e-04,  4.9031900e-03,  1.0931732e-02
       5,  1.8798714e-02,  0.0000000e+00,  0.0000000e+00,  1.9145500e-04,  4.9097510e-03,  1.0457557e-02
       6,  1.8901482e-02,  0.0000000e+00,  0.0000000e+00,  1.9660200e-04,  4.9635150e-03,  1.0487923e-02
       7,  1.8933130e-02,  0.0000000e+00,  0.0000000e+00,  1.9538500e-04,  5.0468230e-03,  1.0449760e-02
       8,  1.8982940e-02,  0.0000000e+00,  0.0000000e+00,  1.9558900e-04,  5.0978340e-03,  1.0444142e-02
       9,  1.9133321e-02,  0.0000000e+00,  0.0000000e+00,  1.9471300e-04,  5.1011380e-03,  1.0577710e-02
      10,  1.9056002e-02,  0.0000000e+00,  0.0000000e+00,  1.9115100e-04,  5.0960390e-03,  1.0528398e-02
      11,  1.9051020e-02,  0.0000000e+00,  0.0000000e+00,  2.0001800e-04,  5.1353560e-03,  1.0482137e-02
      12,  1.9990758e-02,  0.0000000e+00,  0.0000000e+00,  1.9230500e-04,  5.2988640e-03,  1.1034671e-02
      13,  2.0093917e-02,  0.0000000e+00,  0.0000000e+00,  2.0017700e-04,  5.3851840e-03,  1.1107468e-02
      14,  2.0065057e-02,  0.0000000e+00,  0.0000000e+00,  2.0129700e-04,  5.3234850e-03,  1.1148351e-02
      15,  2.0037169e-02,  0.0000000e+00,  0.0000000e+00,  2.0053200e-04,  5.3620990e-03,  1.1049414e-02
      16,  1.9100200e-02,  0.0000000e+00,  0.0000000e+00,  1.9155400e-04,  4.8158700e-03,  1.0748168e-02
      17,  1.8672763e-02,  0.0000000e+00,  0.0000000e+00,  1.9228600e-04,  4.7811460e-03,  1.0472400e-02
      18,  1.8765667e-02,  0.0000000e+00,  0.0000000e+00,  1.9036200e-04,  4.8436800e-03,  1.0482075e-02
